"geneName","teName","pvalue","coef","padj"
"1","ZNF496","(CATTC)n",0.0284979612556282,0.998998237388843,0.664908831836022
"2","ZNF496","(GAATG)n",NA,NA,NA
"3","ZNF496","7SK",0.197497505115451,0.952263883212151,0.722233695700577
"4","ZNF496","ACRO1",NA,NA,NA
"5","ZNF496","ALR/Alpha",0.577410666468595,0.616115784929256,0.827281692772837
"6","ZNF496","AluJb",0.156390829117556,0.969977478876829,0.715956777675254
"7","ZNF496","AluJo",0.804288823310006,-0.302602888320933,0.918511436496662
"8","ZNF496","AluJr4",0.0836634716589404,0.991377039782756,0.7042789747502
"9","ZNF496","AluJr",0.306163260933068,0.886569652485684,0.736002527047304
"10","ZNF496","AluSc5",0.120285604119793,0.982203087770062,0.7042789747502
"11","ZNF496","AluSc8",0.274277577350923,0.908617675217553,0.736002527047304
"12","ZNF496","AluSc",0.124800510017643,0.980846365387734,0.709967150480705
"13","ZNF496","AluSg4",0.425257567463996,0.785066389852486,0.775616541832573
"14","ZNF496","AluSg7",0.231451587442393,0.934635624770289,0.725914758543544
"15","ZNF496","AluSg",0.431372738078388,0.779080388346295,0.7783328373192
"16","ZNF496","AluSp",0.859464455155428,-0.218964136400072,0.940759032668417
"17","ZNF496","AluSq10",0.0747802884876635,0.993108962558296,0.7042789747502
"18","ZNF496","AluSq2",0.0538081013029753,0.996430178243784,0.7042789747502
"19","ZNF496","AluSq4",0.0694657886705883,0.99405268763687,0.7042789747502
"20","ZNF496","AluSq",0.395400219296096,0.813242775792032,0.766369993249327
"21","ZNF496","AluSx1",0.29069993585186,0.897543339035492,0.736002527047304
"22","ZNF496","AluSx3",0.303664330716256,0.888378647135952,0.736002527047304
"23","ZNF496","AluSx4",0.356908813268287,0.846919735754057,0.746999806795516
"24","ZNF496","AluSx",0.589961720510016,0.600468308704984,0.832169616039001
"25","ZNF496","AluSz6",0.00739139384689258,0.999932600361386,0.371796453510763
"26","ZNF496","AluSz",0.592641879530932,0.597096489742823,0.832178758296318
"27","ZNF496","AluY",0.676476232033491,0.486596733660304,0.861976313804895
"28","ZNF496","AluYa5",0.617756114974735,0.564995079937393,0.843367566183929
"29","ZNF496","AluYa8",0.447444291490292,0.763007038773521,0.780021772231227
"30","ZNF496","AluYb8",0.169948270015608,0.964578856876938,0.715956777675254
"31","ZNF496","AluYb9",0.632455605981362,-0.54579481802419,0.852431968729881
"32","ZNF496","AluYc3",0.894489593380665,0.164977658284665,0.956252315998076
"33","ZNF496","AluYc",0.268571621552387,0.912324293107787,0.73180291250661
"34","ZNF496","AluYd8",0.169948270015608,0.964578856876938,0.715956777675254
"35","ZNF496","AluYg6",0.348720469657129,0.853688601706549,0.741989592624676
"36","ZNF496","AluYh9",0.169948270015608,-0.964578856876938,0.715956777675254
"37","ZNF496","AluYk11",0.617756114974735,0.564995079937393,0.843367566183929
"38","ZNF496","AluYk12",NA,NA,NA
"39","ZNF496","AluYk4",0.142587601099045,0.97502203909064,0.715956777675254
"40","ZNF496","AmnSINE1",0.0587843072873691,0.995739859055993,0.7042789747502
"41","ZNF496","Arthur1",0.24914563372168,0.924392275094167,0.726246582196209
"42","ZNF496","Arthur1A",0.0489105516919313,0.997050141065987,0.702382652956561
"43","ZNF496","Arthur1B",0.344618812874016,-0.857026201019364,0.740739699258725
"44","ZNF496","Arthur1C",0.209278790011227,0.946451709266103,0.722233695700577
"45","ZNF496","BLACKJACK",0.109824338205343,0.985156728860485,0.7042789747502
"46","ZNF496","BSR/Beta",0.00741997214088004,0.999932078167988,0.371796453510763
"47","ZNF496","CER",NA,NA,NA
"48","ZNF496","CR1_Mam",0.42778461303138,0.7826014729976,0.777360560268853
"49","ZNF496","Charlie10",0.58989062400954,-0.600557608208908,0.832169616039001
"50","ZNF496","Charlie10a",0.00896410500645621,0.999900867409918,0.413591379505801
"51","ZNF496","Charlie10b",0.496718396651058,0.710742315593533,0.800371066685412
"52","ZNF496","Charlie11",0.025460359539798,0.999200384992769,0.660048511903692
"53","ZNF496","Charlie12",0.496718396651058,-0.710742315593533,0.800371066685412
"54","ZNF496","Charlie13a",0.571313036892307,0.623631679325826,0.825555685994459
"55","ZNF496","Charlie13b",0.984472688295658,-0.0243878260343882,0.996988531447956
"56","ZNF496","Charlie14a",0.735462571284269,-0.403678930463429,0.896092337246158
"57","ZNF496","Charlie15a",0.0596681542386147,0.995610884444025,0.7042789747502
"58","ZNF496","Charlie16a",0.710905357366874,0.438661611630889,0.881118089908949
"59","ZNF496","Charlie17a",0.854543146695192,0.226500298375961,0.938637846458361
"60","ZNF496","Charlie18a",0.150353103908923,0.972240289353415,0.715956777675254
"61","ZNF496","Charlie19a",0.335206684689308,0.864550329648611,0.73845276606398
"62","ZNF496","Charlie1",0.646741986052249,-0.526855239802424,0.85583103764922
"63","ZNF496","Charlie1a",0.264282411564277,0.915062348825161,0.730517138017434
"64","ZNF496","Charlie1b",0.28019810116432,0.90469451611625,0.736002527047304
"65","ZNF496","Charlie20a",0.0853125406294738,0.991034273651142,0.7042789747502
"66","ZNF496","Charlie21a",0.0517597776054766,0.99669664451624,0.7042789747502
"67","ZNF496","Charlie22a",0.35889282778358,0.84525852706012,0.748798109456675
"68","ZNF496","Charlie23a",0.827329134753728,0.267917405880806,0.928619839940389
"69","ZNF496","Charlie24",0.391356136984691,0.816922977236065,0.764502032424506
"70","ZNF496","Charlie25",0.920004708035386,0.125325896510846,0.966570349554066
"71","ZNF496","Charlie26a",0.784187171045362,0.332542283767086,0.910731282484804
