"GM18558","GM18960","GM19240","Guchi","Jaqo","Jingjing"
"HERV1_LTRe",9,9,0,0,0,0
"HERV3-int",1095,332,273,187,240,47
"HERV30-int",7,0,0,6,9,0
"HERV35I-int",46,12,80,201,299,81
"HERV4_I-int",288,140,23,50,47,30
"HERV9-int",357,100,148,235,231,214
"HERVE-int",803,309,435,51,33,70
"HERVE_a-int",357,366,349,94,23,0
"HERVFH19-int",14,5,0,59,71,20
"HERVFH21-int",45,14,0,53,13,0
"HERVH-int",1195,564,726,1206,1679,339
"HERVH48-int",115,40,43,39,39,0
"HERVI-int",411,123,33,25,20,56
"HERVIP10F-int",931,267,215,139,246,299
"HERVIP10FH-int",289,69,170,233,250,774
"HERVK-int",440,160,108,211,465,146
"HERVK11-int",107,42,0,173,192,43
"HERVK11D-int",10,0,0,20,6,0
"HERVK13-int",125,47,0,20,16,10
"HERVK14-int",171,110,207,101,142,41
"HERVK14C-int",2,6,24,9,1,15
"HERVK22-int",246,77,140,144,156,51
"HERVK3-int",403,114,99,218,504,176
"HERVK9-int",765,326,338,519,562,164
"HERVKC4-int",10,1,0,5,21,13
"HERVL-int",513,297,344,961,1226,475
"HERVL18-int",79,93,97,149,109,9
"HERVL32-int",7,1,0,9,7,1
"HERVL40-int",144,84,35,59,108,58
"HERVL66-int",26,11,0,84,133,96
"HERVL74-int",133,155,0,73,162,5
"HERVP71A-int",85,43,21,124,45,8
"HERVS71-int",68,42,0,3,9,0
"HSAT4",51,18,21,41,55,50
"HSAT5",49,29,16,15,68,15
"HSAT6",0,0,0,0,0,0
"HSATI",3,21,0,1,0,0
"HSMAR1",214,106,61,163,188,146
"HSMAR2",489,243,58,661,937,254
"HUERS-P1-int",77,28,64,139,171,56
"HUERS-P2-int",56,14,39,53,19,15
"HUERS-P3-int",112,49,0,146,177,47
"HUERS-P3b-int",133,65,26,86,115,24
"Harlequin-int",1387,735,1114,1387,1980,785
"Helitron1Na_Mam",15,14,0,19,17,0
"Helitron1Nb_Mam",10,7,0,34,5,5
"Helitron2Na_Mam",41,20,0,33,31,8
"Helitron3Na_Mam",159,77,79,102,101,36
"Kanga11a",76,62,17,52,35,16
"Kanga1",59,25,9,72,53,32
"Kanga1a",83,51,3,120,191,196
"Kanga1b",64,34,59,62,72,18
"Kanga1c",155,98,118,24,61,109
"Kanga1d",49,32,20,39,65,32
"Kanga2_a",153,91,58,172,171,27
"L1M1",1280,600,410,2931,11094,1356
"L1M2",1002,644,365,2159,3041,1034
"L1M2a1",26,10,0,39,9,0
"L1M2a",48,22,3,105,144,60
"L1M2b",32,12,0,65,62,0
"L1M2c",88,27,52,121,66,47
"L1M3",726,407,411,1914,1653,881
"L1M3a",380,313,95,137,91,22
"L1M3b",100,21,52,122,167,34
"L1M3c",62,41,44,121,95,53
"L1M3d",29,18,0,218,202,759
"L1M3de",32,9,3,150,84,62
"L1M3e",60,42,22,71,65,31
"L1M3f",82,57,84,129,205,160
"L1M4",3270,1730,1072,3807,4164,3035
"L1M4b",989,570,457,1909,2182,1667
"L1M4c",1012,496,275,1428,2436,1374
"L1M5",9228,4813,4265,8514,10939,8783
"L1M6",442,240,77,882,766,591
"L1M7",453,349,241,341,245,122
"L1M",69,19,0,88,64,19
"L1MA10",337,183,125,538,605,174
"L1MA1",661,406,299,1194,1021,724
"L1MA2",774,508,491,2422,2623,1625
"L1MA3",1137,678,547,2941,3292,2561
"L1MA4",1229,540,446,2574,2825,1716
"L1MA4A",1060,841,399,1819,2145,789
"L1MA5",2015,797,335,711,943,463
"L1MA5A",490,243,217,760,1064,601
"L1MA6",669,405,357,2041,2498,2647
"L1MA7",991,595,396,1359,1679,953
"L1MA8",1172,750,775,2054,2169,1175
"L1MA9",1691,1022,900,4282,5036,4728
"L1MB1",680,419,206,1114,1170,1296
"L1MB2",1975,1110,622,1468,1387,688
"L1MB3",3414,1677,1484,2628,3630,1514
"L1MB4",1767,1051,739,1927,2289,891
"L1MB5",1769,927,681,2260,3107,2689
"L1MB7",4829,2350,2070,4704,6396,3844
"L1MB8",3557,1667,961,3189,4451,2173
"L1MC1",2063,1415,1033,2802,3352,2145
"L1MC2",1035,619,389,2250,2887,960
"L1MC3",1564,851,747,3275,3632,4913
"L1MC4",7863,4069,2212,3473,4954,1856
"L1MC4a",5406,2644,2043,1767,2671,1296
"L1MC5",4235,2189,1572,2466,3350,1370
"L1MC",1810,800,672,771,1279,338
"L1MCa",926,846,298,2236,1700,1149
"L1MCb",348,154,159,458,705,484
"L1MCc",522,324,160,469,502,418
"L1MD1",982,586,378,4857,6036,4816
"L1MD2",2017,946,846,1951,1891,682
"L1MD3",987,547,240,940,1310,966
"L1MD",935,638,442,1246,1466,616
"L1MDa",1249,623,459,2065,3094,1663
"L1MDb",113,64,18,94,135,28
"L1ME1",5173,3243,2681,7241,9443,6452
"L1ME2",1762,983,795,2030,2420,1289
"L1ME2z",1075,499,283,1293,1451,477
"L1ME3",1689,677,517,2396,2996,3107
"L1ME3A",2538,1459,1370,3582,3422,6587
"L1ME3B",1195,790,554,1189,1482,392
"L1ME3C",1602,747,708,452,546,438
"L1ME3D",477,287,199,572,612,337
"L1ME3E",1066,788,361,847,694,208
"L1ME3F",695,381,232,554,995,353
"L1ME4a",6075,3136,2414,5508,6794,21548
"L1ME5",549,386,232,485,482,533
"L1MEa",33,22,0,112,274,16
"L1MEb",108,66,28,338,360,152
"L1MEc",2500,1248,757,3191,3538,1763
"L1MEd",1189,587,416,9433,12108,9355
"L1MEf",1983,1279,890,1912,2313,1655
"L1MEg1",53,27,74,103,117,8
"L1MEg2",130,55,66,99,171,24
"L1MEg",2496,1250,768,1977,2264,915
"L1P1",484,310,132,1635,2480,580
"L1P2",510,268,59,816,1171,837
"L1P3",328,185,175,1792,1975,1294
"L1P3b",3,5,4,2,12,0
"L1P4",265,197,67,536,773,157
"L1P4a",30,38,24,110,78,21
"L1P4b",1,0,4,16,39,0
"L1P4c",6,4,0,16,6,3
"L1P4d",3,2,0,75,120,75
"L1P4e",23,19,0,10,26,1
"L1P5",27,7,4,16,25,0
"L1P",0,0,0,10,19,22
"L1PA10",1246,606,892,3199,3650,1049
"L1PA11",1054,746,368,38134,33512,5436
"L1PA12",280,192,122,468,345,175
"L1PA13",862,557,464,3169,4449,3258
"L1PA14",610,198,211,686,488,259
"L1PA15-16",160,67,94,384,441,39
"L1PA15",904,481,296,2378,2433,1059
"L1PA16",1374,943,422,3837,5019,3377
"L1PA17",535,275,210,1220,1536,370
"L1PA2",889,459,390,103,55,28
"L1PA3",3345,1698,1361,21176,25959,30021
"L1PA4",2666,1784,1226,6553,7259,3075
"L1PA5",3580,1813,1444,5112,5869,1876
"L1PA6",2175,1139,563,3448,4000,1453
"L1PA7",3301,2364,1412,7467,9110,10725
"L1PA8",814,410,244,2461,2580,1028
"L1PA8A",250,113,52,1134,1472,843
"L1PB1",2001,942,644,4729,5801,2056
"L1PB2",305,192,145,992,1100,399
"L1PB3",432,217,190,811,860,475
"L1PB4",844,465,311,1002,1281,383
"L1PB",229,101,60,255,471,180
"L1PBa1",86,33,17,127,64,10
"L1PBa",246,95,48,759,1368,390
"L1PBb",55,32,0,51,54,16
"L1PREC2",1364,713,676,1716,2125,745
"L2",8855,3912,3426,7872,9826,5954
"L2a",24931,11590,9715,23986,30802,23752
"L2b",14699,6779,6175,15542,20518,13678
"L2c",20558,10298,9566,18787,23978,17677
"L3",6150,3025,2847,5441,7104,3249
"L3b",685,380,273,1084,1515,1102
"L5",63,16,0,47,93,9
"LOR1-int",275,211,69,351,282,130
"LOR1a",96,89,103,7412,8320,8733
"LOR1b",170,36,105,75,55,5
"LSAU",103,54,138,1,10,0
"LTR10A",103,42,0,30,53,0
"LTR10B1",252,57,29,31,13,20
"LTR10B",9,2,0,1,21,0
"LTR10C",106,34,69,58,76,23
"LTR10D",30,8,0,40,45,20
"LTR10E",210,74,33,54,41,36
"LTR10F",25,18,34,706,834,1473
"LTR10G",21,7,22,7,16,4
"LTR12",273,75,83,242,255,71
"LTR12B",33,1,22,208,245,323
"LTR12C",1100,533,354,1605,2863,1184
"LTR12D",73,23,0,107,117,9
"LTR12E",8,5,0,29,34,0
"LTR12F",43,36,102,177,226,306
"LTR12_",108,26,10,81,134,13
"LTR13",635,338,430,203,307,256
"LTR13A",208,96,79,38,26,25
"LTR13_",36,8,36,13,6,3
"LTR14",40,16,0,4,11,28
"LTR14A",33,11,1,23,4,0
"LTR14B",71,34,19,89,104,34
"LTR14C",3,0,0,9,3,0
"LTR15",38,3,46,9,25,0
"LTR16A1",168,156,117,1480,990,4146
"LTR16A2",88,58,21,262,363,193
"LTR16A",444,172,387,569,593,512
"LTR16B1",71,41,19,114,96,11
"LTR16B2",119,74,33,276,310,920
"LTR16B",56,27,19,115,146,118
"LTR16C",539,309,211,937,1694,503
"LTR16D1",38,46,0,17,9,12
"LTR16D2",9,7,0,16,8,11
"LTR16D",53,25,9,204,339,14
"LTR16E1",144,73,39,459,918,440
"LTR16E2",147,85,43,245,185,104
"LTR17",136,74,92,193,211,294
"LTR18A",8,12,11,21,57,5
"LTR18B",25,25,26,91,115,12
"LTR19-int",48,30,0,181,317,456
"LTR19A",126,34,0,58,100,34
"LTR19B",33,15,0,22,28,19
"LTR19C",46,15,71,13,14,0
"LTR1",303,143,133,224,425,96
"LTR1B",76,75,89,49,89,5
"LTR1C",9,3,0,0,1,0
"LTR1D",79,46,6,67,59,28
"LTR21A",53,23,0,9,7,0
"LTR21B",12,4,0,0,0,0
"LTR22",5,8,2,3,4,0
"LTR22A",29,19,0,14,27,3
"LTR22B",28,5,31,6,7,0
"LTR22C",74,54,48,3,3,0
"LTR23-int",48,11,68,13,34,1
"LTR23",83,28,32,90,126,39
"LTR24",126,28,1,45,90,29
"LTR24B",101,44,45,43,77,2
"LTR24C",38,30,10,36,98,40
"LTR25-int",108,41,0,22,20,21
"LTR25",199,198,41,7,3,5
"LTR26",41,16,72,96,211,81
"LTR26B",29,24,16,252,517,47
"LTR26E",66,44,30,51,32,22
"LTR27",36,12,0,113,146,478
"LTR27B",74,26,17,33,64,28
"LTR28",59,27,0,57,83,0
"LTR29",125,77,3,85,53,1
"LTR2",325,168,81,182,391,374
"LTR2B",204,109,199,85,85,32
"LTR2C",142,78,36,27,32,3
"LTR30",12,5,33,13,38,19
"LTR31",27,26,29,36,81,9
"LTR32",88,54,0,133,169,42
"LTR33",698,400,335,950,1082,319
"LTR33A",148,157,110,293,1347,1508
"LTR33A_",124,41,0,146,115,51
"LTR33B",107,101,89,233,286,342
"LTR33C",107,47,57,144,248,1258
"LTR34",44,14,22,32,49,1
"LTR35",16,27,0,2,17,5
"LTR35A",8,1,0,6,19,0
"LTR35B",21,12,0,9,19,0
"LTR36",23,20,0,56,56,14
"LTR37A",123,80,34,243,288,123
"LTR37B",212,53,67,143,90,43
"LTR38-int",0,0,0,0,0,0
"LTR38",24,12,19,44,102,1
"LTR38B",4,6,0,3,11,4
"LTR38C",15,19,0,5,4,1
"LTR39-int",3,0,0,7,3,2
"LTR39",112,72,1,350,549,273
"LTR3",11,15,0,20,29,3
"LTR3A",103,127,111,28,40,39
"LTR3B",7,1,0,9,21,9
"LTR3B_",19,9,0,24,77,224
"LTR40A1",14,14,47,60,18,33
"LTR40a",233,59,111,186,194,173
"LTR40b",166,64,110,132,148,138
"LTR40c",90,40,29,64,55,16
"LTR41",248,164,330,89,86,49
"LTR41B",91,71,179,65,131,11
"LTR42",118,43,45,32,43,101
"LTR43-int",35,24,0,1,5,0
"LTR43",134,49,111,28,47,18
"LTR43B",24,11,13,22,22,0
"LTR44",27,10,0,51,40,3
"LTR45",3,2,0,21,32,0
"LTR45B",62,37,2,59,50,2
"LTR45C",188,134,0,207,283,118
"LTR46-int",35,5,0,54,21,0
"LTR46",102,31,18,15,33,17
"LTR47A",91,42,0,331,393,40
"LTR47B",82,26,68,0,0,0
"LTR48",58,41,37,85,121,40
"LTR48B",152,141,129,43,52,230
"LTR49-int",515,172,146,698,913,102
"LTR49",146,58,0,78,82,16
"LTR4",30,1,39,0,15,3
"LTR50",305,101,89,280,276,179
"LTR51",46,13,43,64,45,14
"LTR52-int",11,6,35,32,21,8
"LTR52",57,32,20,85,76,11
"LTR53",111,121,42,55,59,3
"LTR54",194,71,90,221,165,19
"LTR54B",54,30,6,47,53,13
"LTR55",33,5,0,59,43,0
"LTR56",102,52,22,330,382,1771
"LTR57-int",43,31,29,53,111,9
"LTR57",33,25,11,16,10,0
"LTR58",3,0,0,3,7,5
"LTR59",8,11,0,10,27,0
"LTR5",6,6,0,182,320,104
"LTR5A",217,124,184,28,47,22
"LTR5B",743,329,225,407,967,275
"LTR60",12,10,0,0,0,5
"LTR61",94,71,8,16,55,29
"LTR62",35,15,79,71,65,170
"LTR64",60,21,0,4,32,32
"LTR65",91,48,47,194,261,105
"LTR66",18,7,59,59,154,40
"LTR67B",303,265,196,377,818,23
"LTR68",36,14,22,28,31,7
"LTR69",6,1,0,7,2,0
"LTR6A",99,97,147,23,66,5
"LTR6B",21,23,10,28,27,14
"LTR70",133,55,62,59,71,5
"LTR71A",16,22,6,2,4,5
"LTR71B",40,15,10,16,24,0
"LTR72",40,28,1,29,118,285
"LTR72B",5,1,8,19,10,6
"LTR73",36,14,0,111,48,23
"LTR75",62,35,24,11,28,22
"LTR75B",7,4,0,19,9,0
"LTR75_1",12,7,24,25,34,1
"LTR76",106,66,42,9,23,18
"LTR77",3,8,0,34,95,26
"LTR78",496,271,125,1144,1656,1702
"LTR78B",162,63,35,365,284,397
"LTR79",304,204,143,451,417,327
"LTR7",189,129,158,245,323,109
"LTR7B",158,72,51,75,134,49
"LTR7C",76,30,53,42,50,5
"LTR80A",18,9,5,25,29,12
"LTR80B",14,5,0,53,57,1
"LTR81",9,4,0,45,51,40
"LTR81A",37,26,65,100,161,105
"LTR81AB",6,0,0,67,74,26
"LTR81B",54,19,133,58,96,38
"LTR81C",34,13,0,96,48,7
"LTR82A",65,32,37,72,71,22
"LTR82B",91,45,120,106,45,0
"LTR83",38,25,0,36,110,90
"LTR84a",47,43,0,331,460,41
"LTR84b",53,43,26,106,131,127
"LTR85a",248,387,126,232,345,276
"LTR85b",49,24,16,124,159,16
