"GM18558","GM18960","GM19240","Guchi","Jaqo","Jingjing"
"ENSG00000155368",196,319,613,89,82,143
"ENSG00000162664",26,27,58,11,15,12
"ENSG00000120733",27,32,35,16,28,5
"ENSG00000162923",56,53,75,27,47,12
"ENSG00000163468",348,580,357,258,200,105
"ENSG00000135862",15,11,41,3,2,9
"ENSG00000092621",42,185,36,29,63,69
"ENSG00000018510",40,45,39,18,32,11
"ENSG00000160818",33,54,31,14,25,16
"ENSG00000145354",50,50,105,28,35,158
"ENSG00000109171",29,29,36,13,16,5
"ENSG00000171793",38,80,61,47,47,11
"ENSG00000116641",8,12,19,5,7,6
"ENSG00000137210",38,43,99,43,60,32
"ENSG00000109445",34,55,14,16,37,12
"ENSG00000162496",2,1,3,11,18,127
"ENSG00000123685",11,17,23,5,6,276
"ENSG00000203705",7,13,11,5,7,9
"ENSG00000066136",25,36,23,13,18,9
"ENSG00000162704",150,272,245,85,126,34
"ENSG00000162909",21,30,18,43,23,12
"ENSG00000169223",78,144,92,36,84,113
"ENSG00000164136",13,19,53,9,9,14
"ENSG00000064933",10,21,12,7,10,15
"ENSG00000173163",15,16,92,3,2,10
"ENSG00000144659",72,78,40,30,28,17
"ENSG00000185049",27,35,18,4,14,7
"ENSG00000109323",15,12,36,8,10,5
"ENSG00000116455",56,99,34,54,38,40
"ENSG00000120709",20,26,11,6,15,9
"ENSG00000171530",146,120,119,52,33,298
"ENSG00000137947",68,77,59,17,57,26
"ENSG00000155636",10,18,67,7,9,14
"ENSG00000169299",17,42,44,20,18,5
"ENSG00000117697",23,31,42,11,11,9
"ENSG00000080345",11,14,28,4,7,12
"ENSG00000143748",16,21,33,9,18,24
"ENSG00000032389",11,35,24,19,28,26
"ENSG00000160799",58,64,77,31,35,203
"ENSG00000138821",11,52,17,7,7,5
"ENSG00000143436",34,58,59,66,64,26
"ENSG00000172071",8,14,30,5,9,11
"ENSG00000056050",16,39,21,9,12,16
"ENSG00000137601",6,6,29,4,6,1
"ENSG00000115484",270,398,187,205,158,283
"ENSG00000162654",16,29,47,20,31,5
"ENSG00000177058",10,12,26,5,5,9
"ENSG00000109685",15,29,33,11,16,7
"ENSG00000162714",11,12,24,4,12,1
"ENSG00000123609",66,135,71,22,28,17
"ENSG00000153574",46,74,33,15,29,24
"ENSG00000170144",250,347,205,109,76,78
"ENSG00000143376",6,4,36,3,5,7
"ENSG00000109436",2,5,28,3,13,1
"ENSG00000168924",31,36,20,17,30,37
"ENSG00000115415",73,177,158,18,30,19
"ENSG00000162645",65,38,39,34,59,57
"ENSG00000135838",5,7,12,11,16,11
"ENSG00000164038",14,20,26,12,12,25
"ENSG00000115839",26,35,35,11,37,29
"ENSG00000136718",104,105,94,22,54,35
"ENSG00000154277",65,142,114,18,5,185
"ENSG00000145247",60,102,64,5,6,87
"ENSG00000163660",70,47,88,19,38,12
"ENSG00000038002",5,13,17,9,14,20
"ENSG00000115524",150,179,160,65,127,21
"ENSG00000138646",29,23,21,3,1,3
"ENSG00000028137",19,13,33,4,14,25
"ENSG00000159377",297,474,403,230,260,1235
"ENSG00000163001",51,42,11,79,94,100
"ENSG00000065413",10,15,22,3,11,10
"ENSG00000143393",23,36,67,22,21,5
"ENSG00000153187",346,564,243,208,212,70
"ENSG00000168026",2,3,24,2,2,28
"ENSG00000132300",40,70,56,68,73,26
"ENSG00000043514",26,25,68,24,32,9
"ENSG00000111863",2,4,18,1,3,5
"ENSG00000168118",55,67,50,10,26,10
"ENSG00000198162",12,12,31,9,13,13
"ENSG00000115762",21,16,19,23,41,23
"ENSG00000138796",59,65,58,57,65,64
"ENSG00000168894",66,118,166,117,59,344
"ENSG00000011021",14,8,5,3,5,6
"ENSG00000036257",91,83,94,29,59,41
"ENSG00000116649",85,245,76,114,78,105
"ENSG00000151304",22,31,1,15,18,21
"ENSG00000084072",31,38,56,33,45,75
"ENSG00000048140",10,13,40,10,16,7
"ENSG00000196189",21,37,38,1,9,9
"ENSG00000120306",55,101,127,16,6,14
"ENSG00000082068",22,34,22,25,19,36
"ENSG00000097033",96,107,140,55,71,16
"ENSG00000168389",24,22,20,9,20,40
"ENSG00000143353",26,52,34,4,8,22
"ENSG00000116688",40,42,48,26,38,9
"ENSG00000015479",168,227,120,78,100,18
"ENSG00000163683",10,25,25,3,2,25
"ENSG00000115464",23,26,34,10,17,7
"ENSG00000075914",50,57,78,26,21,46
"ENSG00000135837",10,10,45,4,9,5
"ENSG00000117335",64,63,43,13,13,3
"ENSG00000143398",32,32,43,16,20,10
"ENSG00000143158",58,88,122,40,43,184
"ENSG00000011376",5,18,28,9,6,4
"ENSG00000109814",51,45,26,14,34,2
"ENSG00000168710",43,43,41,16,31,3
"ENSG00000055044",144,136,164,59,60,19
"ENSG00000197451",192,257,102,143,131,73
"ENSG00000145348",6,13,28,4,4,9
"ENSG00000153207",22,17,32,10,20,34
"ENSG00000198715",13,19,63,5,8,11
"ENSG00000109736",32,62,29,6,24,22
"ENSG00000153147",113,145,92,81,113,48
"ENSG00000143653",47,82,53,13,36,14
"ENSG00000090621",203,221,216,138,130,84
"ENSG00000144224",67,71,85,19,29,6
"ENSG00000162851",43,62,44,12,17,7
"ENSG00000115561",21,22,51,24,21,32
"ENSG00000168758",46,34,15,3,19,7
"ENSG00000116337",18,23,25,19,28,3
"ENSG00000163040",1,10,30,1,2,26
"ENSG00000145604",11,23,11,9,13,4
"ENSG00000145916",13,35,16,19,22,71
"ENSG00000168944",13,17,17,7,13,2
"ENSG00000164163",112,146,64,47,65,15
"ENSG00000162929",7,7,10,4,3,13
"ENSG00000143622",36,24,16,11,18,23
"ENSG00000117298",27,29,55,10,47,15
"ENSG00000183682",1,4,32,2,9,22
"ENSG00000180228",36,39,20,20,24,15
"ENSG00000117155",12,10,29,9,10,3
"ENSG00000185420",8,11,41,3,9,9
"ENSG00000068654",8,26,28,13,14,8
"ENSG00000010017",40,31,59,15,27,20
"ENSG00000170464",8,10,20,9,12,28
"ENSG00000117791",15,12,12,3,9,3
"ENSG00000087266",16,20,26,3,7,12
"ENSG00000135775",23,26,45,15,18,5
"ENSG00000163156",56,47,48,18,25,57
"ENSG00000116830",20,53,67,6,7,16
"ENSG00000138801",27,56,50,17,28,15
"ENSG00000120727",128,188,60,78,64,23
"ENSG00000153898",66,65,80,49,62,16
"ENSG00000138443",15,16,36,5,8,8
"ENSG00000249915",31,41,96,47,30,53
"ENSG00000135945",14,16,20,9,10,13
"ENSG00000087206",28,38,65,9,15,3
"ENSG00000152253",5,29,42,7,4,63
"ENSG00000118873",22,21,40,16,20,12
"ENSG00000138778",3,8,26,3,3,17
"ENSG00000113318",6,11,22,3,5,7
"ENSG00000035499",2,10,11,2,3,16
"ENSG00000138642",4,4,25,2,2,14
"ENSG00000138035",39,50,32,17,17,16
"ENSG00000136699",32,53,19,11,23,3
"ENSG00000152422",12,24,30,5,5,5
"ENSG00000113194",16,20,37,11,18,10
"ENSG00000008083",17,9,33,19,22,142
"ENSG00000143333",7,16,47,12,40,24
