"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"ENSG00000105325",16.6512962822871,13.8793057173453,10.4455131380893,18.8846943675902,27.4251779324442,4.22331985785077
"ENSG00000177311",4.44034567527657,6.07219625133856,21.6371343574708,7.6937643719812,5.22384341570366,2.81554657190052
"ENSG00000066827",32.1925061457551,33.8308076860291,37.3054040646048,4.19659874835338,6.52980426962957,25.3399191471046
"ENSG00000148459",15.541209863468,19.9515019686838,17.1604858697182,13.9886624945113,6.52980426962957,21.1165992892539
"ENSG00000198786",54.394234522138,1.73491321466816,58.9425384220756,3.49716562362782,77.051690381629,15.4855061454528
"ENSG00000134283",68.8253579667868,69.3965285867264,35.8131879020206,55.2552168533195,48.3205515952588,63.3497978677616
"ENSG00000123240",73.2657036420634,60.7219625133856,66.4036192349965,76.2382105950864,126.678202830814,80.2430772991647
"ENSG00000152223",6.66051851291485,6.07219625133856,8.20718889421305,7.6937643719812,9.1417259774814,7.03886642975129
"ENSG00000166579",21.0916419575637,12.1443925026771,18.6527020323024,27.9773249890225,53.5443950109625,49.272065008259
"ENSG00000159147",21.0916419575637,24.2887850053542,14.9221616258419,23.0812931159436,16.9774911010369,21.1165992892539
"ENSG00000109919",89.9169999243505,106.697162702092,79.0874566169622,83.9319749670676,79.6636120894808,95.7285834446175
"ENSG00000014824",27.7521604704786,48.5775700107085,31.336539414268,33.572789986827,40.4847864717034,39.4176520066072
"ENSG00000105701",103.23803695018,126.648664670776,52.2275656904467,90.9263062143232,92.72322062874,23.9321458611544
"ENSG00000164751",11.1008641881914,19.9515019686838,10.4455131380893,24.4801593653947,36.5669039099256,33.7865588628062
"ENSG00000122687",13.3210370258297,16.4816755393475,10.4455131380893,9.79206374615789,14.3655693931851,8.44663971570155
"ENSG00000131116",8.88069135055314,20.8189585760179,0.746108081292096,8.39319749670676,9.1417259774814,19.7088260033036
"ENSG00000172115",464.016123066401,196.912649864836,259.645612289649,324.536969872661,263.804092493035,139.369555309076
"ENSG00000167004",300.833419499987,396.427669551674,132.061130388701,622.495481005751,349.997508852145,460.341864505734
"ENSG00000156411",97.6876048560845,115.371728775433,94.0096182428041,79.0359430939887,161.939145886813,192.864940175185
"ENSG00000176531",5.55043209409571,6.93965285867264,5.96886465033677,3.49716562362782,1.30596085392591,5.63109314380103
"ENSG00000103591",34.4126789833934,57.2521360840492,31.336539414268,54.555783728594,39.1788256177774,38.009878720657
"ENSG00000129351",117.669160394829,91.0829437700784,61.9269707472439,95.8223380874022,95.3351423365918,47.8642917223088
"ENSG00000138160",9.99077776937228,28.6260680420246,35.8131879020206,13.2892293697857,2.61192170785183,22.5243725752041
"ENSG00000118007",13.3210370258297,13.8793057173453,14.1760535445498,17.4858281181391,27.4251779324442,21.1165992892539
"ENSG00000088387",3.33025925645743,3.46982642933632,18.6527020323024,3.49716562362782,2.61192170785183,4.22331985785077
"ENSG00000110697",21.0916419575637,21.686415183352,14.9221616258419,18.8846943675902,22.2013345167406,9.8544130016518
"ENSG00000141560",16.6512962822871,19.0840453613498,29.0982151703917,20.9829937417669,20.8953736628146,12.6699595735523
"ENSG00000107485",11.1008641881914,9.54202268067488,40.2898363897732,9.79206374615789,7.83576512355549,8.44663971570155
"ENSG00000145041",27.7521604704786,27.7586114346905,32.8287555768522,22.381859991218,20.8953736628146,16.8932794314031
"ENSG00000171960",54.394234522138,63.3243323353878,24.6215666826392,83.232541842342,60.0741992805921,35.1943321487564
"ENSG00000138709",8.88069135055314,9.54202268067488,15.668269707134,18.1852612428646,15.671530247111,19.7088260033036
"ENSG00000165406",6.66051851291485,8.6745660733408,11.9377293006735,6.29489812253007,16.9774911010369,8.44663971570155
"ENSG00000135698",21.0916419575637,33.8308076860291,20.1449181948866,31.4744906126504,24.8132562245924,46.4565184363585
"ENSG00000163636",138.760802352393,203.852302723509,99.2323748118487,144.782656818192,137.125889662221,195.680486747086
"ENSG00000133985",24.4219012140211,28.6260680420246,34.3209717394364,2.79773249890225,1.30596085392591,15.4855061454528
"ENSG00000074603",11.1008641881914,13.0118491100112,28.3521070890996,12.5897962450601,22.2013345167406,19.7088260033036
"ENSG00000106305",16.6512962822871,37.3006341153654,94.7557263240962,41.9659874835338,36.5669039099256,38.009878720657
"ENSG00000160613",21.0916419575637,39.0355473300336,19.3988101135945,30.0756243631992,22.2013345167406,25.3399191471046
"ENSG00000173273",9.99077776937228,7.80710946600672,26.1137828452234,6.99433124725563,9.1417259774814,7.03886642975129
"ENSG00000072609",11.1008641881914,16.4816755393475,23.129350520055,19.5841274923158,27.4251779324442,19.7088260033036
"ENSG00000141994",8.88069135055314,14.7467623246794,0.746108081292096,4.19659874835338,7.83576512355549,2.81554657190052
"ENSG00000179526",62.1648394538719,55.5172228693811,59.6886465033677,19.5841274923158,24.8132562245924,4.22331985785077
"ENSG00000166226",275.301431867147,399.897495981011,154.444372827464,232.911230533613,189.364323819258,191.457166889235
"ENSG00000105339",18.8714691199254,26.0236982200224,25.3676747639313,23.0812931159436,14.3655693931851,14.0777328595026
"ENSG00000142684",28.8622468892977,41.6379171520358,29.8443232516838,29.3761912384737,19.5894128088887,15.4855061454528
"ENSG00000177954",1780.5786157859,1371.44889619518,1338.51789783802,1627.58088123639,1979.83665455169,1642.87142470395
"ENSG00000198707",11.1008641881914,6.93965285867264,13.4299454632577,6.99433124725563,6.52980426962957,12.6699595735523
"ENSG00000065923",12.2109506070106,18.2165887540157,28.3521070890996,20.2835606170413,7.83576512355549,30.9710122909057
