"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"ENSG00000109685",15,29,33,43,9,11
"ENSG00000166197",133,135,81,133,95,58
"ENSG00000149823",43,83,25,32,17,13
"ENSG00000123146",85,98,60,64,49,16
"ENSG00000035720",11,31,20,58,26,18
"ENSG00000101997",19,29,11,40,21,10
"ENSG00000166123",11,12,21,5,9,10
"ENSG00000103249",41,41,27,41,33,7
"ENSG00000141349",12,37,28,44,15,15
"ENSG00000111540",49,43,118,78,89,95
"ENSG00000169813",90,131,81,147,68,73
"ENSG00000144136",38,30,29,50,25,15
"ENSG00000116237",8,16,56,46,19,18
"ENSG00000120526",43,60,38,43,19,18
"ENSG00000103876",11,55,32,18,11,17
"ENSG00000179715",4,6,26,13,10,28
"ENSG00000145354",50,50,105,44,31,42
"ENSG00000108591",29,37,40,94,41,59
"ENSG00000120800",14,15,44,13,7,14
"ENSG00000185946",31,17,38,32,27,10
"ENSG00000089022",24,27,22,35,15,10
"ENSG00000173230",21,26,52,35,22,24
"ENSG00000087884",17,23,23,20,5,18
"ENSG00000056586",9,14,25,15,12,10
"ENSG00000153487",3,6,15,2,1,4
"ENSG00000115652",22,23,48,67,45,32
"ENSG00000120889",128,69,68,65,85,32
"ENSG00000178988",48,58,50,52,18,67
"ENSG00000162623",67,66,79,44,36,19
"ENSG00000100804",51,85,79,118,49,116
"ENSG00000100918",23,58,24,21,9,13
"ENSG00000134825",79,75,225,159,74,103
"ENSG00000062485",77,114,104,121,67,53
"ENSG00000130684",13,6,12,25,7,11
"ENSG00000054116",35,56,34,71,37,38
"ENSG00000198815",21,17,43,22,18,14
"ENSG00000164062",33,98,54,62,22,19
"ENSG00000162923",56,53,75,100,51,58
"ENSG00000143633",17,22,21,32,14,20
"ENSG00000143493",25,33,40,31,16,17
"ENSG00000104765",105,37,38,34,56,21
"ENSG00000158417",126,156,72,238,68,68
"ENSG00000137812",6,13,16,28,13,16
"ENSG00000086712",19,16,51,28,14,17
"ENSG00000102931",18,34,17,28,24,14
"ENSG00000159202",83,102,97,112,64,66
"ENSG00000125844",28,13,35,53,20,18
"ENSG00000127804",9,12,15,10,7,6
"ENSG00000116584",49,52,29,72,33,28
"ENSG00000096080",67,86,44,107,38,48
"ENSG00000141424",51,55,36,44,33,33
"ENSG00000161654",33,23,35,67,32,34
"ENSG00000155368",196,319,613,730,429,378
"ENSG00000089063",23,34,41,49,35,35
"ENSG00000196151",9,17,34,19,14,15
"ENSG00000153933",6,6,32,16,3,25
"ENSG00000055208",33,41,32,42,36,20
"ENSG00000136100",17,22,22,34,28,32
"ENSG00000156831",18,35,32,19,15,30
"ENSG00000072849",30,47,49,49,28,30
"ENSG00000115548",19,18,33,29,20,20
"ENSG00000101464",11,20,20,26,11,21
"ENSG00000125534",29,61,10,44,42,7
"ENSG00000158793",31,26,58,45,25,21
"ENSG00000124795",85,172,63,146,45,30
"ENSG00000166925",27,44,11,54,19,14
"ENSG00000143321",83,159,201,136,58,73
"ENSG00000165806",34,16,30,32,21,9
"ENSG00000187555",97,127,80,102,68,40
"ENSG00000140650",35,34,30,96,48,61
"ENSG00000135766",23,10,18,38,22,21
"ENSG00000137478",23,50,33,37,16,34
"ENSG00000103932",10,17,20,16,10,11
"ENSG00000075624",2707,2961,2857,3650,3277,1489
"ENSG00000182858",8,15,14,45,22,13
"ENSG00000100473",25,22,8,3,7,1
"ENSG00000197555",32,30,37,34,24,22
"ENSG00000172977",34,40,37,57,32,31
"ENSG00000103148",16,29,23,12,7,7
"ENSG00000164031",19,13,8,12,11,3
"ENSG00000075151",22,26,52,46,24,24
"ENSG00000130764",44,59,18,45,16,11
"ENSG00000130303",272,314,427,361,301,153
"ENSG00000157837",36,33,37,30,24,11
"ENSG00000178537",25,37,18,33,9,19
"ENSG00000140474",18,19,26,22,13,19
"ENSG00000134602",49,89,71,112,74,51
"ENSG00000134324",20,15,33,16,14,12
"ENSG00000141380",21,28,37,36,33,29
"ENSG00000081154",47,68,87,106,48,64
"ENSG00000148688",36,51,62,64,51,43
"ENSG00000126261",88,132,104,92,73,40
"ENSG00000138071",176,368,183,376,245,97
"ENSG00000122512",10,16,40,71,35,34
"ENSG00000152558",59,136,46,127,93,43
"ENSG00000058799",16,21,51,19,15,17
"ENSG00000159840",90,138,42,126,123,30
"ENSG00000213923",29,23,32,35,31,24
"ENSG00000139746",33,34,24,52,27,31
"ENSG00000158290",24,33,54,37,31,20
"ENSG00000151611",12,16,20,13,5,3
"ENSG00000152409",5,4,26,12,3,4
"ENSG00000119929",22,38,26,33,11,6
"ENSG00000100271",3,6,18,4,2,25
"ENSG00000164494",3,6,19,11,9,7
"ENSG00000088356",62,54,55,42,21,15
"ENSG00000198586",53,49,76,88,74,59
"ENSG00000015153",5,9,28,10,4,9
"ENSG00000163870",37,42,29,53,20,22
"ENSG00000163378",3,6,10,19,4,14
"ENSG00000163138",6,5,14,6,4,6
"ENSG00000132305",61,86,126,65,31,35
"ENSG00000107104",1,6,1,16,4,10
"ENSG00000187257",12,20,23,21,7,11
"ENSG00000114757",1,2,7,1,1,17
"ENSG00000143333",7,16,47,47,12,10
"ENSG00000006607",5,7,27,9,5,6
"ENSG00000197860",12,12,36,31,13,25
"ENSG00000130770",20,86,48,153,36,25
"ENSG00000134697",55,87,56,79,42,41
"ENSG00000109689",4,7,23,18,1,7
"ENSG00000100226",16,27,34,47,24,14
"ENSG00000236287",6,10,34,14,7,19
"ENSG00000106617",6,6,31,6,4,19
"ENSG00000120727",128,188,60,147,180,130
"ENSG00000090013",36,28,18,108,66,16
"ENSG00000138629",30,74,42,67,32,46
"ENSG00000101336",2,21,62,6,16,5
"ENSG00000013573",18,22,28,16,3,7
"ENSG00000114745",7,16,14,38,12,13
"ENSG00000104998",32,42,21,18,11,4
"ENSG00000198270",4,5,20,3,2,9
"ENSG00000123815",12,18,3,19,7,14
"ENSG00000203485",16,23,15,19,3,4
"ENSG00000243667",13,16,33,45,47,36
"ENSG00000125726",52,78,53,73,57,5
"ENSG00000135870",5,3,41,6,5,3
"ENSG00000176142",16,21,22,25,19,13
"ENSG00000125652",24,52,100,25,15,13
"ENSG00000047315",120,113,86,140,76,63
"ENSG00000142327",17,47,41,92,30,17
"ENSG00000166037",32,33,39,29,16,12
"ENSG00000113312",106,142,120,102,73,60
"ENSG00000160190",10,15,30,28,19,9
"ENSG00000102572",92,100,108,111,114,47
"ENSG00000115816",71,101,70,144,52,38
"ENSG00000140416",1,2,1,13,5,3
"ENSG00000100221",54,38,53,51,72,63
"ENSG00000129197",34,47,40,59,28,37
"ENSG00000113441",21,24,18,50,27,22
"ENSG00000172638",9,2,4,4,3,1
"ENSG00000167685",3,3,15,2,1,2
"ENSG00000134444",18,12,27,20,11,11
"ENSG00000121774",146,186,103,245,160,54
"ENSG00000105058",51,42,86,60,37,6
"ENSG00000138678",34,3,15,28,30,24
"ENSG00000124762",170,121,254,135,75,51
"ENSG00000166233",38,37,24,58,43,20
"ENSG00000033050",67,122,76,72,35,46
"ENSG00000120697",36,55,34,66,24,47
"ENSG00000163006",3,9,48,5,2,10
"ENSG00000171155",4,9,23,14,4,1
"ENSG00000105698",74,81,77,118,83,52
"ENSG00000135272",23,24,50,56,26,45
"ENSG00000114270",9,2,8,3,3,7
"ENSG00000164463",6,4,8,11,6,16
"ENSG00000198898",66,127,45,167,85,98
"ENSG00000135211",25,25,32,26,18,5
"ENSG00000135823",45,37,52,69,38,48
"ENSG00000117758",41,25,32,57,37,57
"ENSG00000130560",47,58,25,45,24,13
"ENSG00000142546",21,44,9,31,15,6
"ENSG00000168397",48,56,37,57,20,28
"ENSG00000105642",11,4,13,12,4,1
"ENSG00000149503",6,16,18,12,5,6
"ENSG00000165209",33,62,45,58,32,41
"ENSG00000082269",8,14,47,9,4,10
"ENSG00000166340",52,46,27,84,64,40
"ENSG00000101901",12,8,29,19,6,16
"ENSG00000089094",26,26,18,38,27,22
"ENSG00000181090",25,31,30,28,11,12
"ENSG00000181019",66,90,133,49,3,20
"ENSG00000168781",12,11,67,13,9,11
"ENSG00000100425",13,17,16,12,9,7
"ENSG00000136243",27,50,27,31,11,26
"ENSG00000090581",20,20,17,28,17,7
"ENSG00000090487",61,102,53,54,27,38
"ENSG00000127507",3,4,14,7,11,4
