"baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000105325",15.2515512159345,0.0646537522789962,0.297865729235833,0.621993735965301,0.934575207850052
"ENSG00000177311",7.98047177394521,-0.134432226368099,0.338860764546493,0.244680213812786,0.78446552765597
"ENSG00000066827",23.2325066769128,-0.886216300916165,0.863721741278879,0.0104834912189717,0.193595137843678
"ENSG00000148459",15.7147106258775,-0.0794151714202197,0.295328547081326,0.564409689664097,0.919409956913395
"ENSG00000198786",35.1843413849319,-0.0111559323815011,0.31713693483488,0.860623875902285,0.981581076826239
"ENSG00000134283",56.826773461979,-0.0205090130010358,0.255764772849815,0.894221262702168,0.988892840837302
"ENSG00000123240",80.5917960192517,0.243262907071514,0.297429722685507,0.18433058037298,0.72331652079391
"ENSG00000152223",7.46904340628006,0.0281781324358762,0.299725955125661,0.811485355791647,0.978257429065669
"ENSG00000166579",30.4470869167979,0.886176962462866,0.589232710797143,0.00743936673176021,0.152644784051673
"ENSG00000159147",20.246328682499,0.010187750260414,0.275829017354867,0.945895575884875,0.994871874256546
"ENSG00000109919",89.1709649574284,-0.0414689559200154,0.238352342524113,0.796566798204195,0.977699510222832
"ENSG00000014824",36.8569163934321,0.0232935691231217,0.262023353396467,0.882210952808213,0.988607812979049
"ENSG00000105701",81.6159900026034,-0.135411862143448,0.29660500392689,0.387059224642431,0.866557438666475
"ENSG00000164751",22.7219169055152,0.582232992221827,0.612446243769138,0.0259973899656845,0.317563799776706
"ENSG00000122687",12.1420830930518,-0.0633424184467839,0.295668858562613,0.630958485394919,0.935980287604213
"ENSG00000131116",11.2815845808925,0.0360511015758596,0.305198477010485,0.741052188484099,0.970469792131073
"ENSG00000172115",274.714167149276,-0.132874857591964,0.274460842603499,0.419250428952887,0.879319443058473
"ENSG00000167004",377.026178967332,0.427258411755431,0.40045833461782,0.0531167644478119,0.452406550184178
"ENSG00000156411",123.484830171718,0.224678492593696,0.299171643924811,0.211420463458563,0.756923279891597
"ENSG00000176531",4.81552820407665,-0.087126652941024,0.322434904083991,0.38756024307296,NA
"ENSG00000103591",42.4576404247898,0.0396905508642341,0.262701780627051,0.800862960732888,0.978074162187291
"ENSG00000129351",84.950141176409,-0.0641614804823509,0.259062256277955,0.685517295986176,0.95326864413624
"ENSG00000138160",18.8092595610432,-0.204893563539595,0.368279759587064,0.155147788211578,0.67581888589089
"ENSG00000118007",17.900666937927,0.193302854486787,0.333854084011987,0.226872116839615,0.770227676891707
"ENSG00000088387",5.96419915123776,-0.139732388479459,0.348646884091714,0.178543213761755,NA
"ENSG00000110697",18.1067767754567,-0.0402415789857579,0.282915596730677,0.774272588780101,0.973667008719229
"ENSG00000141560",19.8969806320271,-0.0655049221736556,0.284107377127774,0.651150709228071,0.943360103931382
