"geneName","teName","pvalue","coef","padj"
"1","ENSG00000162714","(CATTC)n",0.0284979612556282,0.998998237388843,0.665736119615656
"2","ENSG00000162714","(GAATG)n",NA,NA,NA
"3","ENSG00000162714","7SK",0.183559254885702,0.958718884053681,0.721062365849126
"4","ENSG00000162714","ACRO1",NA,NA,NA
"5","ENSG00000162714","ALR/Alpha",0.577549922563219,0.615943476072256,0.826884024797825
"6","ENSG00000162714","AluJb",0.156377482651598,0.969982577139563,0.716867728715671
"7","ENSG00000162714","AluJo",0.804316433094435,-0.302561551985455,0.918655533877467
"8","ENSG00000162714","AluJr4",0.0843979710926228,0.991225192349444,0.706553187844734
"9","ENSG00000162714","AluJr",0.306215728125588,0.886531524571021,0.735828201484289
"10","ENSG00000162714","AluSc5",0.120285604119793,0.982203087770062,0.706553187844734
"11","ENSG00000162714","AluSc8",0.274856406730707,0.90823758184684,0.735828201484289
"12","ENSG00000162714","AluSc",0.124746166704607,0.980862988932342,0.706553187844734
"13","ENSG00000162714","AluSg4",0.425257567463996,0.785066389852486,0.775464787471032
"14","ENSG00000162714","AluSg7",0.230976721425672,0.93490061822852,0.725706730794776
"15","ENSG00000162714","AluSg",0.431392581800157,0.779060846466433,0.778246731025762
"16","ENSG00000162714","AluSp",0.859497453425017,-0.218913560395092,0.940669040913087
"17","ENSG00000162714","AluSq10",0.0790834776614283,0.992294111586008,0.706553187844734
"18","ENSG00000162714","AluSq2",0.0538134498469239,0.996429468948116,0.706553187844734
"19","ENSG00000162714","AluSq4",0.0694657886705883,0.99405268763687,0.706553187844734
"20","ENSG00000162714","AluSq",0.395033145103072,0.813578177582193,0.765710934503657
"21","ENSG00000162714","AluSx1",0.290724509152935,0.897526318767609,0.735828201484289
"22","ENSG00000162714","AluSx3",0.303591907300866,0.88843087103053,0.735828201484289
"23","ENSG00000162714","AluSx4",0.358229481290932,0.845814859203552,0.747562467570465
"24","ENSG00000162714","AluSx",0.589959356149355,0.600471278538831,0.831264822897127
"25","ENSG00000162714","AluSz6",0.00757501954294994,0.999929209961322,0.375527564576029
"26","ENSG00000162714","AluSz",0.592626133754935,0.597116329943068,0.831264822897127
"27","ENSG00000162714","AluY",0.676445344810986,0.486639119302359,0.861501860294943
"28","ENSG00000162714","AluYa5",0.617756114974735,0.564995079937393,0.84309371673225
"29","ENSG00000162714","AluYa8",0.447444291490292,0.763007038773521,0.779878121812769
"30","ENSG00000162714","AluYb8",0.169948270015608,0.964578856876938,0.716867728715671
"31","ENSG00000162714","AluYb9",0.632455605981362,-0.54579481802419,0.852426565085066
"32","ENSG00000162714","AluYc3",0.925438722071234,0.116853003408205,0.969244030321381
"33","ENSG00000162714","AluYc",0.268175448501253,0.912578931568137,0.732230867426205
"34","ENSG00000162714","AluYd8",0.169948270015608,0.964578856876938,0.716867728715671
"35","ENSG00000162714","AluYg6",0.340148016115719,0.860623649996862,0.739720781918274
"36","ENSG00000162714","AluYh9",0.169948270015608,-0.964578856876938,0.716867728715671
"37","ENSG00000162714","AluYk11",0.617756114974735,0.564995079937393,0.84309371673225
"38","ENSG00000162714","AluYk12",NA,NA,NA
"39","ENSG00000162714","AluYk4",0.142587601099045,0.97502203909064,0.716867728715671
"40","ENSG00000162714","AmnSINE1",0.0533123090539342,0.996495622155228,0.706553187844734
"41","ENSG00000162714","Arthur1",0.24997076511518,0.923897105144723,0.726195907323444
"42","ENSG00000162714","Arthur1A",0.0489105516919313,0.997050141065987,0.706553187844734
"43","ENSG00000162714","Arthur1B",0.353854426380232,-0.849461078646514,0.744452201775116
"44","ENSG00000162714","Arthur1C",0.209278790011227,0.946451709266103,0.721062365849126
"45","ENSG00000162714","BLACKJACK",0.110996130496078,0.984839099742836,0.706553187844734
"46","ENSG00000162714","BSR/Beta",0.0014702077740791,0.999997333344,0.102256242197143
"47","ENSG00000162714","CER",NA,NA,NA
"48","ENSG00000162714","CR1_Mam",0.422922461835222,0.787333090180742,0.775007885581668
"49","ENSG00000162714","Charlie10",0.590546577252031,-0.599733425625247,0.831264822897127
"50","ENSG00000162714","Charlie10a",0.00896410500645621,0.999900867409918,0.41772729330086
"51","ENSG00000162714","Charlie10b",0.496718396651058,0.710742315593533,0.800203632916602
"52","ENSG00000162714","Charlie11",0.025460359539798,0.999200384992769,0.663855737108946
"53","ENSG00000162714","Charlie12",0.496718396651058,-0.710742315593533,0.800203632916602
"54","ENSG00000162714","Charlie13a",0.571313036892307,0.623631679325826,0.82526929693681
"55","ENSG00000162714","Charlie13b",0.984472688295658,-0.0243878260343882,0.996555387739278
"56","ENSG00000162714","Charlie14a",0.735462571284269,-0.403678930463429,0.89624884471357
"57","ENSG00000162714","Charlie15a",0.0602720018173159,0.995521665067358,0.706553187844734
"58","ENSG00000162714","Charlie16a",0.710905357366874,0.438661611630889,0.880649721489063
"59","ENSG00000162714","Charlie17a",0.854543146695192,0.226500298375961,0.939302055336619
"60","ENSG00000162714","Charlie18a",0.150353103908923,0.972240289353415,0.716867728715671
"61","ENSG00000162714","Charlie19a",0.335206684689308,0.864550329648611,0.738152997705064
"62","ENSG00000162714","Charlie1",0.646741986052249,-0.526855239802424,0.85583103764922
"63","ENSG00000162714","Charlie1a",0.262931761522226,0.91591595479848,0.729556037161729
"64","ENSG00000162714","Charlie1b",0.28019810116432,0.90469451611625,0.735828201484289
"65","ENSG00000162714","Charlie20a",0.0853125406294738,0.991034273651142,0.706553187844734
"66","ENSG00000162714","Charlie21a",0.0658705042747501,0.994651841839669,0.706553187844734
"67","ENSG00000162714","Charlie22a",0.35889282778358,0.84525852706012,0.748295560389925
"68","ENSG00000162714","Charlie23a",0.827329134753728,0.267917405880806,0.92882424183093
"69","ENSG00000162714","Charlie24",0.391356136984691,0.816922977236065,0.764520638362201
"70","ENSG00000162714","Charlie25",0.920004708035386,0.125325896510846,0.96604513590596
"71","ENSG00000162714","Charlie26a",0.779859317910391,0.338945830542643,0.910731282484804
"72","ENSG00000162714","Charlie2a",0.515677420090404,0.689480906963764,0.806528075976067
"73","ENSG00000162714","Charlie2b",0.134138952023708,0.977883713076186,0.716867728715671
"74","ENSG00000162714","Charlie3",0.434502634834202,0.77598875674457,0.778246731025762
"75","ENSG00000162714","Charlie4",0.78114117829246,-0.337050792941218,0.910731282484804
"76","ENSG00000162714","Charlie4a",0.243363753740753,0.927818429892887,0.72595838842192
"77","ENSG00000162714","Charlie4z",0.396535966384761,0.812203312842841,0.765710934503657
"78","ENSG00000162714","Charlie5",0.504516152282341,0.702072847060542,0.801180030056505
"79","ENSG00000162714","Charlie6",0.972352146012578,-0.0434154968882879,0.990850863857121
"80","ENSG00000162714","Charlie7",0.207597291615154,0.947301135705755,0.721062365849126
"81","ENSG00000162714","Charlie7a",0.208736041655155,0.946726606205049,0.721062365849126
"82","ENSG00000162714","Charlie8",0.494357255891131,0.713346435814942,0.800203632916602
"83","ENSG00000162714","Charlie9",0.576491520751842,0.617252352216014,0.82596479222247
"84","ENSG00000162714","Cheshire",0.00114423030457374,0.999998384761964,0.0820325110663632
"85","ENSG00000162714","D20S16",0.957652655005951,-0.0664700094043992,0.983615025860201
"86","ENSG00000162714","DNA1_Mam",0.48404584326367,-0.724603504926458,0.796761647458304
"87","ENSG00000162714","ERV3-16A3_I-int",0.43346179696982,-0.777018954942607,0.778246731025762
"88","ENSG00000162714","ERV3-16A3_LTR",0.19368827764198,0.954073451445751,0.721062365849126
"89","ENSG00000162714","ERVL-B4-int",0.738596011670254,-0.399170920621823,0.896441827237283
"90","ENSG00000162714","ERVL-E-int",0.32578318825328,0.871894230844484,0.735828201484289
"91","ENSG00000162714","ERVL-int",0.69151591484744,0.465824072698615,0.869526217806009
"92","ENSG00000162714","Eulor10",0.169948270015608,0.964578856876938,0.716867728715671
"93","ENSG00000162714","Eulor11",0.169948270015608,0.964578856876938,0.716867728715671
"94","ENSG00000162714","Eulor12",0.169948270015608,0.964578856876938,0.716867728715671
"95","ENSG00000162714","Eulor1",0.169948270015608,0.964578856876938,0.716867728715671
"96","ENSG00000162714","Eulor2A",0.169948270015608,0.964578856876938,0.716867728715671
"97","ENSG00000162714","Eulor2B",0.496718396651058,0.710742315593533,0.800203632916602
"98","ENSG00000162714","Eulor2C",0.169948270015608,0.964578856876938,0.716867728715671
"99","ENSG00000162714","Eulor3",0.496718396651058,0.710742315593533,0.800203632916602
"100","ENSG00000162714","Eulor4",NA,NA,NA
"101","ENSG00000162714","Eulor5A",0.412395180329114,0.797420018664184,0.771058231161808
"102","ENSG00000162714","Eulor5B",0.284422781641402,0.90184722883267,0.735828201484289
"103","ENSG00000162714","Eulor6A",0.303593641905972,0.888429620356276,0.735828201484289
"104","ENSG00000162714","Eulor6B",0.169948270015608,0.964578856876938,0.716867728715671
"105","ENSG00000162714","Eulor6C",NA,NA,NA
"106","ENSG00000162714","Eulor6D",0.870835024521226,0.201502720305086,0.945958946512978
"107","ENSG00000162714","Eulor6E",0.169948270015608,0.964578856876938,0.716867728715671
"108","ENSG00000162714","Eulor7",0.756865334944065,0.372698216970864,0.907018095845745
"109","ENSG00000162714","Eulor8",0.117520504378696,0.983009608058749,0.706553187844734
"110","ENSG00000162714","Eulor9A",0.808439295712127,0.296382612272748,0.920656675957603
"111","ENSG00000162714","Eulor9B",0.169948270015608,0.964578856876938,0.716867728715671
"112","ENSG00000162714","Eulor9C",0.675630771673125,0.487756520687765,0.860916412784904
"113","ENSG00000162714","FAM",0.27710862393598,0.906751502214275,0.735828201484289
"114","ENSG00000162714","FLAM_A",0.0481903313650739,0.997136335104528,0.706553187844734
