"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"MER74A",188,82,65,809,399,161
"MER74B",102,54,29,287,109,112
"MER74C",23,21,0,75,20,5
"MER75",37,30,2,726,345,261
"MER75A",2,0,0,10,0,3
"MER75B",14,11,12,9,4,1
"MER76-int",35,12,20,262,93,153
"MER76",37,14,28,761,353,177
"MER77",289,127,144,2295,1208,788
"MER77B",202,86,166,1050,282,330
"MER81",336,147,148,1109,247,134
"MER83",53,14,9,181,108,72
"MER83A-int",3,5,0,32,9,10
"MER83B-int",29,2,15,128,28,15
"MER83B",52,26,50,31,18,1
"MER83C",13,7,0,31,3,5
"MER84-int",5,0,8,149,61,26
"MER84",24,6,43,92,33,10
"MER85",122,45,90,176,63,58
"MER87",27,36,10,134,44,43
"MER87B",62,34,64,820,430,170
"MER88",7,9,0,16,10,4
"MER89-int",58,44,19,46,18,24
"MER89",183,154,100,1127,401,377
"MER8",263,172,38,757,368,221
"MER90",154,69,76,300,123,71
"MER90a",191,117,129,702,234,192
"MER91A",446,188,167,794,342,282
"MER91B",190,80,41,403,158,97
"MER91C",91,51,77,320,147,121
"MER92A",2,0,0,10,2,0
"MER92B",233,108,39,230,91,27
"MER92C",11,4,0,6,9,0
"MER94",358,170,179,673,296,220
"MER94B",49,22,0,149,67,42
"MER95",43,35,2,6,2,1
"MER96",72,42,20,130,43,9
"MER96B",126,39,69,666,286,279
"MER97a",4,1,15,19,3,0
"MER97b",6,4,0,3,3,25
"MER97c",24,8,0,31,9,3
"MER97d",28,17,29,19,3,1
"MER99",26,18,27,41,5,0
"MER9B",1,0,0,69,15,2
"MER9a1",73,33,24,193,65,52
"MER9a2",164,106,151,94,36,6
"MER9a3",70,20,57,534,242,191
"MERX",26,22,54,58,33,26
"MIR3",12354,5850,5873,34066,14153,11001
"MIR",22103,10581,8754,58109,25089,16628
"MIRb",28686,12999,12611,89811,38834,25384
"MIRc",13546,6330,4937,38914,16116,10806
"MLT-int",85,38,37,229,53,29
"MLT1-int",12,6,0,20,13,16
"MLT1A-int",33,16,0,533,275,143
"MLT1A0-int",57,40,10,729,263,227
"MLT1A0",1778,960,792,8287,3724,2535
"MLT1A1-int",42,17,9,89,41,49
"MLT1A1",752,399,428,3280,1163,899
"MLT1A",776,484,382,3338,1525,865
"MLT1B-int",203,88,164,104,24,15
"MLT1B",2388,1445,1104,5888,2223,1368
"MLT1C-int",103,49,0,20,5,11
"MLT1C",2929,1320,1046,2847,1279,708
"MLT1D-int",51,25,14,93,42,5
"MLT1D",2636,1247,1137,8152,3297,2047
"MLT1E-int",0,0,0,2,0,0
"MLT1E1-int",2,6,0,0,0,0
"MLT1E1",129,55,5,561,202,133
"MLT1E1A-int",10,2,0,19,95,17
"MLT1E1A",308,122,35,1527,666,299
"MLT1E2-int",9,11,0,63,21,31
"MLT1E2",558,319,375,1964,774,531
"MLT1E3-int",8,31,0,20,1,0
"MLT1E3",214,102,4,619,185,200
"MLT1E",73,29,46,347,212,79
"MLT1F-int",120,62,103,364,127,119
"MLT1F1-int",155,35,14,43,15,12
"MLT1F1",647,325,329,772,331,139
"MLT1F2-int",41,12,26,111,33,41
"MLT1F2",895,443,170,2775,1071,877
"MLT1F",652,341,313,2050,858,574
"MLT1G-int",141,51,8,34,6,0
"MLT1G1-int",10,12,0,74,17,0
"MLT1G1",245,177,160,2196,930,625
"MLT1G3-int",9,6,0,38,18,4
"MLT1G3",312,122,94,1307,543,358
"MLT1G",349,183,81,843,450,246
"MLT1H-int",62,45,56,671,279,211
"MLT1H1-int",12,10,20,62,28,0
"MLT1H1",319,219,128,2495,1056,431
"MLT1H2-int",19,9,6,1270,526,570
"MLT1H2",319,165,52,1505,550,327
"MLT1H",903,496,378,3819,1562,1109
"MLT1I-int",43,22,5,136,54,38
"MLT1I",851,420,731,2771,1154,798
"MLT1J-int",83,40,61,176,81,60
"MLT1J1-int",19,12,10,114,37,4
"MLT1J1",236,116,135,6725,4521,3588
"MLT1J2-int",60,31,49,144,62,22
"MLT1J2",415,244,300,2670,990,962
"MLT1J",2100,1539,1215,5659,2288,1649
"MLT1K-int",6,8,0,11,1,6
"MLT1K",1781,991,999,7229,2826,1978
"MLT1L-int",12,2,13,22,3,2
"MLT1L",1007,495,456,5334,2452,1548
"MLT1M-int",0,0,0,0,0,0
"MLT1M",230,92,172,874,408,261
"MLT1N2-int",2,0,0,11,6,5
"MLT1N2",473,229,136,1859,747,577
"MLT2A1",267,137,123,1108,344,291
"MLT2A2",306,214,227,1885,749,497
"MLT2B1",260,94,78,3309,1589,656
"MLT2B2",91,50,21,786,240,213
"MLT2B3",535,297,158,733,230,200
"MLT2B4",407,213,110,1491,480,561
"MLT2B5",1,3,8,214,133,147
"MLT2C1",214,92,90,1091,271,334
"MLT2C2",98,50,77,1324,936,564
"MLT2D",377,113,167,1196,597,299
"MLT2E",15,7,0,40,19,10
"MLT2F",99,71,98,835,291,256
"MSR1",75,15,95,313,142,81
"MST-int",2109,1457,521,47,26,18
"MSTA-int",655,322,349,1824,614,431
"MSTA",1558,971,991,9183,4067,2668
"MSTB-int",139,50,19,1050,323,206
"MSTB1-int",23,9,0,1068,340,291
"MSTB1",426,287,193,2077,748,419
"MSTB2-int",2,0,0,21,5,0
"MSTB2",108,67,29,315,114,100
"MSTB",741,407,459,6486,3721,2004
"MSTC-int",45,5,0,51,17,3
"MSTC",314,199,100,1420,426,446
"MSTD-int",204,84,94,883,357,141
"MSTD",704,323,365,3664,1705,922
"MamGyp-int",19,4,0,56,30,4
"MamGypLTR1a",65,36,50,110,51,21
"MamGypLTR1b",94,67,20,161,47,51
"MamGypLTR1c",130,67,19,446,141,186
"MamGypLTR1d",41,14,0,183,71,47
"MamGypLTR2b",34,13,23,201,94,102
"MamGypLTR2c",34,30,47,228,100,66
"MamGypLTR3",42,14,2,485,171,275
"MamRep137",411,207,259,555,177,122
"MamRep1527",59,28,77,251,109,68
"MamRep1879",112,49,68,457,172,163
"MamRep1894",30,31,37,230,74,61
"MamRep38",198,69,105,732,252,197
"MamRep4096",41,17,28,381,111,123
"MamRep434",199,108,35,1134,402,347
"MamRep488",26,18,39,133,40,5
"MamRep564",85,45,51,192,59,26
"MamRep605",475,267,182,1449,608,386
"Mam_R4",56,87,22,177,50,78
"Merlin1_HS",5,7,0,33,12,5
"ORSL-2a",9,4,4,256,53,90
"ORSL-2b",64,25,0,133,50,38
"ORSL",157,90,64,403,147,122
"PABL_A-int",140,54,34,90,60,44
"PABL_A",97,47,8,1536,902,153
"PABL_B-int",36,20,19,99,18,80
"PABL_B",54,46,0,85,82,27
"PRIMA4-int",269,69,97,380,230,131
"PRIMA41-int",131,164,48,190,96,27
"PRIMA4_LTR",42,26,18,272,130,65
"PRIMAX-int",25,11,8,16,6,4
"Plat_L3",485,321,153,525,184,198
"PrimLTR79",34,8,0,19,2,14
"REP522",12,9,8,469,98,43
"Ricksha",59,31,71,891,533,199
"Ricksha_0",45,34,45,159,52,29
"Ricksha_a",6,3,2,31,30,0
"Ricksha_b",18,3,0,40,14,9
"Ricksha_c",69,40,32,186,83,25
"SAR",0,0,0,0,0,0
"SATR1",129,32,47,644,174,227
"SATR2",45,18,18,568,50,129
"SST1",158,193,88,142,107,18
"SVA_A",186,122,153,1680,745,481
"SVA_B",254,160,84,882,403,198
"SVA_C",449,283,113,845,224,268
"SVA_D",951,574,306,7494,2302,1823
"TAR1",6,5,4,7,1,0
"THE1-int",321,165,147,91,19,19
"THE1A-int",607,497,146,3442,1327,967
"THE1A",320,177,248,1868,713,464
"THE1B-int",1781,864,688,3809,1793,853
"THE1B",2097,1315,1117,10313,5767,3236
"THE1C-int",525,213,334,1704,452,436
"THE1C",830,372,369,2361,881,738
"THE1D-int",526,402,320,1448,586,414
"THE1D",820,400,480,3938,1696,1412
"Tigger10",170,82,66,353,249,90
"Tigger11a",60,18,41,126,22,4
"Tigger12",44,9,21,262,91,63
"Tigger12A",92,50,81,112,41,9
"Tigger12c",198,78,95,123,43,25
"Tigger13a",485,223,58,1265,443,243
"Tigger14a",146,97,2,190,35,120
"Tigger15a",996,467,446,1521,622,515
"Tigger16a",49,63,40,687,279,478
"Tigger16b",186,76,116,668,394,300
"Tigger1",4583,2372,1393,12209,5580,3973
"Tigger1a_Art",54,59,83,11,3,2
"Tigger1a_Mars",5,3,0,3,2,0
"Tigger2",1334,443,297,978,343,279
"Tigger2a",485,242,179,850,242,296
"Tigger2b_Pri",253,142,187,785,263,176
"Tigger3",286,84,62,574,188,131
"Tigger3a",1021,511,390,2358,1324,868
"Tigger3b",1408,846,715,3760,1791,1571
"Tigger3c",381,207,220,526,216,135
"Tigger3d",35,9,15,42,16,6
"Tigger4",280,139,48,1087,400,295
"Tigger4a",792,328,499,3515,2102,1655
"Tigger4b",638,330,214,1245,516,394
"Tigger5",289,132,104,1395,731,686
"Tigger6a",172,81,22,768,359,144
"Tigger6b",33,13,40,15,2,4
"Tigger7",440,275,194,1271,419,306
"Tigger8",219,90,7,773,429,353
"Tigger9a",96,81,91,469,129,52
"Tigger9b",73,41,48,206,63,72
"UCON11",0,0,0,1,0,4
"UCON12",0,1,0,43,19,7
"UCON12A",0,0,0,4,3,0
"UCON14",3,4,0,16,10,0
"UCON15",0,0,0,4,7,0
"UCON16",1,1,0,1,0,0
"UCON17",0,0,0,1,1,0
"UCON18",0,0,0,0,0,0
"UCON19",0,0,0,9,3,0
"UCON1",2,0,0,36,5,2
"UCON20",4,1,0,0,4,0
"UCON21",3,1,0,5,1,4
"UCON22",1,1,0,7,4,0
"UCON23",1,0,0,25,0,1
"UCON24",0,0,0,0,0,0
"UCON25",0,0,0,15,4,0
"UCON26",2,2,0,17,9,1
"UCON28a",6,1,0,7,3,0
"UCON28b",6,3,64,26,7,4
"UCON28c",1,1,0,10,5,0
"UCON29",31,34,40,369,221,107
"UCON2",14,8,0,32,57,9
"UCON31",3,1,37,9,6,0
"UCON4",43,54,0,61,41,10
"UCON5",2,0,0,17,0,0
"UCON6",10,0,0,0,6,0
"UCON7",0,0,0,5,1,0
"UCON8",1,0,0,38,38,29
"UCON9",0,1,0,2,0,11
"X1_LINE",3,2,0,95,31,29
"X2_LINE",0,2,0,3140,2094,649
"X5B_LINE",7,0,0,14,9,5
"X6A_LINE",28,26,22,184,74,41
"X7A_LINE",133,70,35,261,119,85
"X7B_LINE",53,58,8,116,54,20
"X7C_LINE",76,33,0,320,128,81
"X7D_LINE",2,0,0,0,1,0
"X8_LINE",13,4,0,25,2,0
"X9_LINE",1,1,0,98,46,44
"Zaphod2",16,10,19,89,31,7
"Zaphod3",84,28,45,845,469,356
"Zaphod",109,73,46,482,183,63
