"ensembl_gene_id","external_gene_name"
"166","ENSG00000171649","ZIK1"
"167","ENSG00000167232","ZNF91"
"168","ENSG00000197050","ZNF420"
"169","ENSG00000176024","ZNF613"
"170","ENSG00000213020","ZNF611"
"171","ENSG00000204519","ZNF551"
"172","ENSG00000198046","ZNF667"
"173","ENSG00000198028","ZNF560"
"174","ENSG00000160961","ZNF333"
"175","ENSG00000161551","ZNF577"
"176","ENSG00000204611","ZNF616"
"177","ENSG00000144026","ZNF514"
"178","ENSG00000196867","ZFP28"
"179","ENSG00000197863","ZNF790"
"180","ENSG00000197647","ZNF433"
"181","ENSG00000198538","ZNF28"
"182","ENSG00000197054","ZNF763"
"183","ENSG00000197619","ZNF615"
"184","ENSG00000181007","ZFP82"
"185","ENSG00000197714","ZNF460"
"186","ENSG00000197013","ZNF429"
"187","ENSG00000182141","ZNF708"
"188","ENSG00000198551","ZNF627"
"189","ENSG00000189190","ZNF600"
"190","ENSG00000083828","ZNF586"
"191","ENSG00000189144","ZNF573"
"192","ENSG00000196417","ZNF765"
"193","ENSG00000187187","ZNF546"
"194","ENSG00000186017","ZNF566"
"195","ENSG00000249709","ZNF564"
"196","ENSG00000198466","ZNF587"
"197","ENSG00000184635","ZNF93"
"198","ENSG00000173875","ZNF791"
"199","ENSG00000198182","ZNF607"
"200","ENSG00000188283","ZNF383"
"201","ENSG00000196724","ZNF418"
"202","ENSG00000197128","ZNF772"
"203","ENSG00000197497","ZNF665"
"204","ENSG00000196646","ZNF136"
"205","ENSG00000197360","ZNF98"
"206","ENSG00000197124","ZNF682"
"207","ENSG00000188629","ZNF177"
"208","ENSG00000198093","ZNF649"
"209","ENSG00000213096","ZNF254"
"210","ENSG00000166704","ZNF606"
"211","ENSG00000196268","ZNF493"
"212","ENSG00000198521","ZNF43"
"213","ENSG00000167555","ZNF528"
"214","ENSG00000159915","ZNF233"
"215","ENSG00000197808","ZNF461"
"216","ENSG00000197044","ZNF441"
"217","ENSG00000178935","ZNF552"
"218","ENSG00000120784","ZFP30"
"219","ENSG00000197372","ZNF675"
"220","ENSG00000182986","ZNF320"
"221","ENSG00000256771","ZNF253"
"222","ENSG00000251369","ZNF550"
"223","ENSG00000105708","ZNF14"
"224","ENSG00000189042","ZNF567"
"225","ENSG00000170949","ZNF160"
"226","ENSG00000198429","ZNF69"
"227","ENSG00000081665","ZNF506"
"228","ENSG00000178386","ZNF223"
"229","ENSG00000089335","ZNF302"
"230","ENSG00000213973","ZNF99"
"231","ENSG00000229676","ZNF492"
"232","ENSG00000181896","ZNF101"
"233","ENSG00000257591","ZNF625"
"234","ENSG00000160352","ZNF714"
"235","ENSG00000263002","ZNF234"
"236","ENSG00000242852","ZNF709"
"237","ENSG00000160321","ZNF208"
"238","ENSG00000159882","ZNF230"
"239","ENSG00000196172","ZNF681"
"240","ENSG00000196109","ZNF676"
"241","ENSG00000196081","ZNF724"
"242","ENSG00000237440","ZNF737"
"243","ENSG00000180884","ZNF792"
"244","ENSG00000179909","ZNF154"
"245","ENSG00000268696","ZNF723"
"246","ENSG00000196350","ZNF729"
"247","ENSG00000267508","ZNF285"
"248","ENSG00000269699","ZIM2"
"249","ENSG00000197134","ZNF257"
"250","ENSG00000245680","ZNF585B"
"251","ENSG00000269067","ZNF728"
"252","ENSG00000183850","ZNF730"
"253","ENSG00000131127","ZNF141"
"254","ENSG00000130684","ZNF337"
"255","ENSG00000196345","ZKSCAN7"
"256","ENSG00000088876","ZNF343"
"257","ENSG00000177842","ZNF620"
"258","ENSG00000177873","ZNF619"
"259","ENSG00000125846","ZNF133"
"260","ENSG00000172888","ZNF621"
"261","ENSG00000185219","ZNF445"
"262","ENSG00000185252","ZNF74"
"263","ENSG00000186448","ZNF197"
"264","ENSG00000182903","ZNF721"
"265","ENSG00000198185","ZNF334"
"266","ENSG00000182983","ZNF662"
"267","ENSG00000164048","ZNF589"
"268","ENSG00000186777","ZNF732"
"269","ENSG00000096654","ZNF184"
"270","ENSG00000197343","ZNF655"
"271","ENSG00000189298","ZKSCAN3"
"272","ENSG00000197123","ZNF679"
"273","ENSG00000196453","ZNF777"
"274","ENSG00000137185","ZSCAN9"
"275","ENSG00000166526","ZNF3"
"276","ENSG00000197008","ZNF138"
"277","ENSG00000173041","ZNF680"
"278","ENSG00000145908","ZNF300"
"279","ENSG00000197362","ZNF786"
"280","ENSG00000177932","ZNF354C"
"281","ENSG00000106261","ZKSCAN1"
"282","ENSG00000164256","PRDM9"
"283","ENSG00000178338","ZNF354B"
"284","ENSG00000178187","ZNF454"
"285","ENSG00000185177","ZNF479"
"286","ENSG00000197037","ZSCAN25"
"287","ENSG00000166529","ZSCAN21"
"288","ENSG00000198315","ZKSCAN8"
"289","ENSG00000234444","ZNF736"
"290","ENSG00000196247","ZNF107"
"291","ENSG00000181220","ZNF746"
"292","ENSG00000164631","ZNF12"
"293","ENSG00000196812","ZSCAN16"
"294","ENSG00000169131","ZNF354A"
"295","ENSG00000146587","RBAK"
"296","ENSG00000146757","ZNF92"
"297","ENSG00000160908","ZNF394"
"298","ENSG00000235109","ZSCAN31"
"299","ENSG00000196652","ZKSCAN5"
"300","ENSG00000170260","ZNF212"
"301","ENSG00000197279","ZNF165"
"302","ENSG00000197935","ZNF311"
"303","ENSG00000204947","ZNF425"
"304","ENSG00000198939","ZFP2"
"305","ENSG00000187626","ZKSCAN4"
"306","ENSG00000158691","ZSCAN12"
"307","ENSG00000182111","ZNF716"
"308","ENSG00000223614","ZNF735"
"309","ENSG00000178665","ZNF713"
"310","ENSG00000197024","ZNF398"
"311","ENSG00000198039","ZNF273"
"312","ENSG00000170265","ZNF282"
"313","ENSG00000081386","ZNF510"
"314","ENSG00000136870","ZNF189"
"315","ENSG00000147121","KRBOX4"
"316","ENSG00000196150","ZNF250"
"317","ENSG00000172748","ZNF596"
"318","ENSG00000147789","ZNF7"
"319","ENSG00000147124","ZNF41"
"320","ENSG00000173258","ZNF483"
"321","ENSG00000173275","ZNF449"
"322","ENSG00000175787","ZNF169"
"323","ENSG00000197779","ZNF81"
"324","ENSG00000197363","ZNF517"
"325","ENSG00000196152","ZNF79"
"326","ENSG00000127081","ZNF484"
"327","ENSG00000196378","ZNF34"
"328","ENSG00000147117","ZNF157"
"329","ENSG00000147118","ZNF182"
"330","ENSG00000136866","ZFP37"
"331","ENSG00000196597","ZNF782"
"332","ENSG00000215356","ZNF705B"
"333","ENSG00000214652","ZNF727"
"334","ENSG00000272602","ZNF595"
"335","ENSG00000275111","ZNF2"
"336","ENSG00000274349","ZNF658"
"337","ENSG00000278129","ZNF8"
