"gene","Judith","Leo","Maryke"
"152","ENSPTRG00000000429",29,23,8
"153","ENSPTRG00000000431",3,2,2
"154","ENSPTRG00000000432",23,12,28
"155","ENSPTRG00000000434",28,25,12
"156","ENSPTRG00000000437",40,21,26
"157","ENSPTRG00000000438",15,4,16
"158","ENSPTRG00000000439",41,24,26
"159","ENSPTRG00000000442",9,30,18
"160","ENSPTRG00000000445",48,43,20
"161","ENSPTRG00000000446",5,6,7
"162","ENSPTRG00000000449",8,2,4
"163","ENSPTRG00000000450",419,402,550
"164","ENSPTRG00000000451",2,3,5
"165","ENSPTRG00000000453",31,30,14
"166","ENSPTRG00000000454",7,11,2
"167","ENSPTRG00000000455",92,33,57
"168","ENSPTRG00000000456",31,18,28
"169","ENSPTRG00000000458",4,6,5
"170","ENSPTRG00000000463",54,25,36
"171","ENSPTRG00000000464",2,1,16
"172","ENSPTRG00000000465",12,2,8
"173","ENSPTRG00000000467",227,103,99
"174","ENSPTRG00000000469",229,150,51
"175","ENSPTRG00000000470",14,4,4
"176","ENSPTRG00000000471",35,13,15
"177","ENSPTRG00000000472",63,34,45
"178","ENSPTRG00000000473",50,15,11
"179","ENSPTRG00000000475",11,4,6
"180","ENSPTRG00000000476",351,148,178
"181","ENSPTRG00000000484",30,28,10
"182","ENSPTRG00000000491",144,150,71
"183","ENSPTRG00000000492",9,5,14
"184","ENSPTRG00000000495",1,3,2
"185","ENSPTRG00000000496",132,31,62
"186","ENSPTRG00000000499",87,53,66
"187","ENSPTRG00000000505",19,12,12
"188","ENSPTRG00000000506",4,1,2
"189","ENSPTRG00000000513",14,11,22
"190","ENSPTRG00000000515",20,18,11
"191","ENSPTRG00000000518",448,323,191
"192","ENSPTRG00000000519",17,14,11
"193","ENSPTRG00000000521",22,9,12
"194","ENSPTRG00000000522",16,11,5
"195","ENSPTRG00000000524",263,154,205
"196","ENSPTRG00000000525",4,7,7
"197","ENSPTRG00000000526",7,2,6
"198","ENSPTRG00000000527",7,4,5
