"gene","Judith","Leo","Maryke"
"1871","ENSPTRG00000005062",321,280,148
"1872","ENSPTRG00000005063",17,1,2
"1873","ENSPTRG00000005064",34,16,11
"1874","ENSPTRG00000005065",70,28,20
"1875","ENSPTRG00000005066",3,2,6
"1876","ENSPTRG00000005067",17,6,14
"1877","ENSPTRG00000005068",24,8,15
"1878","ENSPTRG00000005070",104,19,34
"1879","ENSPTRG00000005071",73,83,89
"1880","ENSPTRG00000005073",16,4,8
"1881","ENSPTRG00000005076",207,162,156
"1882","ENSPTRG00000005078",1,1,1
"1883","ENSPTRG00000005079",74,28,39
"1884","ENSPTRG00000005080",607,254,283
"1885","ENSPTRG00000005081",60,33,24
"1886","ENSPTRG00000005082",25,17,14
"1887","ENSPTRG00000005085",23,10,9
"1888","ENSPTRG00000005087",19,6,9
"1889","ENSPTRG00000005090",113,63,50
"1890","ENSPTRG00000005093",3,1,7
"1891","ENSPTRG00000005095",38,18,25
"1892","ENSPTRG00000005106",76,48,29
"1893","ENSPTRG00000005107",983,410,494
"1894","ENSPTRG00000005108",252,164,130
"1895","ENSPTRG00000005119",10,6,15
"1896","ENSPTRG00000005120",30,7,6
"1897","ENSPTRG00000005121",159,71,34
"1898","ENSPTRG00000005122",2,2,3
"1899","ENSPTRG00000005124",105,77,33
"1900","ENSPTRG00000005126",5,2,2
"1901","ENSPTRG00000005132",2,4,6
"1902","ENSPTRG00000005133",1,1,6
"1903","ENSPTRG00000005134",33,5,10
"1904","ENSPTRG00000005135",129,109,68
"1905","ENSPTRG00000005138",176,102,105
"1906","ENSPTRG00000005139",3,1,12
"1907","ENSPTRG00000005140",46,29,16
"1908","ENSPTRG00000005141",55,22,14
"1909","ENSPTRG00000005142",13,5,5
"1910","ENSPTRG00000005143",3,2,5
"1911","ENSPTRG00000005144",115,71,57
"1912","ENSPTRG00000005145",24,9,6
"1913","ENSPTRG00000005146",65,35,22
"1914","ENSPTRG00000005147",155,103,77
"1915","ENSPTRG00000005149",7,6,2
"1916","ENSPTRG00000005150",25,9,12
"1917","ENSPTRG00000005152",37,22,27
"1918","ENSPTRG00000005156",12,4,10
"1919","ENSPTRG00000005163",59,28,26
"1920","ENSPTRG00000005164",14,10,12
"1921","ENSPTRG00000005168",7,5,7
"1922","ENSPTRG00000005169",23,9,6
"1923","ENSPTRG00000005170",4,3,2
"1924","ENSPTRG00000005173",117,82,59
"1925","ENSPTRG00000005174",38,33,19
"1926","ENSPTRG00000005175",25,20,2
"1927","ENSPTRG00000005176",24,42,14
"1928","ENSPTRG00000005180",17,10,12
"1929","ENSPTRG00000005185",72,52,58
"1930","ENSPTRG00000005186",19,19,12
"1931","ENSPTRG00000005187",6,3,6
"1932","ENSPTRG00000005188",3,3,1
"1933","ENSPTRG00000005190",127,58,54
"1934","ENSPTRG00000005191",2,1,1
"1935","ENSPTRG00000005196",10,5,15
"1936","ENSPTRG00000005197",186,111,69
"1937","ENSPTRG00000005200",34,14,18
"1938","ENSPTRG00000005201",15,14,20
"1939","ENSPTRG00000005203",56,53,49
"1940","ENSPTRG00000005205",114,88,41
"1941","ENSPTRG00000005206",56,16,32
"1942","ENSPTRG00000005207",3,4,8
"1943","ENSPTRG00000005210",312,136,127
"1944","ENSPTRG00000005212",20,7,9
"1945","ENSPTRG00000005216",38,34,22
"1946","ENSPTRG00000005218",14,4,10
"1947","ENSPTRG00000005219",6,5,15
"1948","ENSPTRG00000005221",36,55,8
"1949","ENSPTRG00000005224",39,30,20
"1950","ENSPTRG00000005226",30,22,8
"1951","ENSPTRG00000005227",129,96,54
"1952","ENSPTRG00000005228",50,36,26
"1953","ENSPTRG00000005237",47,44,41
"1954","ENSPTRG00000005238",69,32,32
"1955","ENSPTRG00000005240",556,395,331
"1956","ENSPTRG00000005242",40,33,17
"1957","ENSPTRG00000005243",9,7,10
"1958","ENSPTRG00000005245",9,6,9
"1959","ENSPTRG00000005252",50,31,17
"1960","ENSPTRG00000005262",12,9,15
"1961","ENSPTRG00000005266",85,51,33
"1962","ENSPTRG00000005267",8,6,8
"1963","ENSPTRG00000005276",2,1,4
"1964","ENSPTRG00000005277",16,6,25
"1965","ENSPTRG00000005278",9,5,8
"1966","ENSPTRG00000005280",6,7,4
"1967","ENSPTRG00000005281",4,1,7
"1968","ENSPTRG00000005284",16,6,3
"1969","ENSPTRG00000005286",84,45,46
"1970","ENSPTRG00000005290",4,1,5
"1971","ENSPTRG00000005291",124,154,128
"1972","ENSPTRG00000005295",14,7,10
"1973","ENSPTRG00000005296",46,40,21
"1974","ENSPTRG00000005297",204,99,75
"1975","ENSPTRG00000005299",6,11,4
"1976","ENSPTRG00000005301",17,5,8
"1977","ENSPTRG00000005302",18,8,9
"1978","ENSPTRG00000005304",3,11,5
"1979","ENSPTRG00000005306",67,41,53
"1980","ENSPTRG00000005307",46,14,22
"1981","ENSPTRG00000005309",8,1,2
"1982","ENSPTRG00000005312",31,18,25
"1983","ENSPTRG00000005313",113,60,49
"1984","ENSPTRG00000005317",240,88,80
"1985","ENSPTRG00000005321",117,52,37
"1986","ENSPTRG00000005322",11,9,11
"1987","ENSPTRG00000005323",62,54,12
"1988","ENSPTRG00000005329",35,17,20
"1989","ENSPTRG00000005331",41,10,27
"1990","ENSPTRG00000005333",418,261,272
"1991","ENSPTRG00000005334",16,11,14
"1992","ENSPTRG00000005335",25,15,14
"1993","ENSPTRG00000005339",19,13,15
"1994","ENSPTRG00000005341",29,19,10
"1995","ENSPTRG00000005349",12,7,13
"1996","ENSPTRG00000005350",168,85,50
"1997","ENSPTRG00000005354",115,34,15
"1998","ENSPTRG00000005356",30,32,35
"1999","ENSPTRG00000005357",51,37,51
"2000","ENSPTRG00000005358",52,36,27
"2001","ENSPTRG00000005359",46,15,19
"2002","ENSPTRG00000005360",6,2,10
"2003","ENSPTRG00000005361",14,2,3
"2004","ENSPTRG00000005372",793,270,414
"2005","ENSPTRG00000005374",2,1,6
"2006","ENSPTRG00000005375",13,10,14
"2007","ENSPTRG00000005378",103,84,78
"2008","ENSPTRG00000005379",27,7,7
"2009","ENSPTRG00000005380",7,16,4
"2010","ENSPTRG00000005381",23,15,9
"2011","ENSPTRG00000005382",2,2,5
"2012","ENSPTRG00000005383",27,25,17
"2013","ENSPTRG00000005384",7,8,3
"2014","ENSPTRG00000005390",13,4,7
"2015","ENSPTRG00000005392",6,3,5
"2016","ENSPTRG00000005394",11,6,4
"2017","ENSPTRG00000005395",11,2,11
"2018","ENSPTRG00000005396",26,9,8
"2019","ENSPTRG00000005399",160,68,61
"2020","ENSPTRG00000005400",28,25,14
"2021","ENSPTRG00000005404",51,35,27
"2022","ENSPTRG00000005408",145,120,97
"2023","ENSPTRG00000005417",6,6,7
"2024","ENSPTRG00000005418",10,8,8
"2025","ENSPTRG00000005419",15,8,6
"2026","ENSPTRG00000005425",21,12,10
"2027","ENSPTRG00000005428",26,18,8
"2028","ENSPTRG00000005431",19,15,8
"2029","ENSPTRG00000005432",20,5,9
"2030","ENSPTRG00000005433",27,13,22
"2031","ENSPTRG00000005434",43,26,20
"2032","ENSPTRG00000005436",8,4,18
"2033","ENSPTRG00000005437",137,62,66
"2034","ENSPTRG00000005440",37,24,36
"2035","ENSPTRG00000005442",67,34,67
"2036","ENSPTRG00000005448",180,100,86
"2037","ENSPTRG00000005449",385,200,120
"2038","ENSPTRG00000005459",11,8,8
"2039","ENSPTRG00000005463",32,4,4
"2040","ENSPTRG00000005465",33,14,9
"2041","ENSPTRG00000005467",3,2,8
"2042","ENSPTRG00000005468",167,98,52
"2043","ENSPTRG00000005469",26,15,15
"2044","ENSPTRG00000005470",126,44,56
"2045","ENSPTRG00000005474",3,2,1
"2046","ENSPTRG00000005477",112,52,64
"2047","ENSPTRG00000005478",21,5,7
"2048","ENSPTRG00000005479",45,14,21
"2049","ENSPTRG00000005480",14,15,15
"2050","ENSPTRG00000005483",46,19,12
"2051","ENSPTRG00000005486",11,6,6
"2052","ENSPTRG00000005489",8,6,4
"2053","ENSPTRG00000005490",6,7,8
"2054","ENSPTRG00000005492",22,5,6
"2055","ENSPTRG00000005494",44,16,20
"2056","ENSPTRG00000005499",20,9,12
"2057","ENSPTRG00000005500",51,19,13
"2058","ENSPTRG00000005501",3,7,17
"2059","ENSPTRG00000005503",10,11,9
"2060","ENSPTRG00000005504",89,19,30
"2061","ENSPTRG00000005505",15,11,6
"2062","ENSPTRG00000005509",20,8,17
"2063","ENSPTRG00000005510",85,81,42
"2064","ENSPTRG00000005512",221,166,56
"2065","ENSPTRG00000005513",27,24,21
"2066","ENSPTRG00000005515",31,24,20
"2067","ENSPTRG00000005520",58,36,13
"2068","ENSPTRG00000005521",3,2,6
"2069","ENSPTRG00000005523",5,2,8
"2070","ENSPTRG00000005524",74,63,44
"2071","ENSPTRG00000005525",60,28,18
"2072","ENSPTRG00000005527",14,5,13
"2073","ENSPTRG00000005529",5,3,6
"2074","ENSPTRG00000005532",435,266,152
"2075","ENSPTRG00000005533",56,23,54
"2076","ENSPTRG00000005534",23,12,7
"2077","ENSPTRG00000005535",302,150,114
"2078","ENSPTRG00000005536",398,235,110
"2079","ENSPTRG00000005539",46,18,17
"2080","ENSPTRG00000005541",126,71,57
"2081","ENSPTRG00000005543",58,32,19
"2082","ENSPTRG00000005545",69,53,42
"2083","ENSPTRG00000005546",21,18,14
"2084","ENSPTRG00000005547",8,2,7
"2085","ENSPTRG00000005548",28,22,10
"2086","ENSPTRG00000005552",14,8,9
"2087","ENSPTRG00000005553",3,1,4
"2088","ENSPTRG00000005554",9,3,10
"2089","ENSPTRG00000005555",53,22,21
"2090","ENSPTRG00000005556",14,5,2
"2091","ENSPTRG00000005557",119,49,46
"2092","ENSPTRG00000005558",38,18,20
"2093","ENSPTRG00000005560",36,25,21
"2094","ENSPTRG00000005563",5,2,2
"2095","ENSPTRG00000005564",15,4,9
"2096","ENSPTRG00000005565",88,44,30
"2097","ENSPTRG00000005567",14,4,8
"2098","ENSPTRG00000005569",42,18,26
"2099","ENSPTRG00000005573",25,5,16
"2100","ENSPTRG00000005576",37,23,49
"2101","ENSPTRG00000005577",38,16,23
"2102","ENSPTRG00000005578",31,13,19
"2103","ENSPTRG00000005579",34,19,24
"2104","ENSPTRG00000005580",61,31,18
"2105","ENSPTRG00000005582",11,3,7
"2106","ENSPTRG00000005584",56,28,22
"2107","ENSPTRG00000005586",19,4,4
"2108","ENSPTRG00000005590",43,41,14
"2109","ENSPTRG00000005592",14,8,12
"2110","ENSPTRG00000005594",8,3,8
"2111","ENSPTRG00000005595",20,5,7
"2112","ENSPTRG00000005596",130,59,34
"2113","ENSPTRG00000005597",62,40,26
"2114","ENSPTRG00000005598",57,39,12
"2115","ENSPTRG00000005599",59,26,69
"2116","ENSPTRG00000005601",16,9,11
"2117","ENSPTRG00000005603",47,32,15
"2118","ENSPTRG00000005604",37,23,16
"2119","ENSPTRG00000005606",13,12,7
"2120","ENSPTRG00000005607",27,15,13
"2121","ENSPTRG00000005611",16,8,4
"2122","ENSPTRG00000005613",31,29,8
"2123","ENSPTRG00000005616",59,44,22
"2124","ENSPTRG00000005622",47,21,24
"2125","ENSPTRG00000005628",108,59,54
"2126","ENSPTRG00000005629",25,20,23
"2127","ENSPTRG00000005635",31,21,7
"2128","ENSPTRG00000005636",1174,429,370
"2129","ENSPTRG00000005640",22,16,15
"2130","ENSPTRG00000005644",12,6,6
"2131","ENSPTRG00000005645",14,4,1
"2132","ENSPTRG00000005647",28,13,5
"2133","ENSPTRG00000005650",15,6,1
"2134","ENSPTRG00000005652",9,5,13
"2135","ENSPTRG00000005655",44,9,21
"2136","ENSPTRG00000005657",35,17,13
"2137","ENSPTRG00000005659",16,16,5
"2138","ENSPTRG00000005661",26,20,13
"2139","ENSPTRG00000005662",3,2,1
"2140","ENSPTRG00000005671",2,3,11
"2141","ENSPTRG00000005677",91,41,40
"2142","ENSPTRG00000005679",17,4,5
"2143","ENSPTRG00000005680",33,27,18
"2144","ENSPTRG00000005684",28,8,19
"2145","ENSPTRG00000005685",10,6,10
"2146","ENSPTRG00000005687",5,4,15
"2147","ENSPTRG00000005690",19,10,13
"2148","ENSPTRG00000005691",6,5,8
"2149","ENSPTRG00000005692",190,167,125
"2150","ENSPTRG00000005693",8,1,8
"2151","ENSPTRG00000005694",19,3,1
"2152","ENSPTRG00000005695",24,11,10
"2153","ENSPTRG00000005696",54,23,12
"2154","ENSPTRG00000005703",3,4,4
"2155","ENSPTRG00000005705",26,14,16
"2156","ENSPTRG00000005711",54,33,35
"2157","ENSPTRG00000005715",15,4,14
"2158","ENSPTRG00000005718",28,21,17
"2159","ENSPTRG00000005719",45,29,21
"2160","ENSPTRG00000005723",32,19,38
"2161","ENSPTRG00000005724",24,12,8
"2162","ENSPTRG00000005727",47,29,17
"2163","ENSPTRG00000005730",151,78,54
"2164","ENSPTRG00000005732",30,6,16
"2165","ENSPTRG00000005733",4,4,12
"2166","ENSPTRG00000005734",150,44,27
"2167","ENSPTRG00000005742",19,16,17
"2168","ENSPTRG00000005745",789,331,326
"2169","ENSPTRG00000005746",5,3,9
"2170","ENSPTRG00000005750",19,28,7
"2171","ENSPTRG00000005753",21,9,5
"2172","ENSPTRG00000005756",12,8,12
"2173","ENSPTRG00000005757",69,36,62
"2174","ENSPTRG00000005760",405,231,213
"2175","ENSPTRG00000005761",2,2,6
"2176","ENSPTRG00000005764",15,12,7
"2177","ENSPTRG00000005766",5,2,9
"2178","ENSPTRG00000005768",16,13,14
"2179","ENSPTRG00000005770",26,22,29
"2180","ENSPTRG00000005771",32,16,18
"2181","ENSPTRG00000005774",20,7,15
"2182","ENSPTRG00000005775",3,2,10
"2183","ENSPTRG00000005778",3,1,3
"2184","ENSPTRG00000005782",49,47,16
"2185","ENSPTRG00000005787",12,2,6
"2186","ENSPTRG00000005789",62,22,44
"2187","ENSPTRG00000005790",52,20,30
"2188","ENSPTRG00000005791",30,12,17
"2189","ENSPTRG00000005802",94,40,28
"2190","ENSPTRG00000005803",20,10,12
"2191","ENSPTRG00000005805",28,24,21
"2192","ENSPTRG00000005808",60,22,46
"2193","ENSPTRG00000005809",8,3,7
"2194","ENSPTRG00000005811",84,55,40
"2195","ENSPTRG00000005812",57,21,18
"2196","ENSPTRG00000005815",13,7,11
"2197","ENSPTRG00000005816",16,7,10
"2198","ENSPTRG00000005819",8,1,11
"2199","ENSPTRG00000005820",11,9,15
"2200","ENSPTRG00000005823",4,4,10
"2201","ENSPTRG00000005824",11,5,10
"2202","ENSPTRG00000005830",47,29,24
"2203","ENSPTRG00000005831",36,22,22
"2204","ENSPTRG00000005837",8,2,7
"2205","ENSPTRG00000005838",35,12,15
"2206","ENSPTRG00000005840",68,37,26
"2207","ENSPTRG00000005845",16,6,19
"2208","ENSPTRG00000005847",18,15,18
"2209","ENSPTRG00000005851",27,14,16
"2210","ENSPTRG00000005852",1,2,6
"2211","ENSPTRG00000005853",1234,725,724
"2212","ENSPTRG00000005855",2,4,13
"2213","ENSPTRG00000005856",69,35,13
"2214","ENSPTRG00000005857",211,94,61
"2215","ENSPTRG00000005859",65,28,27
"2216","ENSPTRG00000005861",56,47,23
"2217","ENSPTRG00000005863",155,59,64
"2218","ENSPTRG00000005864",24,21,10
"2219","ENSPTRG00000005866",6,4,18
"2220","ENSPTRG00000005871",6,2,16
"2221","ENSPTRG00000005872",54,32,12
"2222","ENSPTRG00000005873",18,7,14
"2223","ENSPTRG00000005874",41,32,29
"2224","ENSPTRG00000005875",45,41,19
"2225","ENSPTRG00000005878",70,34,28
"2226","ENSPTRG00000005879",28,7,12
"2227","ENSPTRG00000005883",8,2,4
"2228","ENSPTRG00000005886",60,19,38
"2229","ENSPTRG00000005890",51,38,32
"2230","ENSPTRG00000005892",7,3,10
"2231","ENSPTRG00000005898",18,5,21
"2232","ENSPTRG00000005899",10,6,7
"2233","ENSPTRG00000005902",32,26,30
"2234","ENSPTRG00000005903",34,7,24
"2235","ENSPTRG00000005906",134,86,78
"2236","ENSPTRG00000005916",8,2,8
"2237","ENSPTRG00000005918",10,8,9
"2238","ENSPTRG00000005925",13,8,18
"2239","ENSPTRG00000005926",85,59,36
"2240","ENSPTRG00000005927",23,15,15
"2241","ENSPTRG00000005929",2,4,9
"2242","ENSPTRG00000005932",13,3,5
"2243","ENSPTRG00000005933",79,68,121
"2244","ENSPTRG00000005934",97,48,84
"2245","ENSPTRG00000005935",15,11,20
"2246","ENSPTRG00000005943",45,23,29
"2247","ENSPTRG00000005945",74,30,26
"2248","ENSPTRG00000005946",4,2,39
"2249","ENSPTRG00000005948",13,12,9
"2250","ENSPTRG00000005949",49,25,29
"2251","ENSPTRG00000005950",54,48,37
"2252","ENSPTRG00000005951",42,8,10
"2253","ENSPTRG00000005961",8,2,6
"2254","ENSPTRG00000005967",38,30,34
"2255","ENSPTRG00000005968",17,4,27
"2256","ENSPTRG00000005971",6,4,16
"2257","ENSPTRG00000005974",4,3,11
"2258","ENSPTRG00000005976",62,27,42
"2259","ENSPTRG00000005977",5,4,13
"2260","ENSPTRG00000005982",8,5,5
"2261","ENSPTRG00000005983",14,12,9
"2262","ENSPTRG00000005984",149,63,62
"2263","ENSPTRG00000005985",37,26,7
"2264","ENSPTRG00000005988",104,107,44
"2265","ENSPTRG00000005991",5,2,3
"2266","ENSPTRG00000005994",17,15,12
"2267","ENSPTRG00000005997",119,74,48
"2268","ENSPTRG00000005998",6,3,6
"2269","ENSPTRG00000006001",6,2,5
"2270","ENSPTRG00000006004",8,2,6
"2271","ENSPTRG00000006009",56,27,19
"2272","ENSPTRG00000006014",22,4,7
"2273","ENSPTRG00000006015",11,3,4
"2274","ENSPTRG00000006017",23,10,10
"2275","ENSPTRG00000006021",7,2,7
"2276","ENSPTRG00000006022",92,38,54
"2277","ENSPTRG00000006027",7,3,8
"2278","ENSPTRG00000006031",2,1,1
"2279","ENSPTRG00000006034",18,14,8
"2280","ENSPTRG00000006036",2,1,4
"2281","ENSPTRG00000006038",15,13,12
"2282","ENSPTRG00000006039",38,24,17
"2283","ENSPTRG00000006046",18,8,14
"2284","ENSPTRG00000006047",6,2,3
"2285","ENSPTRG00000006053",58,35,38
"2286","ENSPTRG00000006054",55,38,27
"2287","ENSPTRG00000006055",112,141,54
"2288","ENSPTRG00000006059",16,6,8
"2289","ENSPTRG00000006060",29,19,11
"2290","ENSPTRG00000006069",31,4,7
"2291","ENSPTRG00000006072",74,37,30
"2292","ENSPTRG00000006073",16,6,12
"2293","ENSPTRG00000006086",17,6,9
"2294","ENSPTRG00000006088",27,24,2
"2295","ENSPTRG00000006089",40,17,20
"2296","ENSPTRG00000006090",15,7,10
"2297","ENSPTRG00000006092",54,19,23
"2298","ENSPTRG00000006093",86,54,41
"2299","ENSPTRG00000006094",48,30,35
"2300","ENSPTRG00000006095",53,18,33
"2301","ENSPTRG00000006108",43,20,24
"2302","ENSPTRG00000006113",2,1,1
"2303","ENSPTRG00000006118",305,247,229
"2304","ENSPTRG00000006122",135,81,60
"2305","ENSPTRG00000006124",34,19,16
"2306","ENSPTRG00000006125",24,15,14
"2307","ENSPTRG00000006126",54,35,15
"2308","ENSPTRG00000006127",47,21,25
"2309","ENSPTRG00000006141",344,157,148
"2310","ENSPTRG00000006143",51,40,40
"2311","ENSPTRG00000006145",150,155,125
"2312","ENSPTRG00000006146",6,3,8
"2313","ENSPTRG00000006147",28,12,6
"2314","ENSPTRG00000006149",45,27,16
"2315","ENSPTRG00000006151",51,26,21
"2316","ENSPTRG00000006152",110,38,51
"2317","ENSPTRG00000006153",28,11,16
"2318","ENSPTRG00000006155",10,6,5
"2319","ENSPTRG00000006156",110,46,109
"2320","ENSPTRG00000006158",14,6,6
"2321","ENSPTRG00000006159",62,35,39
"2322","ENSPTRG00000006161",54,85,79
"2323","ENSPTRG00000006165",3,3,15
"2324","ENSPTRG00000006168",280,186,126
"2325","ENSPTRG00000006175",2,1,2
"2326","ENSPTRG00000006177",76,37,34
"2327","ENSPTRG00000006180",6,1,5
"2328","ENSPTRG00000006181",34,16,16
"2329","ENSPTRG00000006184",32,22,8
"2330","ENSPTRG00000006188",5,2,1
"2331","ENSPTRG00000006191",25,19,16
"2332","ENSPTRG00000006192",76,47,55
"2333","ENSPTRG00000006194",629,318,265
"2334","ENSPTRG00000006195",21,8,20
"2335","ENSPTRG00000006196",788,189,397
"2336","ENSPTRG00000006197",54,20,20
"2337","ENSPTRG00000006199",20,8,12
"2338","ENSPTRG00000006200",70,30,16
"2339","ENSPTRG00000006207",59,23,47
"2340","ENSPTRG00000006208",37,14,9
"2341","ENSPTRG00000006210",36,19,13
"2342","ENSPTRG00000006211",22,12,22
"2343","ENSPTRG00000006216",6,2,4
"2344","ENSPTRG00000006217",16,6,20
"2345","ENSPTRG00000006218",3,2,3
"2346","ENSPTRG00000006220",6,2,5
"2347","ENSPTRG00000006221",46,28,12
"2348","ENSPTRG00000006222",8,3,5
"2349","ENSPTRG00000006229",4,7,2
"2350","ENSPTRG00000006231",4,2,11
"2351","ENSPTRG00000006232",14,8,7
"2352","ENSPTRG00000006234",12,6,8
"2353","ENSPTRG00000006235",68,51,38
"2354","ENSPTRG00000006237",3,7,1
"2355","ENSPTRG00000006238",16,18,17
"2356","ENSPTRG00000006239",11,10,6
"2357","ENSPTRG00000006240",41,30,20
"2358","ENSPTRG00000006241",10,4,8
"2359","ENSPTRG00000006245",8,5,3
"2360","ENSPTRG00000006250",1,3,4
"2361","ENSPTRG00000006251",26,13,3
"2362","ENSPTRG00000006252",40,16,19
"2363","ENSPTRG00000006253",60,44,29
"2364","ENSPTRG00000006255",62,23,24
"2365","ENSPTRG00000006258",201,111,80
"2366","ENSPTRG00000006259",16,11,25
"2367","ENSPTRG00000006261",67,33,28
"2368","ENSPTRG00000006263",12,8,7
"2369","ENSPTRG00000006264",223,104,195
"2370","ENSPTRG00000006265",390,246,152
"2371","ENSPTRG00000006268",10,8,8
"2372","ENSPTRG00000006272",14,9,13
"2373","ENSPTRG00000006273",23,13,9
"2374","ENSPTRG00000006290",97,107,45
"2375","ENSPTRG00000006291",25,10,12
"2376","ENSPTRG00000006292",26,16,20
"2377","ENSPTRG00000006293",145,94,63
"2378","ENSPTRG00000006297",23,14,14
"2379","ENSPTRG00000006299",18,4,8
"2380","ENSPTRG00000006304",38,27,15
"2381","ENSPTRG00000006305",222,80,100
"2382","ENSPTRG00000006307",5,2,6
"2383","ENSPTRG00000006308",19,9,12
"2384","ENSPTRG00000006312",315,224,345
"2385","ENSPTRG00000006313",16,6,24
"2386","ENSPTRG00000006315",292,130,351
"2387","ENSPTRG00000006319",14,2,6
"2388","ENSPTRG00000006320",3,3,4
"2389","ENSPTRG00000006322",72,39,33
"2390","ENSPTRG00000006323",52,24,25
"2391","ENSPTRG00000006326",2,1,7
"2392","ENSPTRG00000006327",6,4,7
"2393","ENSPTRG00000006328",22,20,11
"2394","ENSPTRG00000006329",4,2,6
"2395","ENSPTRG00000006330",23,13,13
"2396","ENSPTRG00000006331",5,6,5
"2397","ENSPTRG00000006332",33,31,11
"2398","ENSPTRG00000006334",28,35,21
"2399","ENSPTRG00000006335",54,30,23
"2400","ENSPTRG00000006337",8,5,10
"2401","ENSPTRG00000006338",4,4,2
"2402","ENSPTRG00000006339",48,27,10
"2403","ENSPTRG00000006340",3,3,10
"2404","ENSPTRG00000006342",63,40,24
"2405","ENSPTRG00000006344",415,180,176
"2406","ENSPTRG00000006345",5,1,9
"2407","ENSPTRG00000006348",3,4,7
"2408","ENSPTRG00000006350",65,43,40
"2409","ENSPTRG00000006352",109,108,71
"2410","ENSPTRG00000006354",38,15,18
"2411","ENSPTRG00000006355",31,42,14
"2412","ENSPTRG00000006357",39,23,30
"2413","ENSPTRG00000006361",77,38,17
"2414","ENSPTRG00000006363",12,17,8
"2415","ENSPTRG00000006365",23,10,10
"2416","ENSPTRG00000006366",18,3,10
"2417","ENSPTRG00000006368",15,6,2
"2418","ENSPTRG00000006369",41,48,48
"2419","ENSPTRG00000006370",75,80,110
"2420","ENSPTRG00000006371",14,2,10
"2421","ENSPTRG00000006375",9,4,4
"2422","ENSPTRG00000006378",173,109,92
"2423","ENSPTRG00000006380",9,9,6
"2424","ENSPTRG00000006384",38,24,19
"2425","ENSPTRG00000006385",35,20,4
"2426","ENSPTRG00000006388",155,78,109
"2427","ENSPTRG00000006393",21,9,9
"2428","ENSPTRG00000006394",37,17,16
"2429","ENSPTRG00000006395",9,5,12
"2430","ENSPTRG00000006398",25,17,10
"2431","ENSPTRG00000006399",30,10,16
"2432","ENSPTRG00000006400",49,22,16
"2433","ENSPTRG00000006402",12,15,25
"2434","ENSPTRG00000006405",25,10,8
"2435","ENSPTRG00000006406",84,54,71
"2436","ENSPTRG00000006407",33,30,27
"2437","ENSPTRG00000006412",59,22,28
"2438","ENSPTRG00000006416",4,4,2
"2439","ENSPTRG00000006418",29,20,10
"2440","ENSPTRG00000006419",147,97,38
"2441","ENSPTRG00000006420",34,19,15
"2442","ENSPTRG00000006426",68,46,22
"2443","ENSPTRG00000006429",6,3,7
"2444","ENSPTRG00000006435",122,44,43
"2445","ENSPTRG00000006438",10,13,9
"2446","ENSPTRG00000006446",32,13,18
"2447","ENSPTRG00000006447",13,7,5
"2448","ENSPTRG00000006449",51,23,15
"2449","ENSPTRG00000006454",51,26,48
"2450","ENSPTRG00000006457",60,21,17
"2451","ENSPTRG00000006460",16,8,12
"2452","ENSPTRG00000006461",117,115,66
"2453","ENSPTRG00000006462",212,96,100
"2454","ENSPTRG00000006466",14,13,11
"2455","ENSPTRG00000006467",7,2,2
"2456","ENSPTRG00000006468",122,84,44
"2457","ENSPTRG00000006469",41,22,16
"2458","ENSPTRG00000006470",4,2,8
"2459","ENSPTRG00000006471",33,21,8
"2460","ENSPTRG00000006472",17,7,8
"2461","ENSPTRG00000006477",32,3,4
"2462","ENSPTRG00000006478",23,16,13
"2463","ENSPTRG00000006480",13,3,7
"2464","ENSPTRG00000006482",164,129,192
"2465","ENSPTRG00000006483",21,23,12
"2466","ENSPTRG00000006487",51,32,20
"2467","ENSPTRG00000006488",273,138,135
"2468","ENSPTRG00000006494",46,25,31
"2469","ENSPTRG00000006496",65,45,26
"2470","ENSPTRG00000006500",29,15,22
"2471","ENSPTRG00000006507",14,11,11
"2472","ENSPTRG00000006508",25,13,10
"2473","ENSPTRG00000006509",90,32,47
"2474","ENSPTRG00000006510",48,39,12
"2475","ENSPTRG00000006512",5,2,2
"2476","ENSPTRG00000006513",46,25,13
"2477","ENSPTRG00000006518",16,1,10
"2478","ENSPTRG00000006520",7,2,3
"2479","ENSPTRG00000006523",42,23,14
"2480","ENSPTRG00000006524",14,8,18
"2481","ENSPTRG00000006525",49,35,38
"2482","ENSPTRG00000006526",5,2,10
"2483","ENSPTRG00000006527",19,10,14
"2484","ENSPTRG00000006528",7,4,12
"2485","ENSPTRG00000006530",8,3,10
"2486","ENSPTRG00000006533",16,5,7
"2487","ENSPTRG00000006535",174,163,72
"2488","ENSPTRG00000006536",25,22,12
"2489","ENSPTRG00000006539",28,20,13
"2490","ENSPTRG00000006540",43,19,51
"2491","ENSPTRG00000006541",53,30,18
"2492","ENSPTRG00000006543",76,34,39
"2493","ENSPTRG00000006547",59,26,20
"2494","ENSPTRG00000006548",14,6,10
"2495","ENSPTRG00000006551",45,28,30
"2496","ENSPTRG00000006552",90,41,69
"2497","ENSPTRG00000006556",86,133,58
"2498","ENSPTRG00000006557",10,11,8
"2499","ENSPTRG00000006559",62,24,26
"2500","ENSPTRG00000006560",13,4,9
"2501","ENSPTRG00000006563",26,12,10
"2502","ENSPTRG00000006565",26,17,12
"2503","ENSPTRG00000006569",10,4,11
"2504","ENSPTRG00000006576",14,7,10
"2505","ENSPTRG00000006578",10,4,13
