"gene","GM18558","GM18960","GM19240"
"2322","ENSG00000111801",5,11,22
"2323","ENSG00000111802",45,48,91
"2324","ENSG00000111817",9,16,19
"2325","ENSG00000111832",97,78,81
"2326","ENSG00000111843",44,91,61
"2327","ENSG00000111860",2,3,22
"2328","ENSG00000111863",2,4,18
"2329","ENSG00000111877",19,20,20
"2330","ENSG00000111880",11,25,33
"2331","ENSG00000111885",34,32,36
"2332","ENSG00000111897",62,52,56
"2333","ENSG00000111906",22,61,63
"2334","ENSG00000111911",6,6,33
"2335","ENSG00000111912",12,13,36
"2336","ENSG00000111913",3,10,47
"2337","ENSG00000111962",5,10,42
"2338","ENSG00000112031",26,16,22
"2339","ENSG00000112039",4,13,22
"2340","ENSG00000112062",18,26,36
"2341","ENSG00000112078",13,19,86
"2342","ENSG00000112079",11,17,32
"2343","ENSG00000112081",677,522,327
"2344","ENSG00000112096",43,48,34
"2345","ENSG00000112110",43,51,60
"2346","ENSG00000112118",48,159,89
"2347","ENSG00000112130",14,16,83
"2348","ENSG00000112137",22,20,60
"2349","ENSG00000112146",25,43,40
"2350","ENSG00000112149",53,40,23
"2351","ENSG00000112159",10,14,29
"2352","ENSG00000112200",9,11,54
"2353","ENSG00000112234",5,7,40
"2354","ENSG00000112237",45,81,77
"2355","ENSG00000112242",7,11,12
"2356","ENSG00000112245",68,78,116
"2357","ENSG00000112249",12,35,29
"2358","ENSG00000112282",15,13,23
"2359","ENSG00000112290",7,6,55
"2360","ENSG00000112293",1,2,15
"2361","ENSG00000112297",78,102,121
"2362","ENSG00000112303",6,6,3
"2363","ENSG00000112304",24,42,94
"2364","ENSG00000112305",21,22,56
"2365","ENSG00000112306",982,1803,1395
"2366","ENSG00000112308",177,152,187
"2367","ENSG00000112312",28,53,33
"2368","ENSG00000112335",104,97,96
"2369","ENSG00000112339",29,45,46
"2370","ENSG00000112365",15,13,16
"2371","ENSG00000112367",10,10,43
"2372","ENSG00000112378",4,2,38
"2373","ENSG00000112493",32,44,18
"2374","ENSG00000112511",43,24,39
"2375","ENSG00000112514",154,145,168
"2376","ENSG00000112531",29,24,20
"2377","ENSG00000112561",56,86,78
"2378","ENSG00000112576",40,46,30
"2379","ENSG00000112578",55,61,48
"2380","ENSG00000112584",8,20,25
"2381","ENSG00000112592",31,36,27
"2382","ENSG00000112640",30,35,34
"2383","ENSG00000112658",43,40,36
"2384","ENSG00000112659",10,10,29
"2385","ENSG00000112667",20,60,20
"2386","ENSG00000112679",47,37,43
"2387","ENSG00000112685",14,24,40
"2388","ENSG00000112695",83,122,139
"2389","ENSG00000112697",97,78,60
"2390","ENSG00000112699",17,34,47
"2391","ENSG00000112701",43,48,49
"2392","ENSG00000112715",46,20,21
"2393","ENSG00000112739",37,39,79
"2394","ENSG00000112742",6,19,31
"2395","ENSG00000112759",37,50,36
"2396","ENSG00000112763",14,12,25
"2397","ENSG00000112787",17,16,4
"2398","ENSG00000112799",55,73,70
"2399","ENSG00000112851",19,20,35
"2400","ENSG00000112855",28,32,32
"2401","ENSG00000112893",3,7,31
"2402","ENSG00000112941",30,16,16
"2403","ENSG00000112972",66,87,79
"2404","ENSG00000112983",20,21,24
"2405","ENSG00000112984",6,15,18
"2406","ENSG00000112992",24,50,40
"2407","ENSG00000112996",82,77,32
"2408","ENSG00000113013",330,484,212
"2409","ENSG00000113048",21,39,52
"2410","ENSG00000113068",41,44,81
"2411","ENSG00000113108",19,20,30
"2412","ENSG00000113140",2,15,65
"2413","ENSG00000113141",164,180,140
"2414","ENSG00000113161",65,92,57
"2415","ENSG00000113163",24,28,8
"2416","ENSG00000113194",16,20,37
"2417","ENSG00000113240",18,15,33
"2418","ENSG00000113272",26,50,43
"2419","ENSG00000113273",7,6,23
"2420","ENSG00000113282",23,40,52
"2421","ENSG00000113300",14,18,23
"2422","ENSG00000113312",106,142,120
"2423","ENSG00000113318",6,11,22
"2424","ENSG00000113328",103,105,83
"2425","ENSG00000113356",6,16,11
"2426","ENSG00000113360",21,28,34
"2427","ENSG00000113368",53,129,71
"2428","ENSG00000113387",152,238,255
"2429","ENSG00000113407",215,187,144
"2430","ENSG00000113441",21,24,18
"2431","ENSG00000113448",1,3,18
"2432","ENSG00000113456",18,27,27
"2433","ENSG00000113460",112,147,83
"2434","ENSG00000113504",13,11,4
"2435","ENSG00000113522",32,54,50
"2436","ENSG00000113532",22,22,22
"2437","ENSG00000113552",14,28,44
"2438","ENSG00000113558",200,319,302
"2439","ENSG00000113569",14,24,29
"2440","ENSG00000113580",44,50,37
"2441","ENSG00000113583",61,58,28
"2442","ENSG00000113593",23,34,28
"2443","ENSG00000113595",5,4,16
"2444","ENSG00000113597",10,18,26
"2445","ENSG00000113615",36,26,34
"2446","ENSG00000113621",13,39,37
"2447","ENSG00000113638",10,13,26
"2448","ENSG00000113643",83,166,72
"2449","ENSG00000113648",57,87,48
"2450","ENSG00000113649",36,41,35
"2451","ENSG00000113712",56,77,49
"2452","ENSG00000113716",30,28,55
"2453","ENSG00000113719",66,77,71
"2454","ENSG00000113732",243,371,345
"2455","ENSG00000113734",20,17,12
"2456","ENSG00000113742",12,10,64
"2457","ENSG00000113758",30,41,15
"2458","ENSG00000113761",6,7,25
"2459","ENSG00000113811",144,144,112
"2460","ENSG00000113812",19,28,29
"2461","ENSG00000113838",10,12,22
"2462","ENSG00000113845",18,44,40
"2463","ENSG00000113851",23,24,39
"2464","ENSG00000113966",13,11,78
"2465","ENSG00000113971",15,26,42
"2466","ENSG00000114013",30,60,86
"2467","ENSG00000114021",80,109,85
"2468","ENSG00000114023",106,160,109
"2469","ENSG00000114026",15,26,49
"2470","ENSG00000114030",25,27,38
"2471","ENSG00000114054",28,59,41
"2472","ENSG00000114098",22,26,29
"2473","ENSG00000114120",13,19,49
"2474","ENSG00000114125",41,43,111
"2475","ENSG00000114126",19,25,41
"2476","ENSG00000114127",9,10,36
"2477","ENSG00000114166",5,11,23
"2478","ENSG00000114209",74,94,59
"2479","ENSG00000114268",5,2,12
"2480","ENSG00000114270",9,2,8
"2481","ENSG00000114316",22,44,32
"2482","ENSG00000114331",15,15,30
"2483","ENSG00000114346",7,23,18
"2484","ENSG00000114353",187,304,200
"2485","ENSG00000114354",138,128,152
"2486","ENSG00000114383",20,21,51
"2487","ENSG00000114388",24,25,27
"2488","ENSG00000114391",1293,1301,1319
"2489","ENSG00000114395",14,13,32
"2490","ENSG00000114416",105,142,109
"2491","ENSG00000114423",18,17,39
"2492","ENSG00000114439",7,7,30
"2493","ENSG00000114446",20,11,51
"2494","ENSG00000114473",290,406,1018
"2495","ENSG00000114480",67,87,126
"2496","ENSG00000114491",33,64,38
"2497","ENSG00000114503",49,51,140
"2498","ENSG00000114520",73,87,82
"2499","ENSG00000114529",22,56,142
"2500","ENSG00000114544",19,32,4
"2501","ENSG00000114554",13,11,14
"2502","ENSG00000114573",34,44,39
"2503","ENSG00000114626",11,12,17
"2504","ENSG00000114631",2,5,29
"2505","ENSG00000114648",12,15,10
"2506","ENSG00000114650",23,28,33
"2507","ENSG00000114686",120,207,56
"2508","ENSG00000114735",8,11,16
"2509","ENSG00000114738",18,24,20
"2510","ENSG00000114742",22,30,50
"2511","ENSG00000114744",35,33,38
"2512","ENSG00000114745",7,16,14
"2513","ENSG00000114757",1,2,7
"2514","ENSG00000114767",61,76,32
"2515","ENSG00000114770",3,1,11
"2516","ENSG00000114779",4,6,16
"2517","ENSG00000114784",165,182,90
"2518","ENSG00000114786",12,29,13
"2519","ENSG00000114796",7,6,51
"2520","ENSG00000114841",3,3,27
"2521","ENSG00000114850",119,130,178
"2522","ENSG00000114857",21,12,34
"2523","ENSG00000114861",3,2,27
"2524","ENSG00000114902",96,156,185
"2525","ENSG00000114942",464,961,1274
"2526","ENSG00000114956",19,30,39
"2527","ENSG00000114978",114,89,105
"2528","ENSG00000114982",11,14,22
"2529","ENSG00000114988",11,17,44
"2530","ENSG00000114993",22,24,13
"2531","ENSG00000115020",17,12,41
"2532","ENSG00000115042",12,18,38
"2533","ENSG00000115053",460,737,476
"2534","ENSG00000115073",28,43,13
"2535","ENSG00000115084",13,10,19
"2536","ENSG00000115091",328,542,298
"2537","ENSG00000115109",14,8,12
"2538","ENSG00000115128",218,281,179
"2539","ENSG00000115145",11,16,31
"2540","ENSG00000115159",10,13,25
"2541","ENSG00000115163",8,14,10
"2542","ENSG00000115165",162,239,283
"2543","ENSG00000115204",27,41,61
"2544","ENSG00000115207",31,57,47
"2545","ENSG00000115211",30,40,48
"2546","ENSG00000115216",167,166,167
"2547","ENSG00000115232",21,33,52
"2548","ENSG00000115233",117,185,133
"2549","ENSG00000115234",53,117,113
"2550","ENSG00000115239",21,39,43
"2551","ENSG00000115241",112,178,129
"2552","ENSG00000115267",142,121,81
"2553","ENSG00000115268",147,579,158
"2554","ENSG00000115271",20,42,26
"2555","ENSG00000115274",20,26,24
"2556","ENSG00000115275",24,25,19
"2557","ENSG00000115282",15,14,12
"2558","ENSG00000115286",18,88,11
"2559","ENSG00000115289",24,28,30
"2560","ENSG00000115295",14,13,29
"2561","ENSG00000115306",129,133,67
"2562","ENSG00000115307",137,172,228
"2563","ENSG00000115310",84,71,64
"2564","ENSG00000115317",71,94,83
"2565","ENSG00000115318",11,10,29
"2566","ENSG00000115325",18,24,55
"2567","ENSG00000115350",18,53,33
"2568","ENSG00000115355",11,16,25
"2569","ENSG00000115364",21,33,106
"2570","ENSG00000115365",9,14,18
"2571","ENSG00000115368",67,92,67
"2572","ENSG00000115392",17,25,26
"2573","ENSG00000115414",1,2,11
"2574","ENSG00000115415",73,177,158
"2575","ENSG00000115419",111,151,125
"2576","ENSG00000115421",9,12,28
"2577","ENSG00000115425",12,11,14
"2578","ENSG00000115446",35,39,48
"2579","ENSG00000115457",1,1,1
"2580","ENSG00000115459",3,6,4
"2581","ENSG00000115464",23,26,34
"2582","ENSG00000115484",270,398,187
"2583","ENSG00000115486",5,4,20
"2584","ENSG00000115504",19,25,30
"2585","ENSG00000115514",34,82,45
"2586","ENSG00000115520",27,23,24
"2587","ENSG00000115524",150,179,160
"2588","ENSG00000115525",10,18,31
"2589","ENSG00000115526",7,5,20
"2590","ENSG00000115539",61,76,78
"2591","ENSG00000115548",19,18,33
"2592","ENSG00000115561",21,22,51
"2593","ENSG00000115590",4,11,38
"2594","ENSG00000115594",20,10,23
"2595","ENSG00000115604",5,13,34
"2596","ENSG00000115641",4,3,15
"2597","ENSG00000115649",66,85,62
"2598","ENSG00000115652",22,23,48
"2599","ENSG00000115657",30,27,69
"2600","ENSG00000115661",17,25,22
"2601","ENSG00000115677",122,184,170
"2602","ENSG00000115685",66,134,171
"2603","ENSG00000115687",42,48,36
"2604","ENSG00000115694",38,54,56
"2605","ENSG00000115738",145,254,134
"2606","ENSG00000115750",13,14,34
"2607","ENSG00000115756",12,9,7
"2608","ENSG00000115758",168,302,158
"2609","ENSG00000115760",16,19,35
"2610","ENSG00000115761",36,39,38
"2611","ENSG00000115762",21,16,19
"2612","ENSG00000115806",94,106,67
"2613","ENSG00000115808",11,11,15
"2614","ENSG00000115816",71,101,70
"2615","ENSG00000115825",7,12,24
"2616","ENSG00000115827",7,12,38
"2617","ENSG00000115839",26,35,35
"2618","ENSG00000115840",33,48,91
"2619","ENSG00000115866",102,147,132
"2620","ENSG00000115875",141,162,119
"2621","ENSG00000115884",1,4,28
"2622","ENSG00000115902",19,34,19
"2623","ENSG00000115904",15,10,43
"2624","ENSG00000115919",80,95,55
"2625","ENSG00000115942",13,23,25
"2626","ENSG00000115944",143,115,136
"2627","ENSG00000115947",42,45,27
"2628","ENSG00000115956",305,551,306
"2629","ENSG00000115966",27,33,27
"2630","ENSG00000115970",7,13,33
"2631","ENSG00000115993",9,10,23
"2632","ENSG00000115998",15,19,34
"2633","ENSG00000116016",8,2,18
"2634","ENSG00000116017",29,35,22
"2635","ENSG00000116030",84,152,88
"2636","ENSG00000116044",61,30,92
"2637","ENSG00000116062",22,70,42
"2638","ENSG00000116095",35,22,38
"2639","ENSG00000116120",48,110,43
"2640","ENSG00000116127",4,5,14
"2641","ENSG00000116128",4,4,17
"2642","ENSG00000116132",3,9,20
"2643","ENSG00000116133",88,115,67
"2644","ENSG00000116138",5,7,10
"2645","ENSG00000116161",154,285,208
"2646","ENSG00000116171",25,35,57
"2647","ENSG00000116198",18,14,22
"2648","ENSG00000116199",7,4,40
"2649","ENSG00000116209",76,97,91
"2650","ENSG00000116212",25,21,42
"2651","ENSG00000116213",32,49,37
"2652","ENSG00000116221",54,118,64
"2653","ENSG00000116237",8,16,56
"2654","ENSG00000116251",343,402,882
"2655","ENSG00000116260",16,15,27
"2656","ENSG00000116266",38,39,30
"2657","ENSG00000116288",262,448,527
"2658","ENSG00000116337",18,23,25
"2659","ENSG00000116350",42,46,87
"2660","ENSG00000116353",13,16,34
"2661","ENSG00000116396",3,10,19
"2662","ENSG00000116455",56,99,34
"2663","ENSG00000116459",232,277,216
"2664","ENSG00000116473",114,120,320
"2665","ENSG00000116478",157,239,186
"2666","ENSG00000116489",150,173,141
"2667","ENSG00000116497",16,18,19
"2668","ENSG00000116514",20,24,34
"2669","ENSG00000116521",67,107,78
"2670","ENSG00000116539",19,16,16
"2671","ENSG00000116560",406,349,208
"2672","ENSG00000116580",15,18,37
"2673","ENSG00000116584",49,52,29
"2674","ENSG00000116586",46,58,87
"2675","ENSG00000116604",17,29,25
"2676","ENSG00000116641",8,12,19
"2677","ENSG00000116649",85,245,76
"2678","ENSG00000116663",14,23,20
"2679","ENSG00000116670",52,67,82
"2680","ENSG00000116675",3,2,26
"2681","ENSG00000116679",47,43,32
"2682","ENSG00000116685",64,31,28
"2683","ENSG00000116688",40,42,48
"2684","ENSG00000116691",36,87,10
"2685","ENSG00000116698",78,97,85
"2686","ENSG00000116717",21,27,47
"2687","ENSG00000116731",8,10,30
"2688","ENSG00000116741",7,7,35
"2689","ENSG00000116747",32,17,44
"2690","ENSG00000116750",28,51,29
"2691","ENSG00000116752",58,90,124
"2692","ENSG00000116754",108,86,90
"2693","ENSG00000116761",20,21,20
"2694","ENSG00000116786",38,39,21
"2695","ENSG00000116791",74,119,123
"2696","ENSG00000116793",12,15,21
"2697","ENSG00000116809",10,23,15
"2698","ENSG00000116815",52,94,101
"2699","ENSG00000116830",20,53,67
"2700","ENSG00000116852",7,5,16
"2701","ENSG00000116857",39,34,32
"2702","ENSG00000116863",25,35,60
"2703","ENSG00000116871",55,51,49
"2704","ENSG00000116874",8,12,24
"2705","ENSG00000116885",3,2,16
"2706","ENSG00000116898",126,188,62
"2707","ENSG00000116906",55,76,61
"2708","ENSG00000116918",40,53,42
"2709","ENSG00000116922",7,9,17
"2710","ENSG00000116954",46,65,55
"2711","ENSG00000116957",27,23,43
"2712","ENSG00000116962",25,27,8
"2713","ENSG00000116977",31,35,51
"2714","ENSG00000116984",5,10,33
"2715","ENSG00000117000",5,4,31
"2716","ENSG00000117009",9,7,30
"2717","ENSG00000117010",1,2,25
"2718","ENSG00000117020",9,12,36
"2719","ENSG00000117054",80,168,256
"2720","ENSG00000117090",92,105,170
"2721","ENSG00000117091",366,309,568
"2722","ENSG00000117118",129,218,159
"2723","ENSG00000117133",69,96,79
"2724","ENSG00000117139",10,5,16
"2725","ENSG00000117153",19,27,37
"2726","ENSG00000117155",12,10,29
"2727","ENSG00000117174",34,36,27
"2728","ENSG00000117222",14,21,22
"2729","ENSG00000117228",23,32,23
"2730","ENSG00000117262",22,31,21
"2731","ENSG00000117266",3,2,10
"2732","ENSG00000117280",13,15,64
"2733","ENSG00000117289",10,17,60
"2734","ENSG00000117298",27,29,55
"2735","ENSG00000117305",16,30,36
"2736","ENSG00000117308",17,33,51
"2737","ENSG00000117322",29,69,83
"2738","ENSG00000117335",64,63,43
"2739","ENSG00000117360",39,54,70
"2740","ENSG00000117362",88,123,84
"2741","ENSG00000117385",18,21,35
"2742","ENSG00000117394",21,32,34
"2743","ENSG00000117395",86,73,85
"2744","ENSG00000117399",20,61,29
"2745","ENSG00000117408",36,30,51
"2746","ENSG00000117410",154,199,79
"2747","ENSG00000117411",41,43,33
"2748","ENSG00000117419",31,40,45
"2749","ENSG00000117448",81,126,105
"2750","ENSG00000117450",659,924,707
"2751","ENSG00000117461",8,15,44
"2752","ENSG00000117475",11,12,25
"2753","ENSG00000117479",6,12,22
"2754","ENSG00000117480",4,4,14
"2755","ENSG00000117481",12,20,36
"2756","ENSG00000117500",25,38,29
"2757","ENSG00000117505",94,85,92
"2758","ENSG00000117519",44,43,10
"2759","ENSG00000117523",41,46,46
"2760","ENSG00000117528",15,16,47
"2761","ENSG00000117543",19,41,68
"2762","ENSG00000117569",7,7,18
"2763","ENSG00000117586",12,15,56
"2764","ENSG00000117592",114,262,163
"2765","ENSG00000117593",15,29,29
"2766","ENSG00000117597",14,16,24
"2767","ENSG00000117614",137,138,72
"2768","ENSG00000117616",24,22,79
"2769","ENSG00000117620",5,10,12
"2770","ENSG00000117625",17,13,35
"2771","ENSG00000117632",118,430,136
"2772","ENSG00000117640",36,36,29
"2773","ENSG00000117650",9,22,25
"2774","ENSG00000117676",76,130,110
"2775","ENSG00000117682",17,18,73
"2776","ENSG00000117691",14,55,67
"2777","ENSG00000117697",23,31,42
"2778","ENSG00000117713",25,27,23
"2779","ENSG00000117724",9,24,23
"2780","ENSG00000117748",87,111,68
"2781","ENSG00000117751",38,58,46
"2782","ENSG00000117758",41,25,32
"2783","ENSG00000117791",15,12,12
"2784","ENSG00000117859",83,99,83
"2785","ENSG00000117862",33,49,19
"2786","ENSG00000117868",39,33,14
"2787","ENSG00000117899",21,19,65
"2788","ENSG00000117906",28,40,32
"2789","ENSG00000117984",50,60,53
"2790","ENSG00000118007",12,16,19
"2791","ENSG00000118046",41,54,19
"2792","ENSG00000118058",8,9,33
"2793","ENSG00000118096",18,22,26
"2794","ENSG00000118162",9,10,26
"2795","ENSG00000118181",1242,911,1675
"2796","ENSG00000118193",2,9,14
"2797","ENSG00000118197",16,23,10
"2798","ENSG00000118217",33,43,41
"2799","ENSG00000118242",55,57,136
"2800","ENSG00000118246",50,47,36
"2801","ENSG00000118260",16,23,65
"2802","ENSG00000118263",7,5,28
"2803","ENSG00000118276",13,19,27
"2804","ENSG00000118308",27,75,121
"2805","ENSG00000118363",45,60,105
"2806","ENSG00000118369",5,4,30
"2807","ENSG00000118412",6,6,15
"2808","ENSG00000118418",63,187,155
"2809","ENSG00000118420",8,6,15
"2810","ENSG00000118454",26,22,24
"2811","ENSG00000118482",17,14,20
"2812","ENSG00000118503",133,116,178
"2813","ENSG00000118508",1,6,7
"2814","ENSG00000118513",5,37,41
"2815","ENSG00000118515",6,6,35
"2816","ENSG00000118518",10,5,15
"2817","ENSG00000118564",11,20,27
"2818","ENSG00000118579",38,52,24
"2819","ENSG00000118600",21,36,52
"2820","ENSG00000118620",5,6,14
"2821","ENSG00000118640",81,232,87
"2822","ENSG00000118680",478,394,543
"2823","ENSG00000118705",91,142,165
"2824","ENSG00000118762",6,6,19
"2825","ENSG00000118816",102,106,155
"2826","ENSG00000118855",33,42,65
"2827","ENSG00000118873",22,21,40
"2828","ENSG00000118894",3,12,38
"2829","ENSG00000118900",15,14,26
"2830","ENSG00000118922",3,2,22
"2831","ENSG00000118939",28,36,36
"2832","ENSG00000118961",11,20,19
"2833","ENSG00000118965",10,8,32
"2834","ENSG00000118971",101,93,138
"2835","ENSG00000118985",18,52,92
"2836","ENSG00000119004",5,8,13
"2837","ENSG00000119013",37,62,74
"2838","ENSG00000119041",40,49,24
"2839","ENSG00000119048",75,77,106
"2840","ENSG00000119125",3,3,41
"2841","ENSG00000119139",74,70,35
"2842","ENSG00000119185",36,27,32
"2843","ENSG00000119203",45,94,57
"2844","ENSG00000119231",17,14,22
"2845","ENSG00000119242",6,4,8
"2846","ENSG00000119285",33,47,34
"2847","ENSG00000119314",33,30,42
"2848","ENSG00000119318",180,220,134
"2849","ENSG00000119321",24,36,34
"2850","ENSG00000119326",12,26,35
"2851","ENSG00000119333",21,73,23
"2852","ENSG00000119335",652,753,289
"2853","ENSG00000119383",25,31,71
"2854","ENSG00000119392",20,38,32
"2855","ENSG00000119396",35,35,47
"2856","ENSG00000119397",13,20,29
"2857","ENSG00000119402",23,30,18
"2858","ENSG00000119403",9,24,20
"2859","ENSG00000119408",100,140,174
"2860","ENSG00000119411",1,2,7
"2861","ENSG00000119414",46,96,55
"2862","ENSG00000119421",94,92,62
"2863","ENSG00000119446",29,35,28
"2864","ENSG00000119471",29,54,27
"2865","ENSG00000119487",54,104,139
"2866","ENSG00000119509",5,9,25
"2867","ENSG00000119522",12,23,56
"2868","ENSG00000119523",19,14,15
"2869","ENSG00000119537",39,32,80
"2870","ENSG00000119541",45,44,45
"2871","ENSG00000119596",38,43,40
"2872","ENSG00000119599",14,13,44
"2873","ENSG00000119630",2,1,13
"2874","ENSG00000119632",20,32,16
"2875","ENSG00000119636",7,8,16
"2876","ENSG00000119638",26,43,33
"2877","ENSG00000119640",6,12,30
"2878","ENSG00000119650",17,19,19
"2879","ENSG00000119655",204,142,73
"2880","ENSG00000119673",24,31,29
"2881","ENSG00000119682",19,14,62
"2882","ENSG00000119684",10,12,32
"2883","ENSG00000119685",7,10,15
"2884","ENSG00000119686",19,32,19
"2885","ENSG00000119688",12,11,32
"2886","ENSG00000119689",67,83,90
"2887","ENSG00000119705",81,92,112
"2888","ENSG00000119707",61,52,37
"2889","ENSG00000119718",47,62,64
"2890","ENSG00000119723",11,16,27
"2891","ENSG00000119729",28,20,24
"2892","ENSG00000119760",29,32,62
"2893","ENSG00000119771",2,5,8
"2894","ENSG00000119772",10,10,14
"2895","ENSG00000119777",37,50,66
"2896","ENSG00000119778",8,9,35
"2897","ENSG00000119787",22,30,23
"2898","ENSG00000119801",17,21,76
"2899","ENSG00000119812",19,47,62
"2900","ENSG00000119820",28,46,46
"2901","ENSG00000119844",89,55,37
"2902","ENSG00000119866",2,3,23
"2903","ENSG00000119878",28,26,44
"2904","ENSG00000119899",7,8,26
"2905","ENSG00000119906",8,12,22
"2906","ENSG00000119912",11,26,28
"2907","ENSG00000119927",6,4,43
"2908","ENSG00000119929",22,38,26
"2909","ENSG00000119943",4,3,7
"2910","ENSG00000119953",51,62,23
"2911","ENSG00000119965",14,14,24
"2912","ENSG00000119969",13,38,35
"2913","ENSG00000119977",43,45,38
"2914","ENSG00000119979",11,15,20
"2915","ENSG00000120008",30,35,56
"2916","ENSG00000120029",13,16,33
"2917","ENSG00000120049",2,2,12
"2918","ENSG00000120053",66,99,102
"2919","ENSG00000120063",15,28,29
"2920","ENSG00000120071",14,13,10
"2921","ENSG00000120093",6,3,33
"2922","ENSG00000120137",21,25,99
"2923","ENSG00000120158",38,37,15
"2924","ENSG00000120159",12,43,24
"2925","ENSG00000120217",50,25,37
"2926","ENSG00000120253",17,22,22
"2927","ENSG00000120254",27,44,27
"2928","ENSG00000120265",87,133,85
"2929","ENSG00000120278",3,2,18
"2930","ENSG00000120280",18,32,33
"2931","ENSG00000120306",55,101,127
"2932","ENSG00000120314",17,20,26
"2933","ENSG00000120333",66,34,136
"2934","ENSG00000120437",118,160,112
"2935","ENSG00000120438",411,495,255
"2936","ENSG00000120451",14,26,39
"2937","ENSG00000120509",33,53,19
"2938","ENSG00000120519",3,7,16
"2939","ENSG00000120526",43,60,38
"2940","ENSG00000120533",102,84,56
"2941","ENSG00000120539",4,13,27
"2942","ENSG00000120549",4,5,37
"2943","ENSG00000120616",13,12,35
"2944","ENSG00000120647",6,11,18
"2945","ENSG00000120656",28,30,22
"2946","ENSG00000120658",2,2,16
"2947","ENSG00000120662",12,12,1
"2948","ENSG00000120675",46,71,114
"2949","ENSG00000120685",28,33,47
"2950","ENSG00000120686",65,64,75
"2951","ENSG00000120688",32,33,27
"2952","ENSG00000120690",34,41,38
"2953","ENSG00000120694",199,391,144
"2954","ENSG00000120697",36,55,34
"2955","ENSG00000120699",38,67,38
"2956","ENSG00000120705",116,157,93
"2957","ENSG00000120709",20,26,11
"2958","ENSG00000120725",10,23,24
"2959","ENSG00000120727",128,188,60
"2960","ENSG00000120733",27,32,35
"2961","ENSG00000120742",113,144,132
"2962","ENSG00000120798",11,11,31
"2963","ENSG00000120800",14,15,44
"2964","ENSG00000120802",24,49,47
"2965","ENSG00000120805",71,93,59
"2966","ENSG00000120837",19,41,15
"2967","ENSG00000120860",20,39,36
"2968","ENSG00000120875",67,71,8
"2969","ENSG00000120889",128,69,68
"2970","ENSG00000120896",17,10,15
"2971","ENSG00000120899",120,153,192
"2972","ENSG00000120910",41,42,67
"2973","ENSG00000120915",6,10,29
"2974","ENSG00000120925",4,6,10
"2975","ENSG00000120948",59,84,82
"2976","ENSG00000120949",17,80,62
"2977","ENSG00000120963",84,100,13
"2978","ENSG00000120992",26,41,29
"2979","ENSG00000121022",55,74,127
"2980","ENSG00000121039",2,2,12
"2981","ENSG00000121057",38,36,32
"2982","ENSG00000121058",17,26,71
"2983","ENSG00000121060",14,24,45
"2984","ENSG00000121064",35,52,107
"2985","ENSG00000121067",30,41,29
"2986","ENSG00000121073",38,43,87
"2987","ENSG00000121104",9,34,31
"2988","ENSG00000121152",12,30,46
"2989","ENSG00000121210",52,82,63
"2990","ENSG00000121281",13,18,23
"2991","ENSG00000121289",5,6,17
"2992","ENSG00000121310",7,4,28
"2993","ENSG00000121380",5,3,31
"2994","ENSG00000121390",52,51,37
"2995","ENSG00000121417",5,2,2
"2996","ENSG00000121481",13,14,19
"2997","ENSG00000121486",17,21,20
"2998","ENSG00000121577",3,3,13
"2999","ENSG00000121578",8,9,28
"3000","ENSG00000121579",57,46,24
"3001","ENSG00000121594",57,75,144
"3002","ENSG00000121621",6,15,26
"3003","ENSG00000121644",10,6,18
"3004","ENSG00000121671",10,10,6
"3005","ENSG00000121680",22,34,21
"3006","ENSG00000121691",20,60,47
"3007","ENSG00000121741",27,25,38
"3008","ENSG00000121749",24,28,27
"3009","ENSG00000121764",20,68,116
"3010","ENSG00000121766",21,24,32
"3011","ENSG00000121774",146,186,103
"3012","ENSG00000121848",22,28,28
"3013","ENSG00000121851",13,26,16
"3014","ENSG00000121864",18,29,73
"3015","ENSG00000121879",28,24,54
"3016","ENSG00000121892",35,47,43
"3017","ENSG00000121897",15,16,17
"3018","ENSG00000121931",15,15,58
"3019","ENSG00000121988",3,4,2
"3020","ENSG00000122008",17,23,32
"3021","ENSG00000122026",493,427,564
"3022","ENSG00000122033",15,18,47
"3023","ENSG00000122034",78,167,127
"3024","ENSG00000122042",22,12,26
"3025","ENSG00000122068",46,71,22
"3026","ENSG00000122085",15,21,64
"3027","ENSG00000122122",104,158,86
"3028","ENSG00000122126",6,8,18
"3029","ENSG00000122140",50,38,50
"3030","ENSG00000122203",25,17,51
"3031","ENSG00000122218",98,116,96
"3032","ENSG00000122257",19,13,29
"3033","ENSG00000122299",46,57,74
"3034","ENSG00000122359",145,178,173
"3035","ENSG00000122376",17,24,34
"3036","ENSG00000122378",23,27,5
"3037","ENSG00000122406",1206,1427,2069
"3038","ENSG00000122432",10,18,18
"3039","ENSG00000122435",13,22,21
"3040","ENSG00000122482",18,13,25
"3041","ENSG00000122483",2,6,6
"3042","ENSG00000122484",16,17,54
"3043","ENSG00000122490",6,15,24
"3044","ENSG00000122497",19,37,5
"3045","ENSG00000122512",10,16,40
"3046","ENSG00000122515",47,74,65
"3047","ENSG00000122545",202,213,204
"3048","ENSG00000122547",5,2,22
"3049","ENSG00000122550",9,13,18
"3050","ENSG00000122557",16,19,21
"3051","ENSG00000122565",144,193,139
"3052","ENSG00000122566",426,666,656
"3053","ENSG00000122674",70,110,39
"3054","ENSG00000122678",6,9,36
"3055","ENSG00000122687",12,19,14
"3056","ENSG00000122692",68,105,56
