"gene","GM18558","GM18960","GM19240"
"177","ENSG00000011566",5,4,33
"178","ENSG00000011590",47,38,19
"179","ENSG00000011638",30,17,35
"180","ENSG00000012048",4,12,1
"181","ENSG00000012061",33,43,72
"182","ENSG00000012124",42,65,74
"183","ENSG00000012211",9,12,17
"184","ENSG00000012660",53,87,60
"185","ENSG00000012779",20,21,20
"186","ENSG00000012822",17,19,33
"187","ENSG00000012963",11,50,23
"188","ENSG00000012983",31,19,35
"189","ENSG00000013275",131,190,169
"190","ENSG00000013288",6,10,11
"191","ENSG00000013306",67,92,52
"192","ENSG00000013364",141,155,67
"193","ENSG00000013374",76,60,95
"194","ENSG00000013375",15,12,18
"195","ENSG00000013392",2,4,13
"196","ENSG00000013441",73,86,72
"197","ENSG00000013503",6,5,28
"198","ENSG00000013523",5,9,33
"199","ENSG00000013561",14,20,19
"200","ENSG00000013573",18,22,28
"201","ENSG00000013725",2,2,14
"202","ENSG00000013810",18,55,35
"203","ENSG00000014123",22,25,21
"204","ENSG00000014138",13,70,41
"205","ENSG00000014164",8,10,8
"206","ENSG00000014216",71,143,79
"207","ENSG00000014824",25,56,42
"208","ENSG00000015133",14,14,14
"209","ENSG00000015153",5,9,28
"210","ENSG00000015171",11,15,30
"211","ENSG00000015285",56,84,64
"212","ENSG00000015475",37,77,50
"213","ENSG00000015479",168,227,120
"214","ENSG00000015532",4,7,8
"215","ENSG00000015568",6,12,32
"216","ENSG00000015676",13,21,26
"217","ENSG00000016391",21,14,21
"218","ENSG00000016864",22,24,51
"219","ENSG00000017260",65,93,88
"220","ENSG00000017483",35,64,46
"221","ENSG00000017797",29,42,51
"222","ENSG00000018189",8,11,32
"223","ENSG00000018510",40,45,39
"224","ENSG00000018610",43,54,26
"225","ENSG00000018699",14,26,20
"226","ENSG00000019582",1687,1996,2247
"227","ENSG00000019995",23,23,54
"228","ENSG00000020129",17,17,20
"229","ENSG00000020256",6,12,22
"230","ENSG00000020577",4,2,41
"231","ENSG00000020633",27,62,20
"232","ENSG00000020922",22,25,41
"233","ENSG00000021355",22,24,15
"234","ENSG00000021574",10,9,26
"235","ENSG00000021776",33,39,31
"236","ENSG00000022277",79,146,90
"237","ENSG00000022840",69,80,87
"238","ENSG00000023041",38,44,28
"239","ENSG00000023171",2,5,11
"240","ENSG00000023191",36,90,14
"241","ENSG00000023228",44,67,47
"242","ENSG00000023287",15,14,15
"243","ENSG00000023318",102,141,88
"244","ENSG00000023330",54,68,93
"245","ENSG00000023445",205,235,114
"246","ENSG00000023516",15,9,109
"247","ENSG00000023608",36,28,16
"248","ENSG00000023697",27,33,13
"249","ENSG00000023734",138,194,114
"250","ENSG00000023892",15,26,12
"251","ENSG00000023902",94,107,157
"252","ENSG00000023909",35,23,58
"253","ENSG00000024048",20,16,36
"254","ENSG00000024862",24,54,47
"255","ENSG00000025039",37,34,52
"256","ENSG00000025156",24,25,28
"257","ENSG00000025293",11,19,46
"258","ENSG00000025708",24,42,19
"259","ENSG00000025770",31,60,35
"260","ENSG00000025772",7,22,13
"261","ENSG00000025796",31,37,29
"262","ENSG00000025800",16,19,40
"263","ENSG00000026025",1028,1370,128
"264","ENSG00000026103",91,131,64
"265","ENSG00000026508",90,157,479
"266","ENSG00000026652",5,2,16
"267","ENSG00000026751",155,181,192
"268","ENSG00000026950",8,5,34
"269","ENSG00000027001",14,18,46
"270","ENSG00000027075",15,5,24
"271","ENSG00000027697",73,66,57
"272","ENSG00000027847",8,9,35
"273","ENSG00000028116",26,32,39
"274","ENSG00000028137",19,13,33
"275","ENSG00000028203",17,20,32
"276","ENSG00000028277",18,15,22
"277","ENSG00000028310",22,24,27
"278","ENSG00000028528",71,121,89
"279","ENSG00000028839",36,59,17
"280","ENSG00000029153",41,52,54
"281","ENSG00000029363",68,72,60
"282","ENSG00000029364",20,19,28
"283","ENSG00000029639",16,28,28
"284","ENSG00000029725",38,44,39
"285","ENSG00000029993",14,38,22
"286","ENSG00000030066",25,38,32
"287","ENSG00000030110",38,32,12
"288","ENSG00000030582",126,178,103
"289","ENSG00000031003",19,26,29
"290","ENSG00000031081",12,17,47
"291","ENSG00000031691",7,15,32
"292","ENSG00000031698",133,193,118
"293","ENSG00000031823",40,48,43
"294","ENSG00000032219",11,10,42
"295","ENSG00000032389",11,35,24
"296","ENSG00000032444",27,37,35
"297","ENSG00000032742",6,6,27
"298","ENSG00000033011",11,28,34
"299","ENSG00000033030",30,25,13
"300","ENSG00000033050",67,122,76
"301","ENSG00000033100",33,29,57
"302","ENSG00000033122",28,51,3
"303","ENSG00000033170",8,25,48
"304","ENSG00000033178",26,34,38
"305","ENSG00000033627",27,41,52
"306","ENSG00000033800",31,43,30
"307","ENSG00000033867",5,5,13
"308","ENSG00000034063",6,29,8
"309","ENSG00000034152",66,56,41
"310","ENSG00000034677",35,39,54
"311","ENSG00000034693",38,41,46
"312","ENSG00000035115",14,6,1
"313","ENSG00000035141",49,40,49
"314","ENSG00000035403",7,22,16
"315","ENSG00000035499",2,10,11
"316","ENSG00000035681",63,43,45
"317","ENSG00000035687",44,73,47
"318","ENSG00000035720",11,31,20
"319","ENSG00000035928",22,35,48
"320","ENSG00000036054",13,13,19
"321","ENSG00000036257",91,83,94
"322","ENSG00000036549",13,14,16
"323","ENSG00000037042",8,12,11
"324","ENSG00000037241",45,38,50
"325","ENSG00000037474",70,96,76
"326","ENSG00000037637",11,14,28
"327","ENSG00000037757",9,10,6
"328","ENSG00000037897",17,19,13
"329","ENSG00000038002",5,13,17
"330","ENSG00000038210",12,29,42
"331","ENSG00000038219",26,23,35
"332","ENSG00000038274",85,112,48
"333","ENSG00000038358",44,53,33
"334","ENSG00000038382",24,21,17
"335","ENSG00000038532",19,20,27
"336","ENSG00000039068",1,5,14
"337","ENSG00000039123",51,63,48
