"gene","Guchi","Jaqo","Jingjing"
"152","ENSPPYG00000000494",4,7,2
"153","ENSPPYG00000000498",89,155,888
"154","ENSPPYG00000000504",3,11,8
"155","ENSPPYG00000000509",13,14,50
"156","ENSPPYG00000000513",23,33,43
"157","ENSPPYG00000000524",28,41,6
"158","ENSPPYG00000000526",4,7,31
"159","ENSPPYG00000000535",18,17,12
"160","ENSPPYG00000000539",64,87,2
"161","ENSPPYG00000000541",3,5,16
"162","ENSPPYG00000000543",34,56,37
"163","ENSPPYG00000000545",36,48,30
"164","ENSPPYG00000000546",46,50,214
"165","ENSPPYG00000000549",18,16,16
"166","ENSPPYG00000000552",2,3,12
"167","ENSPPYG00000000557",6,12,8
"168","ENSPPYG00000000561",9,4,16
"169","ENSPPYG00000000563",42,51,27
"170","ENSPPYG00000000565",40,55,17
"171","ENSPPYG00000000568",63,57,1
"172","ENSPPYG00000000569",114,92,164
"173","ENSPPYG00000000574",4,5,58
"174","ENSPPYG00000000578",29,23,14
"175","ENSPPYG00000000581",59,47,2
"176","ENSPPYG00000000582",8,24,6
"177","ENSPPYG00000000589",14,22,13
"178","ENSPPYG00000000590",26,56,27
"179","ENSPPYG00000000592",4,10,10
"180","ENSPPYG00000000598",36,49,6
"181","ENSPPYG00000000602",7,14,14
"182","ENSPPYG00000000605",61,87,80
"183","ENSPPYG00000000607",15,24,18
"184","ENSPPYG00000000608",5,8,32
"185","ENSPPYG00000000609",12,26,30
"186","ENSPPYG00000000610",100,77,140
"187","ENSPPYG00000000612",21,34,8
"188","ENSPPYG00000000613",19,14,26
"189","ENSPPYG00000000614",52,28,105
"190","ENSPPYG00000000615",11,5,27
"191","ENSPPYG00000000617",31,34,22
"192","ENSPPYG00000000619",22,38,17
"193","ENSPPYG00000000620",5,16,126
"194","ENSPPYG00000000621",17,30,1
"195","ENSPPYG00000000626",59,64,11
"196","ENSPPYG00000000627",44,37,65
"197","ENSPPYG00000000628",41,112,27
"198","ENSPPYG00000000633",29,42,8
"199","ENSPPYG00000000634",63,95,17
"200","ENSPPYG00000000636",10,17,12
"201","ENSPPYG00000000637",26,27,23
"202","ENSPPYG00000000638",42,47,1
"203","ENSPPYG00000000642",8,11,94
"204","ENSPPYG00000000648",551,489,311
"205","ENSPPYG00000000650",2,2,5
"206","ENSPPYG00000000664",17,12,36
"207","ENSPPYG00000000665",56,53,35
"208","ENSPPYG00000000690",6,15,7
"209","ENSPPYG00000000691",28,12,28
"210","ENSPPYG00000000700",60,38,53
"211","ENSPPYG00000000703",78,72,24
"212","ENSPPYG00000000704",38,71,152
"213","ENSPPYG00000000705",7,13,8
"214","ENSPPYG00000000711",16,29,18
"215","ENSPPYG00000000713",68,50,133
"216","ENSPPYG00000000720",223,223,14
"217","ENSPPYG00000000721",6,9,13
"218","ENSPPYG00000000722",2,2,2
"219","ENSPPYG00000000723",33,52,17
"220","ENSPPYG00000000725",9,8,53
"221","ENSPPYG00000000727",1,11,10
"222","ENSPPYG00000000728",108,187,2781
"223","ENSPPYG00000000731",23,39,590
"224","ENSPPYG00000000732",9,24,13
"225","ENSPPYG00000000733",143,322,167
"226","ENSPPYG00000000734",25,42,6
"227","ENSPPYG00000000736",14,32,8
"228","ENSPPYG00000000737",13,21,27
"229","ENSPPYG00000000739",8,13,10
"230","ENSPPYG00000000740",30,34,38
"231","ENSPPYG00000000745",5,19,16
"232","ENSPPYG00000000746",364,241,686
"233","ENSPPYG00000000747",110,59,205
"234","ENSPPYG00000000748",24,43,46
"235","ENSPPYG00000000749",48,47,46
"236","ENSPPYG00000000750",2,11,4
"237","ENSPPYG00000000751",21,21,68
"238","ENSPPYG00000000756",32,70,171
"239","ENSPPYG00000000758",29,44,11
"240","ENSPPYG00000000762",4,8,16
"241","ENSPPYG00000000764",1,2,6
"242","ENSPPYG00000000767",14,11,29
"243","ENSPPYG00000000768",23,33,209
"244","ENSPPYG00000000771",13,31,33
"245","ENSPPYG00000000772",10,16,34
