"gene","Guchi","Jaqo","Jingjing"
"1810","ENSPPYG00000005485",17,34,11
"1811","ENSPPYG00000005489",2,1,27
"1812","ENSPPYG00000005490",45,42,61
"1813","ENSPPYG00000005494",3,4,6
"1814","ENSPPYG00000005502",40,24,48
"1815","ENSPPYG00000005504",22,16,30
"1816","ENSPPYG00000005507",8,9,26
"1817","ENSPPYG00000005508",12,31,8
"1818","ENSPPYG00000005514",10,12,18
"1819","ENSPPYG00000005516",3,4,3
"1820","ENSPPYG00000005522",39,45,34
"1821","ENSPPYG00000005523",29,37,6
"1822","ENSPPYG00000005524",48,71,19
"1823","ENSPPYG00000005525",3,2,10
"1824","ENSPPYG00000005528",14,9,6
"1825","ENSPPYG00000005531",4,2,21
"1826","ENSPPYG00000005534",7,7,3
"1827","ENSPPYG00000005535",29,53,52
"1828","ENSPPYG00000005536",11,18,16
"1829","ENSPPYG00000005546",204,300,409
"1830","ENSPPYG00000005560",10,7,8
"1831","ENSPPYG00000005561",26,33,8
"1832","ENSPPYG00000005562",19,37,23
"1833","ENSPPYG00000005563",13,16,16
"1834","ENSPPYG00000005565",73,74,52
"1835","ENSPPYG00000005567",131,88,113
"1836","ENSPPYG00000005573",2,6,3
"1837","ENSPPYG00000005582",26,35,13
"1838","ENSPPYG00000005589",3,8,3
"1839","ENSPPYG00000005593",220,319,217
"1840","ENSPPYG00000005595",74,112,21
"1841","ENSPPYG00000005596",12,24,7
"1842","ENSPPYG00000005597",9,15,18
"1843","ENSPPYG00000005598",28,44,48
"1844","ENSPPYG00000005599",30,25,13
"1845","ENSPPYG00000005637",19,19,70
"1846","ENSPPYG00000005638",127,75,332
"1847","ENSPPYG00000005642",108,125,49
"1848","ENSPPYG00000005645",17,27,117
"1849","ENSPPYG00000005646",1,4,1
"1850","ENSPPYG00000005647",13,39,19
"1851","ENSPPYG00000005649",23,24,9
"1852","ENSPPYG00000005650",63,74,24
"1853","ENSPPYG00000005651",24,28,44
"1854","ENSPPYG00000005654",56,75,198
"1855","ENSPPYG00000005657",25,47,27
"1856","ENSPPYG00000005662",3,4,4
"1857","ENSPPYG00000005663",170,144,413
"1858","ENSPPYG00000005670",30,54,64
"1859","ENSPPYG00000005675",1,4,48
"1860","ENSPPYG00000005679",28,20,16
"1861","ENSPPYG00000005680",25,35,22
"1862","ENSPPYG00000005682",251,301,511
"1863","ENSPPYG00000005683",14,13,136
"1864","ENSPPYG00000005684",281,159,1172
"1865","ENSPPYG00000005685",17,28,82
"1866","ENSPPYG00000005686",22,26,46
"1867","ENSPPYG00000005687",19,20,30
"1868","ENSPPYG00000005688",37,48,24
"1869","ENSPPYG00000005691",59,50,92
"1870","ENSPPYG00000005692",38,14,61
"1871","ENSPPYG00000005693",24,33,10
"1872","ENSPPYG00000005696",11,25,44
"1873","ENSPPYG00000005697",13,19,29
"1874","ENSPPYG00000005698",18,17,16
"1875","ENSPPYG00000005703",6,10,16
"1876","ENSPPYG00000005704",2,2,25
"1877","ENSPPYG00000005708",5,9,6
"1878","ENSPPYG00000005718",6,2,2
"1879","ENSPPYG00000005720",29,32,17
"1880","ENSPPYG00000005723",4,7,40
"1881","ENSPPYG00000005724",14,31,8
"1882","ENSPPYG00000005725",5,3,6
"1883","ENSPPYG00000005735",19,21,13
"1884","ENSPPYG00000005736",25,42,18
"1885","ENSPPYG00000005738",12,22,68
"1886","ENSPPYG00000005739",71,67,32
"1887","ENSPPYG00000005740",9,13,13
"1888","ENSPPYG00000005741",14,23,9
"1889","ENSPPYG00000005742",16,17,14
"1890","ENSPPYG00000005743",328,316,216
"1891","ENSPPYG00000005746",6,8,7
"1892","ENSPPYG00000005747",27,23,6
"1893","ENSPPYG00000005748",20,25,16
"1894","ENSPPYG00000005763",14,33,6
"1895","ENSPPYG00000005764",13,20,22
"1896","ENSPPYG00000005766",61,130,17
"1897","ENSPPYG00000005768",6,27,6
"1898","ENSPPYG00000005773",4,4,21
"1899","ENSPPYG00000005776",18,31,10
"1900","ENSPPYG00000005778",78,63,163
"1901","ENSPPYG00000005781",4,4,14
"1902","ENSPPYG00000005782",9,14,9
"1903","ENSPPYG00000005785",688,806,5187
"1904","ENSPPYG00000005787",7,3,18
"1905","ENSPPYG00000005790",12,17,8
"1906","ENSPPYG00000005793",18,32,23
"1907","ENSPPYG00000005799",11,22,12
"1908","ENSPPYG00000005801",6,10,32
"1909","ENSPPYG00000005802",1,2,15
"1910","ENSPPYG00000005803",13,22,13
"1911","ENSPPYG00000005806",17,26,12
"1912","ENSPPYG00000005808",3,6,1
"1913","ENSPPYG00000005809",1,5,5
"1914","ENSPPYG00000005811",3,2,12
"1915","ENSPPYG00000005812",2,8,65
"1916","ENSPPYG00000005814",168,168,313
"1917","ENSPPYG00000005815",2,2,9
"1918","ENSPPYG00000005819",23,42,9
"1919","ENSPPYG00000005820",71,98,65
"1920","ENSPPYG00000005821",9,17,8
"1921","ENSPPYG00000005822",18,24,19
"1922","ENSPPYG00000005827",8,7,27
"1923","ENSPPYG00000005828",52,110,17
"1924","ENSPPYG00000005834",14,10,10
"1925","ENSPPYG00000005836",87,34,11
"1926","ENSPPYG00000005837",50,163,175
"1927","ENSPPYG00000005838",7,8,45
"1928","ENSPPYG00000005842",37,65,14
"1929","ENSPPYG00000005849",25,31,6
"1930","ENSPPYG00000005850",14,14,16
"1931","ENSPPYG00000005854",26,34,14
"1932","ENSPPYG00000005855",143,120,306
"1933","ENSPPYG00000005857",6,15,13
"1934","ENSPPYG00000005859",30,40,91
"1935","ENSPPYG00000005860",4,5,15
"1936","ENSPPYG00000005862",6,6,10
"1937","ENSPPYG00000005870",64,42,43
"1938","ENSPPYG00000005871",28,37,12
"1939","ENSPPYG00000005876",14,14,30
"1940","ENSPPYG00000005878",7,5,8
"1941","ENSPPYG00000005881",28,33,22
"1942","ENSPPYG00000005882",7,14,10
"1943","ENSPPYG00000005889",13,23,1
"1944","ENSPPYG00000005895",3,2,1
"1945","ENSPPYG00000005898",78,62,69
"1946","ENSPPYG00000005906",20,37,54
"1947","ENSPPYG00000005909",7,6,17
"1948","ENSPPYG00000005913",11,8,4
"1949","ENSPPYG00000005917",14,22,1
"1950","ENSPPYG00000005920",35,42,19
"1951","ENSPPYG00000005921",111,96,81
"1952","ENSPPYG00000005927",76,76,117
"1953","ENSPPYG00000005930",7,8,9
"1954","ENSPPYG00000005931",5,4,7
"1955","ENSPPYG00000005935",52,46,3
"1956","ENSPPYG00000005939",110,159,57
"1957","ENSPPYG00000005940",8,15,1
"1958","ENSPPYG00000005945",102,166,50
"1959","ENSPPYG00000005951",40,33,132
"1960","ENSPPYG00000005954",26,25,23
"1961","ENSPPYG00000005957",16,16,28
"1962","ENSPPYG00000005960",8,15,14
"1963","ENSPPYG00000005966",18,17,21
"1964","ENSPPYG00000005967",15,20,1
"1965","ENSPPYG00000005969",15,20,5
"1966","ENSPPYG00000005971",45,10,36
"1967","ENSPPYG00000005973",4,8,12
"1968","ENSPPYG00000005976",24,23,7
"1969","ENSPPYG00000005978",10,11,4
"1970","ENSPPYG00000005983",8,14,54
"1971","ENSPPYG00000005987",67,86,56
"1972","ENSPPYG00000005988",9,14,14
"1973","ENSPPYG00000005990",13,15,12
"1974","ENSPPYG00000005993",37,48,12
"1975","ENSPPYG00000005994",4,4,9
"1976","ENSPPYG00000005995",2,2,10
"1977","ENSPPYG00000005996",39,31,14
"1978","ENSPPYG00000005997",4,6,10
"1979","ENSPPYG00000006000",24,34,14
"1980","ENSPPYG00000006005",126,66,1074
"1981","ENSPPYG00000006007",32,25,10
"1982","ENSPPYG00000006008",5,5,4
"1983","ENSPPYG00000006010",15,14,136
"1984","ENSPPYG00000006020",10,10,32
"1985","ENSPPYG00000006021",20,13,70
"1986","ENSPPYG00000006025",6,14,14
"1987","ENSPPYG00000006026",160,118,137
"1988","ENSPPYG00000006028",5,16,18
"1989","ENSPPYG00000006030",50,64,356
"1990","ENSPPYG00000006031",46,71,32
"1991","ENSPPYG00000006033",9,6,8
"1992","ENSPPYG00000006039",2,5,11
"1993","ENSPPYG00000006043",20,34,10
"1994","ENSPPYG00000006053",16,30,25
"1995","ENSPPYG00000006057",8,11,47
"1996","ENSPPYG00000006058",13,15,13
"1997","ENSPPYG00000006060",98,146,79
"1998","ENSPPYG00000006064",4,5,6
"1999","ENSPPYG00000006067",33,52,23
"2000","ENSPPYG00000006072",7,9,4
"2001","ENSPPYG00000006075",11,8,15
"2002","ENSPPYG00000006076",38,36,323
"2003","ENSPPYG00000006079",31,97,1
"2004","ENSPPYG00000006082",12,12,11
"2005","ENSPPYG00000006085",12,15,21
"2006","ENSPPYG00000006086",11,19,22
"2007","ENSPPYG00000006092",3,8,63
"2008","ENSPPYG00000006095",82,58,50
"2009","ENSPPYG00000006096",8,4,51
"2010","ENSPPYG00000006098",50,46,482
"2011","ENSPPYG00000006112",11,11,7
"2012","ENSPPYG00000006115",2,5,5
"2013","ENSPPYG00000006116",35,40,25
"2014","ENSPPYG00000006125",5,7,14
"2015","ENSPPYG00000006128",76,68,78
"2016","ENSPPYG00000006138",65,64,36
"2017","ENSPPYG00000006142",26,81,15
"2018","ENSPPYG00000006147",3,1,14
"2019","ENSPPYG00000006152",91,88,50
"2020","ENSPPYG00000006153",717,557,366
"2021","ENSPPYG00000006158",20,55,73
"2022","ENSPPYG00000006159",5,3,4
"2023","ENSPPYG00000006162",25,18,4
"2024","ENSPPYG00000006169",72,152,51
"2025","ENSPPYG00000006170",18,32,21
"2026","ENSPPYG00000006171",2,5,40
"2027","ENSPPYG00000006174",11,13,4
"2028","ENSPPYG00000006175",30,30,20
"2029","ENSPPYG00000006177",4,6,21
"2030","ENSPPYG00000006178",9,13,4
"2031","ENSPPYG00000006179",8,13,3
"2032","ENSPPYG00000006191",3,10,49
"2033","ENSPPYG00000006192",39,45,18
"2034","ENSPPYG00000006200",15,6,6
"2035","ENSPPYG00000006202",2,4,6
"2036","ENSPPYG00000006205",8,14,12
"2037","ENSPPYG00000006208",26,38,11
"2038","ENSPPYG00000006209",10,95,418
"2039","ENSPPYG00000006210",7,8,20
"2040","ENSPPYG00000006214",105,2,25
"2041","ENSPPYG00000006225",7,3,3
"2042","ENSPPYG00000006226",15,28,67
"2043","ENSPPYG00000006228",110,2,23
"2044","ENSPPYG00000006244",52,2,6
"2045","ENSPPYG00000006245",8,10,36
"2046","ENSPPYG00000006257",12,13,14
"2047","ENSPPYG00000006258",14,21,10
"2048","ENSPPYG00000006261",3,3,3
"2049","ENSPPYG00000006262",6,25,10
"2050","ENSPPYG00000006269",62,69,138
"2051","ENSPPYG00000006272",28,41,5
"2052","ENSPPYG00000006288",3,7,14
"2053","ENSPPYG00000006299",5,7,24
"2054","ENSPPYG00000006306",19,37,16
"2055","ENSPPYG00000006310",18,21,16
"2056","ENSPPYG00000006313",75,112,248
"2057","ENSPPYG00000006315",14,26,26
"2058","ENSPPYG00000006316",7,17,6
"2059","ENSPPYG00000006319",15,26,6
"2060","ENSPPYG00000006327",6,3,6
"2061","ENSPPYG00000006337",16,26,18
"2062","ENSPPYG00000006341",49,65,137
"2063","ENSPPYG00000006345",9,8,28
"2064","ENSPPYG00000006350",5,12,4
"2065","ENSPPYG00000006354",18,18,10
"2066","ENSPPYG00000006356",3,5,12
"2067","ENSPPYG00000006357",18,6,14
"2068","ENSPPYG00000006360",16,10,19
"2069","ENSPPYG00000006362",12,20,41
"2070","ENSPPYG00000006373",18,20,4
"2071","ENSPPYG00000006374",16,39,38
"2072","ENSPPYG00000006377",12,14,8
"2073","ENSPPYG00000006384",2,4,8
"2074","ENSPPYG00000006387",7,15,2
"2075","ENSPPYG00000006392",14,17,23
"2076","ENSPPYG00000006394",5,8,9
"2077","ENSPPYG00000006398",8,13,1
"2078","ENSPPYG00000006403",4,9,1
"2079","ENSPPYG00000006405",7,14,1
"2080","ENSPPYG00000006406",25,55,1
"2081","ENSPPYG00000006411",4,6,14
"2082","ENSPPYG00000006414",21,20,38
"2083","ENSPPYG00000006416",6,6,2
"2084","ENSPPYG00000006418",2,3,2
"2085","ENSPPYG00000006419",6,5,10
"2086","ENSPPYG00000006421",271,282,123
"2087","ENSPPYG00000006422",8,11,27
"2088","ENSPPYG00000006424",198,112,374
"2089","ENSPPYG00000006426",35,55,9
"2090","ENSPPYG00000006427",12,8,12
"2091","ENSPPYG00000006431",43,54,18
"2092","ENSPPYG00000006432",8,10,18
"2093","ENSPPYG00000006433",1904,2371,1394
"2094","ENSPPYG00000006442",7,3,12
"2095","ENSPPYG00000006449",6,9,3
"2096","ENSPPYG00000006452",14,19,5
"2097","ENSPPYG00000006454",27,85,124
"2098","ENSPPYG00000006455",5,8,10
"2099","ENSPPYG00000006460",42,48,19
"2100","ENSPPYG00000006463",8,13,1
"2101","ENSPPYG00000006464",8,9,11
"2102","ENSPPYG00000006465",3,2,17
"2103","ENSPPYG00000006466",7,5,23
"2104","ENSPPYG00000006468",13,31,13
"2105","ENSPPYG00000006469",7,15,11
"2106","ENSPPYG00000006472",21,30,34
"2107","ENSPPYG00000006473",5,8,5
"2108","ENSPPYG00000006478",10,21,34
"2109","ENSPPYG00000006480",13,19,1
"2110","ENSPPYG00000006481",34,36,15
"2111","ENSPPYG00000006486",5,11,6
"2112","ENSPPYG00000006487",19,25,38
"2113","ENSPPYG00000006495",118,199,180
"2114","ENSPPYG00000006496",23,20,36
"2115","ENSPPYG00000006497",4,8,17
"2116","ENSPPYG00000006498",6,22,15
"2117","ENSPPYG00000006502",4,8,15
"2118","ENSPPYG00000006503",16,43,28
"2119","ENSPPYG00000006505",7,23,10
"2120","ENSPPYG00000006512",10,30,8
"2121","ENSPPYG00000006515",28,43,12
"2122","ENSPPYG00000006517",16,19,128
"2123","ENSPPYG00000006518",17,32,19
"2124","ENSPPYG00000006523",44,30,137
"2125","ENSPPYG00000006524",24,29,4
"2126","ENSPPYG00000006526",46,215,308
"2127","ENSPPYG00000006527",11,14,20
"2128","ENSPPYG00000006528",5,11,4
"2129","ENSPPYG00000006529",8,10,14
"2130","ENSPPYG00000006534",11,19,12
"2131","ENSPPYG00000006536",50,32,30
"2132","ENSPPYG00000006537",162,112,456
"2133","ENSPPYG00000006538",43,67,15
"2134","ENSPPYG00000006541",17,41,18
"2135","ENSPPYG00000006544",36,56,47
"2136","ENSPPYG00000006545",71,82,24
"2137","ENSPPYG00000006546",57,72,498
"2138","ENSPPYG00000006547",190,276,672
"2139","ENSPPYG00000006548",7,7,1
"2140","ENSPPYG00000006549",19,4,51
"2141","ENSPPYG00000006550",19,22,19
"2142","ENSPPYG00000006552",44,35,123
"2143","ENSPPYG00000006554",4,4,10
"2144","ENSPPYG00000006555",6,12,5
"2145","ENSPPYG00000006557",30,21,4
"2146","ENSPPYG00000006558",12,10,12
"2147","ENSPPYG00000006563",15,30,20
"2148","ENSPPYG00000006569",13,30,10
"2149","ENSPPYG00000006572",9,30,16
"2150","ENSPPYG00000006573",59,128,65
"2151","ENSPPYG00000006575",9,10,1
"2152","ENSPPYG00000006578",1778,2639,2472
"2153","ENSPPYG00000006579",24,17,13
"2154","ENSPPYG00000006583",4,6,5
"2155","ENSPPYG00000006584",28,23,14
"2156","ENSPPYG00000006587",5,16,18
"2157","ENSPPYG00000006589",15,20,32
"2158","ENSPPYG00000006590",4,4,6
"2159","ENSPPYG00000006591",6,6,14
"2160","ENSPPYG00000006592",2,6,7
"2161","ENSPPYG00000006593",2,2,10
"2162","ENSPPYG00000006595",147,111,319
"2163","ENSPPYG00000006600",5,5,14
"2164","ENSPPYG00000006601",875,1548,5719
"2165","ENSPPYG00000006602",5,27,8
"2166","ENSPPYG00000006607",1,5,6
"2167","ENSPPYG00000006613",665,506,398
"2168","ENSPPYG00000006614",17,46,20
"2169","ENSPPYG00000006616",28,29,28
"2170","ENSPPYG00000006617",22,29,14
"2171","ENSPPYG00000006625",32,33,22
"2172","ENSPPYG00000006630",5,6,11
"2173","ENSPPYG00000006631",4,10,51
"2174","ENSPPYG00000006635",3,1,19
"2175","ENSPPYG00000006638",171,236,19
"2176","ENSPPYG00000006639",23,50,74
"2177","ENSPPYG00000006640",10,14,11
"2178","ENSPPYG00000006641",25,42,43
"2179","ENSPPYG00000006642",14,15,26
"2180","ENSPPYG00000006646",73,105,47
"2181","ENSPPYG00000006648",9,20,7
"2182","ENSPPYG00000006649",32,47,51
"2183","ENSPPYG00000006650",12,10,19
"2184","ENSPPYG00000006651",8,12,4
"2185","ENSPPYG00000006652",131,109,585
"2186","ENSPPYG00000006655",6,8,12
"2187","ENSPPYG00000006656",2,10,10
"2188","ENSPPYG00000006657",24,24,94
"2189","ENSPPYG00000006658",15,16,35
"2190","ENSPPYG00000006659",11,28,33
"2191","ENSPPYG00000006660",21,24,7
"2192","ENSPPYG00000006663",12,14,23
"2193","ENSPPYG00000006670",13,11,11
"2194","ENSPPYG00000006671",22,11,33
"2195","ENSPPYG00000006674",131,128,58
"2196","ENSPPYG00000006677",5,8,10
"2197","ENSPPYG00000006680",61,72,18
"2198","ENSPPYG00000006683",10,25,9
"2199","ENSPPYG00000006687",5,25,6
"2200","ENSPPYG00000006689",4,5,20
"2201","ENSPPYG00000006690",26,25,22
"2202","ENSPPYG00000006693",28,44,91
"2203","ENSPPYG00000006696",28,31,18
"2204","ENSPPYG00000006699",113,115,255
"2205","ENSPPYG00000006703",111,216,67
"2206","ENSPPYG00000006704",96,118,157
"2207","ENSPPYG00000006705",3,2,6
"2208","ENSPPYG00000006708",29,34,56
"2209","ENSPPYG00000006710",14,5,40
"2210","ENSPPYG00000006711",82,9,186
"2211","ENSPPYG00000006713",62,20,107
"2212","ENSPPYG00000006720",10,7,16
"2213","ENSPPYG00000006724",23,17,35
"2214","ENSPPYG00000006736",114,112,69
"2215","ENSPPYG00000006737",16,10,11
"2216","ENSPPYG00000006745",5,11,11
"2217","ENSPPYG00000006750",40,38,120
"2218","ENSPPYG00000006751",45,39,84
"2219","ENSPPYG00000006755",16,30,17
"2220","ENSPPYG00000006756",18,52,418
"2221","ENSPPYG00000006759",6,6,4
"2222","ENSPPYG00000006760",9,12,3
"2223","ENSPPYG00000006762",7,11,53
"2224","ENSPPYG00000006763",33,36,26
"2225","ENSPPYG00000006767",2,2,1
"2226","ENSPPYG00000006773",7,11,8
"2227","ENSPPYG00000006775",19,72,124
"2228","ENSPPYG00000006776",2,8,11
"2229","ENSPPYG00000006777",66,76,298
"2230","ENSPPYG00000006779",27,13,22
"2231","ENSPPYG00000006782",52,71,16
"2232","ENSPPYG00000006784",7,4,32
"2233","ENSPPYG00000006785",18,32,9
"2234","ENSPPYG00000006786",2,5,121
"2235","ENSPPYG00000006787",13,14,8
"2236","ENSPPYG00000006788",10,12,44
"2237","ENSPPYG00000006789",17,18,26
"2238","ENSPPYG00000006790",3,4,6
"2239","ENSPPYG00000006791",11,12,18
"2240","ENSPPYG00000006792",14,32,29
"2241","ENSPPYG00000006799",9,18,6
"2242","ENSPPYG00000006812",4,5,9
"2243","ENSPPYG00000006813",5,4,40
"2244","ENSPPYG00000006817",5,4,8
"2245","ENSPPYG00000006821",10,9,2
"2246","ENSPPYG00000006824",7,10,9
"2247","ENSPPYG00000006826",31,29,48
"2248","ENSPPYG00000006827",69,39,127
"2249","ENSPPYG00000006829",20,13,47
"2250","ENSPPYG00000006879",26,26,31
"2251","ENSPPYG00000006881",47,87,62
"2252","ENSPPYG00000006885",16,16,13
"2253","ENSPPYG00000006888",1282,1482,7780
"2254","ENSPPYG00000006894",44,60,249
"2255","ENSPPYG00000006895",2,4,4
"2256","ENSPPYG00000006896",40,16,86
"2257","ENSPPYG00000006897",8,7,5
"2258","ENSPPYG00000006901",13,26,41
"2259","ENSPPYG00000006902",9,16,12
"2260","ENSPPYG00000006904",5,5,4
"2261","ENSPPYG00000006905",10,13,41
"2262","ENSPPYG00000006906",70,84,491
"2263","ENSPPYG00000006907",11,37,15
"2264","ENSPPYG00000006908",29,45,63
"2265","ENSPPYG00000006909",4,6,1
"2266","ENSPPYG00000006910",10,13,5
"2267","ENSPPYG00000006913",6,6,16
"2268","ENSPPYG00000006916",7,18,86
"2269","ENSPPYG00000006917",17,26,182
"2270","ENSPPYG00000006918",3,7,12
"2271","ENSPPYG00000006919",19,43,38
"2272","ENSPPYG00000006920",1,9,6
"2273","ENSPPYG00000006921",33,29,87
"2274","ENSPPYG00000006923",2,9,7
"2275","ENSPPYG00000006926",2,3,19
"2276","ENSPPYG00000006929",1,11,19
"2277","ENSPPYG00000006930",9,9,10
"2278","ENSPPYG00000006934",3,2,45
"2279","ENSPPYG00000006946",120,143,30
"2280","ENSPPYG00000006948",26,27,169
"2281","ENSPPYG00000006949",12,23,27
"2282","ENSPPYG00000006954",7,17,7
"2283","ENSPPYG00000006955",2,11,12
"2284","ENSPPYG00000006956",4,6,13
"2285","ENSPPYG00000006959",42,36,12
"2286","ENSPPYG00000006960",8,24,4
"2287","ENSPPYG00000006962",1,20,79
"2288","ENSPPYG00000006963",5,13,8
"2289","ENSPPYG00000006964",2,12,21
"2290","ENSPPYG00000006966",21,23,110
"2291","ENSPPYG00000006972",15,31,5
"2292","ENSPPYG00000006974",48,47,113
"2293","ENSPPYG00000006975",675,1177,1035
"2294","ENSPPYG00000006977",14,36,55
"2295","ENSPPYG00000006982",8,18,30
"2296","ENSPPYG00000006985",4,20,87
"2297","ENSPPYG00000006986",9,19,37
"2298","ENSPPYG00000006987",3,4,7
"2299","ENSPPYG00000006989",52,73,31
"2300","ENSPPYG00000006991",15,17,26
"2301","ENSPPYG00000006994",4,11,8
"2302","ENSPPYG00000006997",4,4,7
"2303","ENSPPYG00000006998",3,3,20
"2304","ENSPPYG00000006999",2,4,17
"2305","ENSPPYG00000007003",6,3,17
"2306","ENSPPYG00000007004",8,26,16
"2307","ENSPPYG00000007010",4,10,98
"2308","ENSPPYG00000007012",47,87,47
"2309","ENSPPYG00000007013",116,46,647
"2310","ENSPPYG00000007019",11,8,18
"2311","ENSPPYG00000007020",2,4,1
"2312","ENSPPYG00000007021",5,2,153
"2313","ENSPPYG00000007022",2,4,32
"2314","ENSPPYG00000007025",2,7,13
"2315","ENSPPYG00000007026",29,18,62
"2316","ENSPPYG00000007027",21,45,58
"2317","ENSPPYG00000007030",26,4,2
"2318","ENSPPYG00000007038",5,9,10
"2319","ENSPPYG00000007043",4,3,15
"2320","ENSPPYG00000007045",4,6,9
"2321","ENSPPYG00000007046",11,16,6
"2322","ENSPPYG00000007050",42,61,68
"2323","ENSPPYG00000007051",6,20,9
"2324","ENSPPYG00000007054",4,11,8
"2325","ENSPPYG00000007056",7,16,38
"2326","ENSPPYG00000007058",26,37,18
"2327","ENSPPYG00000007060",17,20,96
"2328","ENSPPYG00000007061",25,22,75
"2329","ENSPPYG00000007066",1,2,26
"2330","ENSPPYG00000007067",4,6,18
"2331","ENSPPYG00000007071",11,23,16
"2332","ENSPPYG00000007072",25,29,1
"2333","ENSPPYG00000007077",7,12,24
"2334","ENSPPYG00000007081",2,6,15
"2335","ENSPPYG00000007082",3,1,5
"2336","ENSPPYG00000007087",38,66,22
"2337","ENSPPYG00000007088",14,32,8
"2338","ENSPPYG00000007090",5,8,8
"2339","ENSPPYG00000007091",13,9,60
"2340","ENSPPYG00000007093",19,25,27
"2341","ENSPPYG00000007096",11,6,14
"2342","ENSPPYG00000007098",11,16,10
"2343","ENSPPYG00000007109",21,20,12
"2344","ENSPPYG00000007111",35,47,7
"2345","ENSPPYG00000007112",162,216,41
"2346","ENSPPYG00000007114",80,105,15
"2347","ENSPPYG00000007119",4,1,6
"2348","ENSPPYG00000007121",2,8,11
"2349","ENSPPYG00000007123",19,36,4
"2350","ENSPPYG00000007125",10,19,13
"2351","ENSPPYG00000007127",24,39,30
"2352","ENSPPYG00000007128",19,40,16
"2353","ENSPPYG00000007129",32,45,19
"2354","ENSPPYG00000007132",19,18,8
"2355","ENSPPYG00000007133",10,2,11
"2356","ENSPPYG00000007135",11,19,4
"2357","ENSPPYG00000007137",41,52,14
"2358","ENSPPYG00000007139",1696,2000,8334
"2359","ENSPPYG00000007140",66,75,10
"2360","ENSPPYG00000007141",11,25,15
"2361","ENSPPYG00000007148",28,25,16
"2362","ENSPPYG00000007149",11,14,17
"2363","ENSPPYG00000007150",20,27,11
"2364","ENSPPYG00000007151",9,8,22
"2365","ENSPPYG00000007152",2,2,11
"2366","ENSPPYG00000007160",8,26,14
"2367","ENSPPYG00000007161",3,5,29
"2368","ENSPPYG00000007163",11,42,68
"2369","ENSPPYG00000007174",184,175,68
"2370","ENSPPYG00000007179",12,25,8
"2371","ENSPPYG00000007180",18,21,23
"2372","ENSPPYG00000007188",10,14,19
"2373","ENSPPYG00000007189",6,25,3
"2374","ENSPPYG00000007191",17,16,48
"2375","ENSPPYG00000007192",77,90,255
"2376","ENSPPYG00000007193",5,6,6
"2377","ENSPPYG00000007194",30,29,17
"2378","ENSPPYG00000007195",10,15,32
"2379","ENSPPYG00000007198",27,41,4
"2380","ENSPPYG00000007201",7,22,24
"2381","ENSPPYG00000007204",32,58,10
"2382","ENSPPYG00000007205",11,20,39
"2383","ENSPPYG00000007212",48,55,430
"2384","ENSPPYG00000007213",30,41,8
"2385","ENSPPYG00000007214",40,41,17
"2386","ENSPPYG00000007215",10,16,7
"2387","ENSPPYG00000007216",3,5,24
"2388","ENSPPYG00000007218",57,42,43
"2389","ENSPPYG00000007221",6,14,9
"2390","ENSPPYG00000007222",15,16,8
"2391","ENSPPYG00000007223",38,74,382
"2392","ENSPPYG00000007224",14,14,39
"2393","ENSPPYG00000007226",296,249,457
"2394","ENSPPYG00000007227",183,141,215
"2395","ENSPPYG00000007229",10,17,32
"2396","ENSPPYG00000007233",12,29,70
"2397","ENSPPYG00000007234",2,2,6
"2398","ENSPPYG00000007236",7,9,84
"2399","ENSPPYG00000007237",20,18,238
"2400","ENSPPYG00000007238",303,226,280
"2401","ENSPPYG00000007239",23,32,13
"2402","ENSPPYG00000007241",9,22,2
"2403","ENSPPYG00000007243",22,55,49
"2404","ENSPPYG00000007244",487,656,791
"2405","ENSPPYG00000007245",30,48,38
"2406","ENSPPYG00000007249",11,9,34
"2407","ENSPPYG00000007250",11,27,2
"2408","ENSPPYG00000007251",20,12,82
"2409","ENSPPYG00000007252",6,5,7
"2410","ENSPPYG00000007254",1,2,3
"2411","ENSPPYG00000007256",34,47,11
"2412","ENSPPYG00000007257",99,90,153
"2413","ENSPPYG00000007258",5,13,67
"2414","ENSPPYG00000007260",27,33,11
"2415","ENSPPYG00000007263",65,82,9
"2416","ENSPPYG00000007267",38,64,38
"2417","ENSPPYG00000007268",23,30,9
"2418","ENSPPYG00000007270",43,24,14
"2419","ENSPPYG00000007271",2,2,7
"2420","ENSPPYG00000007273",65,73,193
"2421","ENSPPYG00000007275",2,9,10
"2422","ENSPPYG00000007280",3,3,12
"2423","ENSPPYG00000007282",19,46,84
"2424","ENSPPYG00000007283",9,42,6
"2425","ENSPPYG00000007284",7,20,6
"2426","ENSPPYG00000007285",20,23,42
"2427","ENSPPYG00000007286",4,4,15
"2428","ENSPPYG00000007287",28,49,9
"2429","ENSPPYG00000007290",6,22,299
"2430","ENSPPYG00000007294",4,11,4
"2431","ENSPPYG00000007295",8,8,1
"2432","ENSPPYG00000007296",12,21,14
"2433","ENSPPYG00000007300",1,2,11
"2434","ENSPPYG00000007301",29,38,122
"2435","ENSPPYG00000007304",1,4,6
"2436","ENSPPYG00000007306",15,29,50
"2437","ENSPPYG00000007307",31,52,25
"2438","ENSPPYG00000007308",12,17,32
"2439","ENSPPYG00000007311",152,193,210
"2440","ENSPPYG00000007316",2,2,10
"2441","ENSPPYG00000007320",4,14,4
"2442","ENSPPYG00000007321",66,72,19
"2443","ENSPPYG00000007324",20,31,13
