"name","family","class","Judith","Leo","Maryke"
"545","LTR40b","ERVL","LTR",277,105,78
"546","LTR40c","ERVL","LTR",303,139,187
"547","LTR41","ERVL","LTR",328,132,79
"548","LTR41B","ERVL","LTR",184,104,40
"549","LTR41C","ERVL","LTR",143,79,32
"550","LTR42","ERVL","LTR",263,136,58
"551","LTR43-int","ERV1","LTR",28,25,0
"552","LTR43","ERV1","LTR",362,218,137
"553","LTR43B","ERV1","LTR",114,34,27
"554","LTR44","ERV1","LTR",103,30,46
"555","LTR45","ERV1","LTR",25,8,7
"556","LTR45B","ERV1","LTR",161,50,13
"557","LTR45C","ERV1","LTR",117,35,34
"558","LTR46-int","ERV1","LTR",20,0,4
"559","LTR46","ERV1","LTR",41,7,12
"560","LTR47A2","ERVL","LTR",69,7,10
"561","LTR47A","ERVL","LTR",155,25,41
"562","LTR47B2","ERVL","LTR",32,4,13
"563","LTR47B3","ERVL","LTR",3,9,3
"564","LTR47B4","ERVL","LTR",5,4,2
"565","LTR47B","ERVL","LTR",19,3,0
"566","LTR48","ERV1","LTR",469,262,135
"567","LTR48B","ERV1","LTR",357,169,148
"568","LTR49-int","ERV1","LTR",941,888,392
"569","LTR49","ERV1","LTR",261,93,112
"570","LTR4","ERV1","LTR",227,62,87
"571","LTR50","ERVL","LTR",1759,915,603
"572","LTR51","ERV1","LTR",95,22,18
"573","LTR52-int","ERVL","LTR",29,14,12
"574","LTR52","ERVL","LTR",222,99,21
"575","LTR53-int","ERVL","LTR",438,112,310
"576","LTR53","ERVL","LTR",147,53,89
"577","LTR53B","ERVL","LTR",44,9,8
"578","LTR54","ERV1","LTR",334,97,84
"579","LTR54B","ERV1","LTR",164,64,54
"580","LTR55","ERVL","LTR",185,62,58
"581","LTR56","ERV1","LTR",392,159,123
"582","LTR57-int","ERVL","LTR",81,14,52
"583","LTR57","ERVL","LTR",26,14,1
"584","LTR58","ERV1","LTR",1,1,0
"585","LTR59","ERV1","LTR",10,2,10
"586","LTR5","ERVK","LTR",421,147,56
"587","LTR5A","ERVK","LTR",182,36,35
"588","LTR5B","ERVK","LTR",422,127,62
"589","LTR60","ERV1","LTR",1,0,1
"590","LTR60B","ERV1","LTR",30,16,17
"591","LTR61","ERV1","LTR",77,36,8
"592","LTR62","ERVL","LTR",217,54,60
"593","LTR64","ERV1","LTR",310,156,68
"594","LTR65","ERV1","LTR",98,24,25
"595","LTR66","ERVL","LTR",194,82,57
"596","LTR67B","ERVL","LTR",901,325,219
"597","LTR68","ERV1","LTR",61,27,7
"598","LTR69","ERVL","LTR",22,4,22
"599","LTR6A","ERV1","LTR",330,72,2
"600","LTR6B","ERV1","LTR",43,23,8
"601","LTR70","ERV1","LTR",47,0,0
"602","LTR71A","ERV1","LTR",119,70,33
"603","LTR71B","ERV1","LTR",87,31,23
"604","LTR72","ERV1","LTR",53,10,0
"605","LTR72B","ERV1","LTR",36,10,14
"606","LTR73","ERV1","LTR",218,113,82
"607","LTR75","ERVL","LTR",85,35,27
"608","LTR75B","ERVL","LTR",15,9,6
"609","LTR75_1","ERV1","LTR",96,47,23
"610","LTR76","ERV1","LTR",13,23,3
"611","LTR77","ERV1","LTR",57,28,18
"612","LTR78","ERV1","LTR",3693,2393,1487
"613","LTR78B","ERV1","LTR",727,279,144
"614","LTR79","ERVL","LTR",737,314,262
"615","LTR7","ERV1","LTR",851,479,220
"616","LTR7B","ERV1","LTR",380,127,128
"617","LTR7C","ERV1","LTR",190,69,14
"618","LTR7Y","ERV1","LTR",25,5,10
"619","LTR80A","ERVL","LTR",179,122,28
"620","LTR80B","ERVL","LTR",97,13,21
"621","LTR81","Gypsy","LTR",36,14,6
"622","LTR81A","Gypsy","LTR",222,90,107
"623","LTR81AB","Gypsy","LTR",28,12,0
"624","LTR81B","Gypsy","LTR",188,61,59
"625","LTR81C","Gypsy","LTR",417,236,188
"626","LTR82A","ERVL","LTR",298,145,105
"627","LTR82B","ERVL","LTR",469,144,91
"628","LTR83","ERVL","LTR",188,70,26
"629","LTR84a","ERVL","LTR",289,176,124
"630","LTR84b","ERVL","LTR",215,53,18
"631","LTR85a","Gypsy","LTR",519,207,223
"632","LTR85b","Gypsy","LTR",232,79,62
"633","LTR85c","Gypsy","LTR",455,224,89
"634","LTR86A1","ERVL","LTR",129,52,19
"635","LTR86A2","ERVL","LTR",57,14,2
"636","LTR86B1","ERVL","LTR",71,20,3
"637","LTR86B2","ERVL","LTR",55,5,16
"638","LTR86C","ERVL","LTR",258,68,45
"639","LTR87","ERVL","LTR",133,59,30
"640","LTR88a","Gypsy","LTR",2941,876,1228
"641","LTR88b","Gypsy","LTR",2153,1122,649
"642","LTR88c","Gypsy","LTR",103,48,22
"643","LTR89","ERVL","LTR",176,124,56
"644","LTR89B","ERVL","LTR",87,27,21
"645","LTR8","ERV1","LTR",2567,707,406
"646","LTR8A","ERV1","LTR",665,266,152
"647","LTR8B","ERV1","LTR",525,215,168
"648","LTR90A","LTR","LTR",120,49,24
"649","LTR90B","LTR","LTR",158,35,13
"650","LTR91","LTR","LTR",272,90,45
"651","LTR91A","LTR","LTR",595,297,163
"652","LTR9","ERV1","LTR",483,271,127
"653","LTR9A1","ERV1","LTR",462,177,76
"654","LTR9B","ERV1","LTR",552,219,200
"655","LTR9C","ERV1","LTR",35,6,2
"656","LTR9D","ERV1","LTR",428,150,71
"657","Looper","PiggyBac","DNA",179,70,23
"658","MADE1","TcMar-Mariner","DNA",1413,607,462
"659","MADE2","TcMar-Mariner","DNA",324,105,603
"660","MARE10","TcMar-Tigger","DNA",5,2,0
"661","MARE11","MARE11","Unknown",4,1,0
"662","MARE4","hAT-Tip100","DNA",30,9,2
"663","MARE6","L1-Tx1","LINE",11,5,0
"664","MARE8","DNA","DNA",48,11,0
"665","MARE9","MARE9","Unknown",2,0,0
"666","MARNA","TcMar-Mariner","DNA",1141,362,306
"667","MER101-int","ERV1","LTR",195,82,63
"668","MER101","ERV1","LTR",39,17,1
"669","MER101B","ERV1","LTR",93,21,25
"670","MER102a","hAT-Charlie","DNA",545,148,141
"671","MER102b","hAT-Charlie","DNA",851,374,265
"672","MER102c","hAT-Charlie","DNA",1451,460,387
"673","MER103C","hAT-Charlie","DNA",2300,810,762
"674","MER104","TcMar-Tc2","DNA",340,156,74
"675","MER105","hAT-Charlie","DNA",113,31,9
"676","MER106A","hAT-Charlie","DNA",246,76,40
"677","MER106B","hAT-Charlie","DNA",353,71,101
"678","MER107","hAT-Charlie","DNA",25,9,0
"679","MER110-int","ERV1","LTR",96,38,42
"680","MER110","ERV1","LTR",162,83,47
"681","MER110A","ERV1","LTR",81,26,64
"682","MER112","hAT-Charlie","DNA",1140,431,322
"683","MER113","hAT-Charlie","DNA",1717,600,572
"684","MER113A","hAT-Charlie","DNA",436,169,113
"685","MER115","hAT-Tip100","DNA",1188,516,402
"686","MER117","hAT-Charlie","DNA",1517,685,479
"687","MER119","hAT-Charlie","DNA",306,98,75
"688","MER11A","ERVK","LTR",365,143,66
"689","MER11B","ERVK","LTR",509,209,144
"690","MER11C","ERVK","LTR",665,234,99
"691","MER11D","ERVK","LTR",196,194,87
"692","MER121","hAT","DNA",175,56,77
"693","MER121B","hAT","DNA",3,0,1
"694","MER123","DNA","DNA",1,2,0
"695","MER124","DNA","DNA",192,119,58
"696","MER125","Merlin","DNA",14,3,0
"697","MER126","DNA","DNA",28,12,14
"698","MER127","TcMar-Tigger","DNA",12,6,8
"699","MER129","LTR","LTR?",30,9,1
"700","MER130","DNA","DNA",22,13,24
"701","MER131","DNA","DNA",184,82,121
"702","MER132","TcMar-Pogo","DNA",5,1,0
"703","MER133A","PIF-Harbinger","DNA",6,4,0
"704","MER133B","PIF-Harbinger","DNA",8,0,1
"705","MER134","Crypton","DNA",8,5,0
"706","MER135","DNA","DNA",40,8,22
"707","MER136","Merlin","DNA",2,0,0
"708","MER1A","hAT-Charlie","DNA",1964,954,615
"709","MER1B","hAT-Charlie","DNA",1329,535,224
"710","MER20","hAT-Charlie","DNA",5577,2031,1485
"711","MER20B","hAT-Charlie","DNA",3186,570,862
"712","MER21-int","ERVL","LTR",536,216,110
"713","MER21A","ERVL","LTR",944,476,365
"714","MER21B","ERVL","LTR",2234,1069,472
"715","MER21C","ERVL","LTR",2608,965,737
"716","MER2","TcMar-Tigger","DNA",2680,1065,2211
"717","MER2B","TcMar-Tigger","DNA",738,249,194
"718","MER30","hAT-Charlie","DNA",790,361,227
"719","MER30B","hAT-Charlie","DNA",11,4,3
"720","MER31-int","ERV1","LTR",460,215,162
"721","MER31A","ERV1","LTR",354,183,133
"722","MER31B","ERV1","LTR",1198,438,349
"723","MER33","hAT-Charlie","DNA",2879,1267,816
"724","MER34-int","ERV1","LTR",130,54,40
"725","MER34","ERV1","LTR",503,156,181
"726","MER34A1","ERV1","LTR",138,35,12
"727","MER34A","ERV1","LTR",218,91,34
"728","MER34B-int","ERV1","LTR",168,43,60
"729","MER34B","ERV1","LTR",155,39,34
"730","MER34C2","ERV1","LTR",660,208,213
"731","MER34C","ERV1","LTR",9,2,0
"732","MER34C_","ERV1","LTR",87,19,31
"733","MER34D","ERV1","LTR",251,136,68
"734","MER39","ERV1","LTR",2078,1075,762
"735","MER39B","ERV1","LTR",1315,560,406
"736","MER3","hAT-Charlie","DNA",3348,1567,1009
"737","MER4-int","ERV1","LTR",2824,1440,2776
"738","MER41-int","ERV1","LTR",1550,761,492
"739","MER41A","ERV1","LTR",1007,519,308
"740","MER41B","ERV1","LTR",2032,984,492
"741","MER41C","ERV1","LTR",340,206,113
"742","MER41D","ERV1","LTR",96,26,14
"743","MER41E","ERV1","LTR",164,83,28
"744","MER41G","ERV1","LTR",48,12,6
"745","MER44A","TcMar-Tigger","DNA",380,160,153
"746","MER44B","TcMar-Tigger","DNA",584,222,219
"747","MER44C","TcMar-Tigger","DNA",305,92,108
"748","MER44D","TcMar-Tigger","DNA",213,70,56
"749","MER45A","hAT-Tip100","DNA",806,352,183
"750","MER45B","hAT-Tip100","DNA",622,329,157
"751","MER45C","hAT-Tip100","DNA",636,468,184
"752","MER45R","hAT-Tip100","DNA",283,191,70
"753","MER46C","TcMar-Tigger","DNA",676,292,198
"754","MER47A","TcMar-Tigger","DNA",975,421,314
"755","MER47B","TcMar-Tigger","DNA",95,35,30
"756","MER47C","TcMar-Tigger","DNA",35,19,1
"757","MER48","ERV1","LTR",49,15,0
"758","MER49","ERV1","LTR",321,96,47
"759","MER4A1","ERV1","LTR",3698,2014,1430
"760","MER4A1_","ERV1","LTR",148,53,15
"761","MER4A","ERV1","LTR",279,132,41
"762","MER4B-int","ERV1","LTR",4598,3367,1877
"763","MER4B","ERV1","LTR",515,255,105
"764","MER4C","ERV1","LTR",141,58,60
"765","MER4CL34","ERV1","LTR",344,115,115
"766","MER4D0","ERV1","LTR",86,6,10
"767","MER4D1","ERV1","LTR",522,177,139
"768","MER4D","ERV1","LTR",410,134,82
"769","MER4E1","ERV1","LTR",377,98,39
"770","MER4E","ERV1","LTR",88,23,29
"771","MER50-int","ERV1","LTR",232,90,84
"772","MER50","ERV1","LTR",621,217,189
"773","MER50B","ERV1","LTR",121,70,115
"774","MER50C","ERV1","LTR",53,29,6
"775","MER51-int","ERV1","LTR",537,167,65
"776","MER51A","ERV1","LTR",581,313,150
"777","MER51B","ERV1","LTR",255,117,70
"778","MER51C","ERV1","LTR",21,10,10
"779","MER51D","ERV1","LTR",63,40,13
"780","MER51E","ERV1","LTR",42,16,4
"781","MER52-int","ERV1","LTR",538,258,169
"782","MER52A","ERV1","LTR",2340,1096,705
"783","MER52C","ERV1","LTR",130,40,53
"784","MER52D","ERV1","LTR",2693,1729,1327
"785","MER53","hAT-Blackjack","DNA",9762,3678,2921
"786","MER54A","ERVL","LTR",146,36,19
"787","MER54B","ERVL","LTR",179,61,50
"788","MER57-int","ERV1","LTR",569,268,181
"789","MER57A-int","ERV1","LTR",479,106,149
"790","MER57A1","ERV1","LTR",158,50,53
"791","MER57B1","ERV1","LTR",297,85,97
"792","MER57B2","ERV1","LTR",753,261,191
"793","MER57C1","ERV1","LTR",21,14,3
"794","MER57C2","ERV1","LTR",59,16,15
"795","MER57D","ERV1","LTR",351,303,239
"796","MER57E1","ERV1","LTR",38,21,25
"797","MER57E2","ERV1","LTR",7,0,12
"798","MER57E3","ERV1","LTR",61,15,4
"799","MER57F","ERV1","LTR",152,33,25
"800","MER58A","hAT-Charlie","DNA",9484,3172,2808
"801","MER58B","hAT-Charlie","DNA",1492,511,345
"802","MER58C","hAT-Charlie","DNA",586,235,129
"803","MER58D","hAT-Charlie","DNA",443,204,169
"804","MER5A1","hAT-Charlie","DNA",2992,1171,739
"805","MER5A","hAT-Charlie","DNA",10224,3780,3082
"806","MER5B","hAT-Charlie","DNA",6933,3130,2559
"807","MER5C1","hAT-Charlie","DNA",73,30,3
"808","MER5C","hAT-Charlie","DNA",374,168,148
"809","MER61-int","ERV1","LTR",682,297,114
"810","MER61A","ERV1","LTR",130,43,20
"811","MER61B","ERV1","LTR",41,17,16
"812","MER61C","ERV1","LTR",68,20,9
"813","MER61D","ERV1","LTR",332,129,84
"814","MER61E","ERV1","LTR",80,34,22
"815","MER61F","ERV1","LTR",50,14,7
"816","MER63A","hAT-Tip100","DNA",662,287,144
"817","MER63B","hAT-Tip100","DNA",414,110,175
"818","MER63C","hAT-Tip100","DNA",519,278,164
"819","MER63D","hAT-Tip100","DNA",305,146,166
"820","MER65-int","ERV1","LTR",522,153,125
"821","MER65A","ERV1","LTR",1510,949,524
"822","MER65B","ERV1","LTR",26,12,6
"823","MER65C","ERV1","LTR",79,27,32
"824","MER65D","ERV1","LTR",140,56,30
"825","MER66-int","ERV1","LTR",1378,666,549
"826","MER66A","ERV1","LTR",395,286,108
"827","MER66B","ERV1","LTR",278,106,95
"828","MER66C","ERV1","LTR",1928,969,510
"829","MER66D","ERV1","LTR",45,12,1
"830","MER67A","ERV1","LTR",46,11,4
"831","MER67B","ERV1","LTR",371,215,145
"832","MER67C","ERV1","LTR",272,97,67
"833","MER67D","ERV1","LTR",328,121,126
"834","MER68-int","ERVL","LTR",39,6,15
"835","MER68","ERVL","LTR",789,250,111
"836","MER68B","ERVL","LTR",167,75,45
"837","MER68C","ERVL","LTR",56,29,17
"838","MER6","TcMar-Tigger","DNA",396,115,125
"839","MER6A","TcMar-Tigger","DNA",293,131,78
"840","MER6B","TcMar-Tigger","DNA",651,241,158
"841","MER6C","TcMar-Tigger","DNA",27,5,6
"842","MER70-int","ERVL","LTR",619,168,417
"843","MER70A","ERVL","LTR",226,74,40
"844","MER70B","ERVL","LTR",214,109,65
"845","MER70C","ERVL","LTR",41,11,16
"846","MER72","ERV1","LTR",177,76,32
"847","MER72B","ERV1","LTR",14,8,1
"848","MER73","ERVL","LTR",49,49,21
"849","MER74A","ERVL","LTR",757,373,151
"850","MER74B","ERVL","LTR",269,102,105
"851","MER74C","ERVL","LTR",70,19,5
"852","MER75","PiggyBac","DNA",679,323,244
"853","MER75A","PiggyBac","DNA",9,0,3
"854","MER75B","PiggyBac","DNA",8,4,1
"855","MER76-int","ERVL","LTR",245,87,143
"856","MER76","ERVL","LTR",712,330,166
"857","MER77","ERVL","LTR",2148,1130,737
"858","MER77B","ERVL","LTR",983,264,309
"859","MER81","hAT-Blackjack","DNA",1038,231,125
"860","MER83","ERV1","LTR",169,101,67
"861","MER83A-int","ERV1","LTR",30,8,9
"862","MER83B-int","ERV1","LTR",120,26,14
"863","MER83B","ERV1","LTR",29,17,1
"864","MER83C","ERV1","LTR",29,3,5
"865","MER84-int","ERV1","LTR",139,57,24
"866","MER84","ERV1","LTR",86,31,9
"867","MER85","PiggyBac","DNA",165,59,54
"868","MER87","ERV1","LTR",125,41,40
"869","MER87B","ERV1","LTR",767,402,159
"870","MER88","ERVL","LTR",15,9,4
"871","MER89-int","ERV1","LTR",43,17,22
"872","MER89","ERV1","LTR",1055,375,353
"873","MER8","TcMar-Tigger","DNA",708,344,207
"874","MER90","ERV1","LTR",281,115,66
"875","MER90a","ERV1","LTR",657,219,180
"876","MER91A","hAT-Tip100","DNA",743,320,264
"877","MER91B","hAT-Tip100","DNA",377,148,91
"878","MER91C","hAT-Tip100","DNA",299,138,113
"879","MER92-int","ERV1","LTR",298,92,61
"880","MER92A","ERV1","LTR",9,2,0
"881","MER92B","ERV1","LTR",215,85,25
"882","MER92C","ERV1","LTR",6,8,0
"883","MER92D","ERV1","LTR",44,10,15
"884","MER94","hAT-Blackjack","DNA",630,277,206
"885","MER94B","hAT-Blackjack","DNA",139,63,39
"886","MER95","ERV1","LTR",6,2,1
"887","MER96","hAT-Tip100","DNA",122,40,8
"888","MER96B","hAT-Tip100","DNA",623,268,261
"889","MER97a","hAT-Tip100","DNA",18,3,0
"890","MER97b","hAT-Tip100","DNA",3,3,23
"891","MER97c","hAT-Tip100","DNA",29,8,3
"892","MER97d","hAT-Tip100","DNA",18,3,1
"893","MER99","hAT","DNA",38,5,0
"894","MER9B","ERVK","LTR",65,14,2
"895","MER9a1","ERVK","LTR",181,61,49
"896","MER9a2","ERVK","LTR",88,34,6
"897","MER9a3","ERVK","LTR",500,226,179
"898","MERX","TcMar-Tigger","DNA",54,31,24
"899","MIR1_Amn","MIR","SINE",4528,1807,985
"900","MIR3","MIR","SINE",31879,13244,10295
"901","MIR","MIR","SINE",54378,23478,15560
"902","MIRb","MIR","SINE",84045,36341,23754
"903","MIRc","MIR","SINE",36416,15081,10112
"904","MLT-int","ERVL-MaLR","LTR",214,50,27
"905","MLT1-int","ERVL-MaLR","LTR",19,12,15
"906","MLT1A-int","ERVL-MaLR","LTR",499,257,134
"907","MLT1A0-int","ERVL-MaLR","LTR",682,246,212
"908","MLT1A0","ERVL-MaLR","LTR",7755,3485,2372
"909","MLT1A1-int","ERVL-MaLR","LTR",83,38,46
"910","MLT1A1","ERVL-MaLR","LTR",3069,1088,841
"911","MLT1A","ERVL-MaLR","LTR",3124,1427,809
"912","MLT1B-int","ERVL-MaLR","LTR",97,22,14
"913","MLT1B","ERVL-MaLR","LTR",5510,2080,1280
"914","MLT1C-int","ERVL-MaLR","LTR",19,5,10
"915","MLT1C2-int","ERVL-MaLR","LTR",42,10,4
"916","MLT1C2","ERVL-MaLR","LTR",6840,2812,1843
"917","MLT1C","ERVL-MaLR","LTR",2664,1197,663
"918","MLT1D-int","ERVL-MaLR","LTR",87,39,5
"919","MLT1D","ERVL-MaLR","LTR",7629,3085,1916
"920","MLT1E-int","ERVL-MaLR","LTR",2,0,0
"921","MLT1E1-int","ERVL-MaLR","LTR",0,0,0
"922","MLT1E1","ERVL-MaLR","LTR",525,189,124
"923","MLT1E1A-int","ERVL-MaLR","LTR",18,89,16
"924","MLT1E1A","ERVL-MaLR","LTR",1429,623,280
"925","MLT1E2-int","ERVL-MaLR","LTR",59,20,29
"926","MLT1E2","ERVL-MaLR","LTR",1838,724,497
"927","MLT1E3-int","ERVL-MaLR","LTR",19,1,0
"928","MLT1E3","ERVL-MaLR","LTR",579,173,187
"929","MLT1E","ERVL-MaLR","LTR",325,198,74
"930","MLT1F-int","ERVL-MaLR","LTR",341,119,111
"931","MLT1F1-int","ERVL-MaLR","LTR",40,14,11
"932","MLT1F1","ERVL-MaLR","LTR",722,310,130
"933","MLT1F2-int","ERVL-MaLR","LTR",104,31,38
"934","MLT1F2","ERVL-MaLR","LTR",2597,1002,821
"935","MLT1F","ERVL-MaLR","LTR",1918,803,537
"936","MLT1G-int","ERVL-MaLR","LTR",32,6,0
"937","MLT1G1-int","ERVL-MaLR","LTR",69,16,0
"938","MLT1G1","ERVL-MaLR","LTR",2055,870,585
"939","MLT1G3-int","ERVL-MaLR","LTR",36,17,4
"940","MLT1G3","ERVL-MaLR","LTR",1223,508,335
"941","MLT1G","ERVL-MaLR","LTR",789,421,230
"942","MLT1H-int","ERVL-MaLR","LTR",628,261,197
"943","MLT1H1-int","ERVL-MaLR","LTR",58,26,0
"944","MLT1H1","ERVL-MaLR","LTR",2335,988,403
"945","MLT1H2-int","ERVL-MaLR","LTR",1188,492,533
"946","MLT1H2","ERVL-MaLR","LTR",1408,515,306
"947","MLT1H","ERVL-MaLR","LTR",3574,1462,1038
"948","MLT1I-int","ERVL-MaLR","LTR",127,51,36
"949","MLT1I","ERVL-MaLR","LTR",2593,1080,747
"950","MLT1J-int","ERVL-MaLR","LTR",165,76,56
"951","MLT1J1-int","ERVL-MaLR","LTR",107,35,4
"952","MLT1J1","ERVL-MaLR","LTR",6293,4231,3358
"953","MLT1J2-int","ERVL-MaLR","LTR",135,58,21
"954","MLT1J2","ERVL-MaLR","LTR",2499,926,900
"955","MLT1J","ERVL-MaLR","LTR",5296,2141,1543
"956","MLT1K-int","ERVL-MaLR","LTR",10,1,6
"957","MLT1K","ERVL-MaLR","LTR",6765,2645,1851
"958","MLT1L-int","ERVL-MaLR","LTR",21,3,2
"959","MLT1L","ERVL-MaLR","LTR",4992,2295,1449
"960","MLT1M-int","ERVL-MaLR","LTR",0,0,0
"961","MLT1M","ERVL-MaLR","LTR",818,382,244
"962","MLT1N2-int","ERVL-MaLR","LTR",10,6,5
"963","MLT1N2","ERVL-MaLR","LTR",1740,699,540
"964","MLT1O-int","ERVL-MaLR","LTR",6,0,0
"965","MLT1O","ERVL-MaLR","LTR",1118,373,373
"966","MLT2A1","ERVL","LTR",1037,322,272
"967","MLT2A2","ERVL","LTR",1764,701,465
"968","MLT2B1","ERVL","LTR",3097,1487,614
"969","MLT2B2","ERVL","LTR",736,225,199
"970","MLT2B3","ERVL","LTR",686,215,187
"971","MLT2B4","ERVL","LTR",1395,449,525
"972","MLT2B5","ERVL","LTR",200,124,138
"973","MLT2C1","ERVL","LTR",1021,254,313
"974","MLT2C2","ERVL","LTR",1239,876,528
"975","MLT2D","ERVL","LTR",1119,559,280
"976","MLT2E","ERVL","LTR",37,18,9
"977","MLT2F","ERVL","LTR",781,272,240
"978","MSR1","Satellite","Satellite",293,133,76
"979","MST-int","ERVL-MaLR","LTR",44,24,17
"980","MSTA-int","ERVL-MaLR","LTR",1707,575,403
"981","MSTA1-int","ERVL-MaLR","LTR",17,5,8
"982","MSTA1","ERVL-MaLR","LTR",172,77,71
"983","MSTA","ERVL-MaLR","LTR",8593,3806,2497
"984","MSTB-int","ERVL-MaLR","LTR",983,302,193
"985","MSTB1-int","ERVL-MaLR","LTR",999,318,272
"986","MSTB1","ERVL-MaLR","LTR",1944,700,392
"987","MSTB2-int","ERVL-MaLR","LTR",20,5,0
"988","MSTB2","ERVL-MaLR","LTR",295,107,94
"989","MSTB","ERVL-MaLR","LTR",6070,3482,1875
"990","MSTC-int","ERVL-MaLR","LTR",48,16,3
"991","MSTC","ERVL-MaLR","LTR",1329,399,417
"992","MSTD-int","ERVL-MaLR","LTR",826,334,132
"993","MSTD","ERVL-MaLR","LTR",3429,1596,863
"994","MamGyp-int","Gypsy","LTR",52,28,4
"995","MamGypLTR1a","Gypsy","LTR",103,48,20
"996","MamGypLTR1b","Gypsy","LTR",151,44,48
"997","MamGypLTR1c","Gypsy","LTR",417,132,174
"998","MamGypLTR1d","Gypsy","LTR",171,66,44
"999","MamGypLTR2b","Gypsy","LTR",188,88,95
"1000","MamGypLTR2c","Gypsy","LTR",213,94,62
"1001","MamGypLTR3","Gypsy","LTR",454,160,257
"1002","MamGypLTR3a","Gypsy","LTR",781,259,103
"1003","MamGypLTR4","Gypsy","LTR",134,21,21
"1004","MamGypsy2-I","Gypsy","LTR",990,381,236
"1005","MamGypsy2-LTR","Gypsy","LTR",384,183,132
"1006","MamRTE1","RTE-BovB","LINE",2236,1241,545
"1007","MamRTE2","RTE-BovB","LINE",10,3,1
"1008","MamRep1151","LTR","LTR?",584,947,315
"1009","MamRep137","TcMar-Tigger","DNA",519,166,114
"1010","MamRep1527","LTR","LTR",235,102,64
"1011","MamRep1879","hAT-Tip100","DNA",428,161,153
"1012","MamRep1894","hAT-Tip100","DNA",215,69,57
"1013","MamRep38","hAT-Tip100","DNA",685,236,184
"1014","MamRep4096","hAT-Tip100","DNA",357,104,115
"1015","MamRep434","TcMar-Tigger","DNA",1061,376,325
"1016","MamRep488","hAT-Tip100","DNA",124,37,5
"1017","MamRep564","MamRep564","Unknown",180,55,24
"1018","MamRep605","LTR","LTR?",1356,569,361
"1019","MamRep605b","LTR","LTR?",475,167,119
"1020","MamTip1","hAT-Tip100","DNA",211,80,18
"1021","MamTip1b","hAT-Tip100","DNA",83,38,6
"1022","MamTip2","hAT-Tip100","DNA",897,371,340
"1023","MamTip2b","hAT-Tip100","DNA",3047,1371,701
"1024","MamTip3","hAT-Tip100","DNA",229,63,50
"1025","MamTip3B","hAT-Tip100","DNA",226,70,71
"1026","Mam_R4","Dong-R4","LINE",166,47,73
"1027","Merlin1_HS","Merlin","DNA",31,11,5
"1028","ORSL-2a","hAT-Tip100","DNA",240,50,84
"1029","ORSL-2b","hAT-Tip100","DNA",124,47,36
"1030","ORSL","hAT-Tip100","DNA",377,138,114
"1031","OldhAT-N1a","hAT","DNA",2,0,0
"1032","OldhAT-N1b","hAT","DNA",0,0,0
"1033","OldhAT-N1c","hAT","DNA",10,2,0
"1034","OldhAT1","hAT-Ac","DNA",1040,418,128
"1035","PABL_A-int","ERV1","LTR",84,56,41
"1036","PABL_A","ERV1","LTR",1437,844,143
"1037","PABL_B-int","ERV1","LTR",93,17,75
"1038","PABL_B","ERV1","LTR",80,77,25
"1039","PRIMA4-int","ERV1","LTR",356,215,123
"1040","PRIMA41-int","ERV1","LTR",178,90,25
"1041","PRIMA4_LTR","ERV1","LTR",255,122,61
"1042","PRIMAX-int","ERV1","LTR",15,6,4
"1043","PTERV1a-int","ERV1","LTR",118,23,17
"1044","PTERV1a_LTR","ERV1","LTR",14,10,10
"1045","PTERV1b-int","ERV1","LTR",63,12,25
"1046","PTERV1c-int","ERV1","LTR",41,24,15
"1047","PTERV1c_LTR","ERV1","LTR",54,27,1
"1048","PTERV1d-int","ERV1","LTR",79,24,6
"1049","PTERV2a-int","ERV1","LTR",10,3,0
"1050","PTERV2a_LTR","ERV1","LTR",0,0,0
"1051","PTERV2b-int","ERV1","LTR",25,0,1
"1052","PTERV2b_LTR","ERV1","LTR",0,2,0
"1053","PTERV2c_LTR","ERV1","LTR",3,3,0
"1054","PTPCHT7","telo","Satellite",36,0,23
"1055","Penelope1_Vert","Penelope","LINE",160,40,19
"1056","Plat_L3","CR1","LINE",491,172,185
"1057","PrimLTR79","ERV1","LTR",18,2,13
"1058","REP522","telo","Satellite",439,92,40
"1059","RTVL-Ib-int","ERV1","LTR",14,2,3
"1060","Ricksha","MULE-MuDR","DNA",834,499,186
"1061","Ricksha_0","MULE-MuDR","DNA",149,49,27
"1062","Ricksha_a","MULE-MuDR","DNA",29,28,0
"1063","Ricksha_b","MULE-MuDR","DNA",37,13,8
"1064","Ricksha_c","MULE-MuDR","DNA",174,78,23
"1065","SAR","Satellite","Satellite",0,0,0
"1066","SATR1","Satellite","Satellite",603,163,212
"1067","SATR2","Satellite","Satellite",532,47,121
"1068","SST1","centr","Satellite",133,100,17
"1069","SUBTEL2_sat","telo","Satellite",0,0,0
"1070","SVA_A","SVA","Retroposon",1572,697,450
"1071","SVA_B","SVA","Retroposon",825,377,185
"1072","SVA_C","SVA","Retroposon",791,210,251
"1073","SVA_D","SVA","Retroposon",7013,2154,1706
"1074","TAR1","telo","Satellite",7,1,0
"1075","THE1-int","ERVL-MaLR","LTR",85,18,18
"1076","THE1A-int","ERVL-MaLR","LTR",3221,1242,905
"1077","THE1A","ERVL-MaLR","LTR",1748,667,434
"1078","THE1B-int","ERVL-MaLR","LTR",3564,1678,798
"1079","THE1B","ERVL-MaLR","LTR",9651,5397,3028
