"name","family","class","Judith","Leo","Maryke"
"118","Charlie8","hAT-Charlie","DNA",1163,442,356
"119","Charlie9","hAT-Charlie","DNA",197,77,61
"120","Cheshire","hAT-Charlie","DNA",546,330,131
"121","Chompy-6_Croc","PIF-Harbinger","DNA",0,0,0
"122","D20S16","Satellite","Satellite",14,6,1
"123","DNA1_Mam","TcMar-Tc1","DNA",86,21,44
"124","ERV24B_Prim-int","ERV1","LTR",230,71,49
"125","ERV24_Prim-int","ERV1","LTR",207,36,13
"126","ERV3-16A3_I-int","ERVL","LTR",3210,1488,669
"127","ERV3-16A3_LTR","ERVL","LTR",293,63,73
"128","ERVL-B4-int","ERVL","LTR",3681,1894,1474
"129","ERVL-E-int","ERVL","LTR",5763,3703,1657
"130","ERVL-int","ERVL","LTR",140,71,38
"131","ERVL47-int","ERVL","LTR",26,7,3
"132","EUTREP14","EUTREP14","Unknown",84,30,81
"133","EUTREP15","ERV1","LTR",125,113,106
"134","EUTREP16","LTR","LTR",64,20,5
"135","EUTREP2","hAT","DNA",261,70,80
"136","EUTREP4","PiggyBac","DNA",29,10,3
"137","EUTREP6","EUTREP6","Unknown",2,0,0
"138","EUTREP7","ERV1","LTR",47,4,20
"139","EUTREP8","LTR","LTR",21,15,14
"140","Eulor10","DNA","DNA",1,0,0
"141","Eulor11","DNA","DNA",3,0,0
"142","Eulor12","DNA","DNA",15,17,22
"143","Eulor1","DNA","DNA",31,6,8
"144","Eulor2A","DNA","DNA",3,1,0
"145","Eulor2B","DNA","DNA",13,0,1
"146","Eulor2C","DNA","DNA",1,3,1
"147","Eulor3","DNA","DNA",5,2,0
"148","Eulor4","Eulor4","Unknown",9,5,0
"149","Eulor5A","Crypton-A","DNA",9,0,0
"150","Eulor5B","Crypton-A","DNA",1,4,0
"151","Eulor6A","Crypton","DNA",7,0,0
"152","Eulor6B","Crypton","DNA",0,0,0
"153","Eulor6C","Crypton","DNA",0,0,0
"154","Eulor6D","Crypton","DNA",10,11,0
"155","Eulor6E","Crypton","DNA",0,0,0
"156","Eulor7","DNA","DNA",0,0,0
"157","Eulor8","TcMar","DNA",56,7,13
"158","Eulor9A","DNA","DNA",12,6,9
"159","Eulor9B","DNA","DNA",12,0,0
"160","Eulor9C","DNA","DNA",21,1,0
"161","EutTc1-N1","TcMar-Tc1","DNA",6,0,0
"162","EutTc1-N2","TcMar-Tc1","DNA",57,33,44
"163","EuthAT-2","hAT-Ac","DNA",714,289,190
"164","EuthAT-N1","hAT-Tip100","DNA",5,0,0
"165","EuthAT-N1a","hAT-Tip100","DNA",6,0,0
"166","Eutr10","ERVL","LTR",263,158,57
"167","Eutr11","DNA","DNA",190,75,25
"168","Eutr15","hAT-Tip100","DNA",120,48,30
"169","Eutr16","hAT-Tip100","DNA",218,87,74
"170","Eutr18","LTR","LTR?",140,44,41
"171","Eutr2","MULE-MuDR","DNA",38,20,33
"172","Eutr2B","MULE-MuDR","DNA",159,38,13
"173","Eutr5","LTR","LTR?",191,59,67
"174","FAM","Alu","SINE",729,285,210
"175","FLAM_A","Alu","SINE",3866,1757,1158
"176","FLAM_C","Alu","SINE",5233,2010,1644
"177","FRAM","Alu","SINE",5118,2115,1421
"178","FordPrefect","hAT-Tip100","DNA",251,114,38
"179","FordPrefect_a","hAT-Tip100","DNA",50,11,9
"180","GSAT","centr","Satellite",10,4,0
"181","GSATII","centr","Satellite",12,3,0
"182","GSATX","centr","Satellite",118,34,17
"183","HAL1","L1","LINE",9623,4459,2384
"184","HAL1M8","L1","LINE",1122,678,611
"185","HAL1ME","L1","LINE",2736,1024,813
"186","HAL1b","L1","LINE",1589,612,505
"187","HERV-Fc1-int","ERV1","LTR",0,0,0
"188","HERV-Fc1_LTR1","ERV1","LTR",83,15,42
"189","HERV-Fc1_LTR2","ERV1","LTR",0,0,0
"190","HERV-Fc1_LTR3","ERV1","LTR",1,1,0
"191","HERV-Fc2-int","ERV1","LTR",2,0,3
"192","HERV-Fc2_LTR","ERV1","LTR",0,0,0
"193","HERV15-int","ERV1","LTR",325,97,71
"194","HERV16-int","ERVL","LTR",936,493,269
"195","HERV17-int","ERV1","LTR",3625,1752,1212
"196","HERV1_I-int","ERV1","LTR",158,30,66
"197","HERV1_LTRa","ERV1","LTR",11,0,0
"198","HERV1_LTRb","ERV1","LTR",0,0,0
"199","HERV1_LTRc","ERV1","LTR",4,0,0
"200","HERV1_LTRd","ERV1","LTR",0,12,0
"201","HERV1_LTRe","ERV1","LTR",3,0,0
"202","HERV3-int","ERV1","LTR",142,26,67
"203","HERV30-int","ERV1","LTR",6,17,2
"204","HERV35I-int","ERV1","LTR",93,41,35
"205","HERV4_I-int","ERV1","LTR",227,95,80
"206","HERV9-int","ERV1","LTR",208,88,51
"207","HERV9N-int","ERV1","LTR",693,293,173
"208","HERV9NC-int","ERV1","LTR",416,100,97
"209","HERVE-int","ERV1","LTR",327,87,45
"210","HERVE_a-int","ERV1","LTR",513,217,69
"211","HERVFH19-int","ERV1","LTR",197,122,48
"212","HERVFH21-int","ERV1","LTR",22,13,1
"213","HERVH-int","ERV1","LTR",4955,2301,1161
"214","HERVH48-int","ERV1","LTR",355,202,74
"215","HERVI-int","ERV1","LTR",60,20,11
"216","HERVIP10B3-int","ERV1","LTR",230,66,43
"217","HERVIP10F-int","ERV1","LTR",270,182,199
"218","HERVIP10FH-int","ERV1","LTR",403,139,120
"219","HERVK-int","ERVK","LTR",425,176,124
"220","HERVK11-int","ERVK","LTR",157,46,16
"221","HERVK11D-int","ERVK","LTR",97,17,14
"222","HERVK13-int","ERVK","LTR",45,7,2
"223","HERVK14-int","ERVK","LTR",90,41,8
"224","HERVK14C-int","ERVK","LTR",27,3,3
"225","HERVK22-int","ERVK","LTR",76,81,29
"226","HERVK3-int","ERVK","LTR",196,32,78
"227","HERVK9-int","ERVK","LTR",845,348,196
"228","HERVKC4-int","ERVK","LTR",4,1,0
"229","HERVL-int","ERVL","LTR",4140,1228,1065
"230","HERVL18-int","ERVL","LTR",211,58,49
"231","HERVL32-int","ERVL","LTR",44,12,13
"232","HERVL40-int","ERVL","LTR",830,222,338
"233","HERVL66-int","ERVL","LTR",111,34,14
"234","HERVL74-int","ERVL","LTR",85,42,0
"235","HERVP71A-int","ERV1","LTR",137,87,65
"236","HERVS71-int","ERV1","LTR",1083,500,415
"237","HSAT4","centr","Satellite",62,11,18
"238","HSAT5","Satellite","Satellite",5,1,9
"239","HSAT6","Satellite","Satellite",20,6,21
"240","HSATI","Satellite","Satellite",0,2,1
"241","HSMAR1","TcMar-Mariner","DNA",949,832,714
"242","HSMAR2","TcMar-Mariner","DNA",1059,413,324
"243","HUERS-P1-int","ERV1","LTR",289,158,77
"244","HUERS-P2-int","ERV1","LTR",148,65,20
"245","HUERS-P3-int","ERV1","LTR",247,101,43
"246","HUERS-P3b-int","ERV1","LTR",677,352,128
"247","Harlequin-int","ERV1","LTR",832,317,144
"248","Helitron1Na_Mam","Helitron","RC",292,72,53
"249","Helitron1Nb_Mam","Helitron","RC",97,12,29
"250","Helitron2Na_Mam","Helitron","RC?",95,23,8
"251","Helitron3Na_Mam","Helitron","RC",309,221,108
"252","Kanga11a","TcMar-Tc2","DNA",266,122,10
"253","Kanga1","TcMar-Tc2","DNA",302,128,89
"254","Kanga1a","TcMar-Tc2","DNA",656,155,249
"255","Kanga1b","TcMar-Tc2","DNA",48,10,2
"256","Kanga1c","TcMar-Tc2","DNA",154,58,30
